image	dataset	tape	tapefile	members	records
src000.348	MVSSRC.EREPSY.F01	erepsym	FILE0001	76	75582
src000.348	MVSSRC.EREPSY.F02	erepsym	FILE0002	25	77868
src000.348	MVSSRC.EREPSY.F03	erepsym	FILE0003	9	15643
src000.348	MVSSRC.ES1102.F01	ess1102sym	FILE0001	43	79477
src000.348	MVSSRC.ES1102.F02	ess1102sym	FILE0002	37	79758
src000.348	MVSSRC.ES1102.F03	ess1102sym	FILE0003	41	79704
src000.348	MVSSRC.ES1102.F04	ess1102sym	FILE0004	9	17550
src000.348	MVSSRC.ET1102.F01	etc1102	FILE0001	92	22084
src000.348	MVSSRC.ET1102.F02	etc1102	FILE0002	31	16548
src000.348	MVSSRC.ET1102.F03	etc1102	FILE0003	137	79852
src000.348	MVSSRC.ET1102.F04	etc1102	FILE0004	92	79408
src000.348	MVSSRC.ET1102.F05	etc1102	FILE0005	102	79427
src000.348	MVSSRC.ET1102.F06	etc1102	FILE0006	3	1882
src000.348	MVSSRC.ET2402.F01	etc2402	FILE0001	68	6647
src000.348	MVSSRC.ET2402.F02	etc2402	FILE0002	139	72485
src000.348	MVSSRC.EV1202.F01	evt1202	FILE0001	26	39699
src000.348	MVSSRC.EV1202.F02	evt1202	FILE0002	34	45344
src000.348	MVSSRC.EV1202.F03	evt1202	FILE0003	28	55614
src000.348	MVSSRC.SOURCE.F01	source	FILE0001	23	33192
src000.348	MVSSRC.SOURCE.F02	source	FILE0002	33	44577
src000.348	MVSSRC.SOURCE.F03	source	FILE0003	13	9682
src000.348	MVSSRC.SYM101.F01	sym1-1	FILE0001	242	36224
src000.348	MVSSRC.SYM101.F02	sym1-1	FILE0002	5	4888
src000.348	MVSSRC.SYM101.F03	sym1-1	FILE0003	1	168
src000.348	MVSSRC.SYM101.F04	sym1-1	FILE0004	8	26709
src000.348	MVSSRC.SYM101.F05	sym1-1	FILE0005	48	78665
src000.348	MVSSRC.SYM101.F06	sym1-1	FILE0006	36	76539
src000.348	MVSSRC.SYM101.F07	sym1-1	FILE0007	33	79526
