dataset	tape	tapefile	member	records	verdict	corpus_path	manifest_status	manifest_origin	sha256_cols_1_72	sha256_cols_1_80
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCDEVIC	2491	identical-default	ibm/IFC/IFCDEVIC.asm	conflict	tape	49623e3994f7b24ad8475ad1572371d036b6baaba56d761c69d6c9f46b4b5aa8	13f435cfc4503c4d51dcc5f7c320ff777d5140e6cf2298eda65999466c6625ee
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE0115	331	identical-default	ibm/IFC/IFCE0115.asm	unique	tape	be62be57e9e807f7559283a3196de9d994cc408b52e0be5757e7b81ce9ec096b	fa18101cac8fac0ddd65f137eba889a2ca9985c64ba3fb6776a2c0329552ac7e
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE0125	837	identical-default	ibm/IFC/IFCE0125.asm	unique	tape	5659ae3275f1dc8a78cc546dc601633526fbbc31f7f57324e254379d0f8c88f0	7f9d4d8e6470200b51ea18f7b3155d499b6d2565aa8c60d92404c4ea53775416
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE0135	1083	identical-default	ibm/IFC/IFCE0135.asm	conflict	tape	796f9e7cd9671ead99393b1d7a714787a3a826b3778b4de815584053394ab633	8d91f51d1c66a221e30d5559a11ea4e82787adf0dd54e5ac9d053509a612fa93
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE0145	1444	identical-default	ibm/IFC/IFCE0145.asm	conflict	tape	de435b9e4d9a6b8fb7afbd1b920d5d2d8c419572609e9049dfaa25485054a175	d548d4f162aa2166c008b93be8a95d7623d6e097b6e23ecac974e6a4f2b4152d
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE0155	1813	identical-default	ibm/IFC/IFCE0155.asm	conflict	tape	8b7d6cdbc3d80b304f86b17f73b9067f424334bb6565fcf525d494df2ed953ce	f4bf4a3f623ee29a95df5736062a59c095fa9412d252349055734953521e10d6
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE0165	1669	identical-default	ibm/IFC/IFCE0165.asm	conflict	tape	4b8967324482e536333ab8c0068e013797d8d1cb9a7c6b04551420bde74ea3c5	826bdf29486449355bd2c85a1794650dc10271983dfc680f9c1ce990fc2db270
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE1017	384	identical-default	ibm/IFC/IFCE1017.asm	unique	tape	1471dddfab83b51cbf37309c1aa026c0e6f3b05e9b5fd38fc9b7e87dd0d77637	cda561938a6b04dcbc5958913b9294b7bdb7795b121464af4ca66bb3eb8210d0
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE1018	380	identical-default	ibm/IFC/IFCE1018.asm	unique	tape	36621d90e75bb5323aba449d6d3b53d8608fa9883e4f4e01a6a6629bd9c631ce	ff9541244d042882c5e7de8559c6f38ec2288d09b99200e7c2493bf07d7db44c
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE2860	1433	identical-default	ibm/IFC/IFCE2860.asm	conflict	tape	82f39feae641c8e3f5c0ed1a330ffd508617f4e5b3b09314fede21ad4d005aa1	1719ad6ad6422c5f5e504865bad0bcfcd8ca7762cf53613efb48af95305ae0f3
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE2870	1456	identical-default	ibm/IFC/IFCE2870.asm	conflict	tape	a34288d2fc997762b3c00130e1c4fd130b86791d31024cabe4f6a8062e57a358	7d37396de87ef21ab0a27ac60476f6a37b02b885e2eb9a56e1b3a8220053345b
MVSSRC.EREPSY.F01	erepsym	FILE0001	IFCE2880	3302	identical-default	ibm/IFC/IFCE2880.asm	conflict	tape	81a393bf73c4b94286a351baff0c82fbde447f5d8defa68be35e6026102cad6b	902a08af13293bd12748d7fdaf6747f7362b360e1f4a7e8da621682bc2b38d8c
