dataset	tape	tapefile	members	bytes_extracted	on_tk4_src_volumes
MVSSRC.EREPSY.F01	erepsym	FILE0001	76	6197724	yes
MVSSRC.EREPSY.F02	erepsym	FILE0002	25	6385176	yes
MVSSRC.EREPSY.F03	erepsym	FILE0003	9	1282726	yes
MVSSRC.ES1102.F01	ess1102sym	FILE0001	43	6517114	yes
MVSSRC.ET1102.F01	etc1102	FILE0001	92	1810888	yes
MVSSRC.ET1102.F04	etc1102	FILE0004	92	6511456	yes
MVSSRC.ET2402.F01	etc2402	FILE0001	68	545054	yes
MVSSRC.ET2402.F02	etc2402	FILE0002	139	5943770	yes
MVSSRC.SYM101.F01	sym1-1	FILE0001	242	2970368	yes
MVSSRC.SYM101.F02	sym1-1	FILE0002	5	400816	yes
MVSSRC.SYM101.F03	sym1-1	FILE0003	1	13776	yes
MVSSRC.SYM101.F04	sym1-1	FILE0004	8	2190138	yes
MVSSRC.SYM101.F05	sym1-1	FILE0005	48	6450530	yes
MVSSRC.SYM101.F06	sym1-1	FILE0006	36	6276198	yes
MVSSRC.SYM101.F07	sym1-1	FILE0007	33	6521132	yes
MVSSRC.SYM101.F08	sym1-1	FILE0008	35	6513752	yes
MVSSRC.SYM101.F09	sym1-1	FILE0009	8	665020	yes
MVSSRC.SYM101.F10	sym1-1	FILE0010	5	362604	yes
MVSSRC.SYM101.F11	sym1-1	FILE0011	46	4213652	yes
MVSSRC.SYM101.F12	sym1-1	FILE0012	42	6529660	yes
MVSSRC.SYM101.F13	sym1-1	FILE0013	43	3099108	yes
MVSSRC.SYM101.F14	sym1-1	FILE0014	63	2632118	yes
MVSSRC.SYM101.F15	sym1-1	FILE0015	44	6354344	yes
MVSSRC.SYM101.F16	sym1-1	FILE0016	16	3077214	yes
MVSSRC.SYM101.F17	sym1-1	FILE0017	1	131692	yes
MVSSRC.SYM101.F18	sym1-1	FILE0018	13	2370948	yes
MVSSRC.SYM101.F19	sym1-1	FILE0019	8	2769058	yes
MVSSRC.SYM101.F20	sym1-1	FILE0020	28	6508012	yes
MVSSRC.SYM102.F01	sym1-2	FILE0001	1	110946	yes
MVSSRC.SYM102.F02	sym1-2	FILE0002	13	2725352	yes
MVSSRC.SYM102.F03	sym1-2	FILE0003	28	6539172	yes
MVSSRC.SYM102.F04	sym1-2	FILE0004	24	6422158	yes
MVSSRC.SYM102.F05	sym1-2	FILE0005	14	6219864	yes
MVSSRC.SYM102.F06	sym1-2	FILE0006	17	6502354	yes
MVSSRC.SYM102.F07	sym1-2	FILE0007	5	952020	yes
MVSSRC.SYM102.F08	sym1-2	FILE0008	3	128494	yes
MVSSRC.SYM102.F09	sym1-2	FILE0009	25	6411498	yes
MVSSRC.SYM102.F10	sym1-2	FILE0010	8	2166932	yes
MVSSRC.SYM102.F11	sym1-2	FILE0011	9	2380870	yes
MVSSRC.SYM102.F12	sym1-2	FILE0012	8	2643680	yes
MVSSRC.SYM102.F13	sym1-2	FILE0013	16	6501288	yes
MVSSRC.SYM102.F14	sym1-2	FILE0014	22	6270540	yes
MVSSRC.SYM102.F15	sym1-2	FILE0015	4	1209008	yes
MVSSRC.SYM102.F16	sym1-2	FILE0016	20	5777310	yes
MVSSRC.SYM102.F17	sym1-2	FILE0017	1	853948	yes
MVSSRC.SYM102.F18	sym1-2	FILE0018	11	4769366	yes
MVSSRC.SYM102.F19	sym1-2	FILE0019	27	4790194	yes
MVSSRC.SYM103.F01	sym1-3	FILE0001	47	2037372	yes
MVSSRC.SYM103.F02	sym1-3	FILE0002	51	5472762	yes
MVSSRC.SYM103.F03	sym1-3	FILE0003	2	437634	yes
MVSSRC.SYM103.F04	sym1-3	FILE0004	6	4478102	yes
MVSSRC.SYM103.F05	sym1-3	FILE0005	1	111356	yes
MVSSRC.SYM103.F06	sym1-3	FILE0006	11	389828	yes
MVSSRC.SYM103.F07	sym1-3	FILE0007	51	5188468	yes
MVSSRC.SYM103.F08	sym1-3	FILE0008	32	3922142	yes
MVSSRC.SYM103.F09	sym1-3	FILE0009	40	6406414	yes
MVSSRC.SYM103.F10	sym1-3	FILE0010	48	6540894	yes
