dataset	volser	required_by_bldsmp
MVSSRC.EREPSY.F01	SRC000	yes
MVSSRC.EREPSY.F02	SRC000	yes
MVSSRC.EREPSY.F03	SRC000	yes
MVSSRC.ES1102.F01	SRC000	yes
MVSSRC.ES1102.F02	SRC000	no
MVSSRC.ES1102.F03	SRC000	no
MVSSRC.ES1102.F04	SRC000	no
MVSSRC.ET1102.F01	SRC000	yes
MVSSRC.ET1102.F02	SRC000	no
MVSSRC.ET1102.F03	SRC000	no
MVSSRC.ET1102.F04	SRC000	yes
MVSSRC.ET1102.F05	SRC000	no
MVSSRC.ET1102.F06	SRC000	no
MVSSRC.ET2402.F01	SRC000	yes
MVSSRC.ET2402.F02	SRC000	yes
MVSSRC.EV1202.F01	SRC000	no
MVSSRC.EV1202.F02	SRC000	no
MVSSRC.EV1202.F03	SRC000	no
MVSSRC.SOURCE.F01	SRC000	no
MVSSRC.SOURCE.F02	SRC000	no
MVSSRC.SOURCE.F03	SRC000	no
MVSSRC.SYM101.F01	SRC000	yes
MVSSRC.SYM101.F02	SRC000	yes
MVSSRC.SYM101.F03	SRC000	yes
MVSSRC.SYM101.F04	SRC000	yes
MVSSRC.SYM101.F05	SRC000	yes
MVSSRC.SYM101.F06	SRC000	yes
MVSSRC.SYM101.F07	SRC000	yes
MVSSRC.SYM101.F08	SRC000	yes
MVSSRC.SYM101.F09	SRC000	yes
MVSSRC.SYM101.F10	SRC000	yes
MVSSRC.SYM101.F11	SRC000	yes
MVSSRC.SYM101.F12	SRC000	yes
MVSSRC.SYM101.F13	SRC000	yes
MVSSRC.SYM101.F14	SRC000	yes
MVSSRC.SYM101.F15	SRC000	yes
MVSSRC.SYM101.F16	SRC000	yes
MVSSRC.SYM101.F17	SRC000	yes
MVSSRC.SYM101.F18	SRC000	yes
MVSSRC.SYM101.F19	SRC000	yes
MVSSRC.SYM101.F20	SRC000	yes
MVSSRC.SYM102.F01	SRC000	yes
MVSSRC.SYM102.F02	SRC000	yes
MVSSRC.SYM102.F03	SRC000	yes
MVSSRC.SYM102.F04	SRC000	yes
MVSSRC.SYM102.F05	SRC000	yes
MVSSRC.SYM102.F06	SRC000	yes
MVSSRC.SYM102.F07	SRC000	yes
MVSSRC.SYM102.F08	SRC000	yes
MVSSRC.SYM102.F09	SRC000	yes
MVSSRC.SYM102.F10	SRC000	yes
MVSSRC.SYM102.F11	SRC000	yes
MVSSRC.SYM102.F12	SRC000	yes
MVSSRC.SYM102.F13	SRC000	yes
MVSSRC.SYM102.F14	SRC000	yes
MVSSRC.SYM102.F15	SRC000	yes
MVSSRC.SYM102.F16	SRC000	yes
MVSSRC.SYM102.F17	SRC000	yes
MVSSRC.SYM102.F18	SRC000	yes
MVSSRC.SYM102.F19	SRC000	yes
MVSSRC.SYM103.F01	SRC000	yes
MVSSRC.SYM103.F02	SRC000	yes
MVSSRC.SYM103.F03	SRC000	yes
MVSSRC.SYM103.F04	SRC000	yes
MVSSRC.SYM103.F05	SRC000	yes
MVSSRC.SYM103.F06	SRC000	yes
MVSSRC.SYM103.F07	SRC000	yes
MVSSRC.SYM103.F08	SRC000	yes
MVSSRC.SYM103.F09	SRC000	yes
MVSSRC.SYM103.F10	SRC000	yes
MVSSRC.SYM103.F11	SRC000	yes
MVSSRC.SYM103.F12	SRC000	yes
MVSSRC.TIOCOP.F01	SRC000	yes
MVSSRC.TIOCOP.F02	SRC000	yes
MVSSRC.TIOCOP.F03	SRC000	yes
MVSSRC.TIOCOP.F04	SRC000	yes
MVSSRC.TIOCOP.F05	SRC000	yes
MVSSRC.SYM103.F13	SRC001	yes
MVSSRC.SYM103.F14	SRC001	yes
MVSSRC.SYM103.F15	SRC001	yes
MVSSRC.SYM103.F16	SRC001	yes
MVSSRC.SYM103.F17	SRC001	yes
MVSSRC.SYM103.F18	SRC001	yes
MVSSRC.SYM103.F19	SRC001	yes
MVSSRC.SYM103.F20	SRC001	yes
MVSSRC.SYM104.F01	SRC001	yes
MVSSRC.SYM104.F02	SRC001	yes
MVSSRC.SYM104.F03	SRC001	yes
MVSSRC.SYM104.F04	SRC001	yes
