ACCESS	COBOLMAC
AMAMAIN	DISASM
AMBMAIN	DISASM
AMCMAIN	DISASM
ANYMOD	SYM10101
AQCTL	ET110201
BLSBVT	DISASM
BLSCAMM1	SYM20227
BLSCAMM2	SYM20227
BLSCAMMM	SYM20227
BLSCAMSL	SYM20227
BLSCFREF	DISASM
BLSCFRES	SYM20227
BLSCGETF	SYM20227
BLSCGETS	SYM20227
BLSDMCB	DISASM
BLSDMSGG	SYM20227
BLSDVT	DISASM
BLSESBA	DISASM
BLSESCO	DISASM
BLSESPA	DISASM
BLSFP	DISASM
BLSHSD	DISASM
BLSPDR	DISASM
BLSPZ2	DISASM
BLSR327A	SYM20227
BLSR327B	SYM20227
BLSR327C	SYM20227
BLSR327D	SYM20227
BLSR327E	SYM20227
BLSR327F	SYM20227
BLSR327G	SYM20227
BLSR327H	SYM20227
BLSR327I	SYM20227
BLSR327J	SYM20227
BLSR327M	SYM20227
BLSR327P	SYM20227
BLSR327W	SYM20227
BLSR327X	SYM20227
BLSRCKLT	SYM20227
BLSRCVTA	SYM20227
BLSRDEND	SYM20227
BLSRDT	SYM20227
BLSRDTD	SYM20227
BLSREUA	SYM20227
BLSRRA	SYM20227
BLSRROTB	SYM20227
BLSRSBA	SYM20227
BLSRSF	SYM20227
BLSRVT	DISASM
BLSRWCC	SYM20227
BLSSABA	DISASM
BLSUALL2	SYM20227
BLSUALLR	SYM20227
BLSUALLS	SYM20227
BLSUFRE2	SYM20227
BLSUFRER	SYM20227
BLSUFRES	SYM20227
BLSUSTBE	SYM20227
BLSUSTBN	SYM20227
BLSUSTBO	SYM20227
BLSZZ1	DISASM
BLSZZ2	DISASM
BLSZZ6	DISASM
BMDSECTS	SYM20104
BRING	SYM10101
BRKELEM	SYM10101
BRPRTMSG	SYM10101
BRREAD	SYM10101
BRWRITE	SYM10101
BUILDS	DISASM
CATLG	SYM60101
CENXTR	SYM10101
CMWTO	SYM10101
COBSAMP	DISASM
COMB	SYM60101
COMCOM	SYM10101
COMMON	SYM10101
CONTAINS	SYM20104
CONTENTS	SYM20104
CONTIME	SYM10101
DBV	SYM20104
DCDSWORK	SYM20104
DEL	SYM10101
DICT	SYM60101
DSCAN	SYM20128
DSW	SYM20104
EDSECT	SYM20104
EQUATES	SYM10101
ERMS	SYM20104
EVALWORK	SYM20104
EWTCMAP	ET110201
EWTMAP	SYM20106
FMTPTRN	SYM10101
FREEJSCB	SYM10101
FSPACE	SYM10101
GENCOM	SYM20104
GENERR	SYM20104
GENOP	SYM20104
GENTAB	SYM20104
GETJSCB	SYM10101
GETSEQ	SYM10101
GLOBAL	SYM10101
GOIF	SYM20104
