module	class	differing_code_lines	archive_lines	system_lines
AHLCWRIT	comment-only	0	12373	12373
AHLGTFI	comment-only	0	5790	5790
AHLIWRIT	comment-only	0	10883	10883
AHLMCER	comment-only	0	2736	2736
AHLMCIH	comment-only	0	251	1459
AHLREADR	comment-only	0	3278	3278
AHLSBLOK	comment-only	0	6246	6246
AHLSBUF	comment-only	0	3284	3284
AHLSCAN	comment-only	0	2244	2244
AHLSETD	comment-only	0	2496	2496
AHLSETEV	comment-only	0	7849	7849
AHLSETMG	identical	0	49	49
AHLT103	comment-only	0	1060	1060
AHLTCTL1	code	670	1741	1924
AHLTCTL2	identical	0	662	662
AHLTDIR	comment-only	0	3168	3168
AHLTEXT	comment-only	0	4200	4200
AHLTFOR	comment-only	0	4758	4758
AHLTMMSG	identical	0	118	118
AHLTMON	comment-only	0	2636	2636
AHLTPID	comment-only	0	5262	5262
AHLTPMT	comment-only	0	3166	3166
AHLTSCN	comment-only	0	1389	1389
AHLTSIO	comment-only	0	4440	4440
AHLTSLIP	comment-only	0	9108	9108
AHLTSVC	comment-only	0	10029	10029
AHLTSYFL	comment-only	0	3215	3215
AHLTSYSM	comment-only	0	5023	5023
AHLTTAB	comment-only	0	1019	1019
AHLTUSR	comment-only	0	3845	3845
AHLTVTAM	identical	0	367	367
AHLTXSYS	comment-only	0	4636	4636
AHLVCOFF	comment-only	0	1057	1057
AHLVCON	comment-only	0	1092	1092
AHLWRMSG	identical	0	122	122
AHLWTASK	comment-only	0	3662	3662
AHLWTMSG	identical	0	74	74
AHLWTO	comment-only	0	1983	1983
AHLWWRIT	comment-only	0	12686	12686
AKJLKL01	code	2739	3775	3944
AKJLKL02	code	284	376	391
AKJLKMSG	code	1110	1367	1405
AMAPTF01	comment-only	0	1590	1590
AMAPTF02	identical	0	228	228
AMAPTFLE	identical	0	2840	2840
AMASPZAP	code	2454	3837	3585
AMDPRAPP	comment-only	0	1393	1393
AMDPRCOM	identical	0	1827	1827
AMDPRCTL	identical	0	2997	2997
AMDPRCVT	comment-only	0	3082	3082
AMDPRDPS	comment-only	0	1869	1869
AMDPREAD	comment-only	0	2612	2612
AMDPRECT	code	2	291	291
AMDPREID	identical	0	150	150
AMDPREXT	comment-only	0	779	779
AMDPRFAR	code	350	1995	2317
AMDPRFCB	identical	0	2923	2923
AMDPRFDS	comment-only	0	2972	2972
AMDPRFLT	comment-only	0	770	770
AMDPRFMG	code	46	123	108
AMDPRFMT	identical	0	835	835
AMDPRFRM	comment-only	0	1823	1823
AMDPRFSC	comment-only	0	4007	4007
AMDPRFUB	comment-only	0	1078	1078
AMDPRFXT	comment-only	0	1259	1259
AMDPRGCD	comment-only	0	7436	7436
AMDPRGET	comment-only	0	3393	3393
AMDPRLOD	comment-only	0	2273	2273
AMDPRLPA	identical	0	554	554
AMDPRMST	code	1	1579	1579
AMDPRNUC	comment-only	0	1983	1983
AMDPROOT	identical	0	377	377
AMDPRPCR	comment-only	0	648	648
AMDPRPJB	comment-only	0	2177	2177
AMDPRPMG	identical	0	73	73
AMDPRPMS	comment-only	0	2561	2561
AMDPRQCB	comment-only	0	2591	2591
AMDPRRDC	comment-only	0	4659	4659
AMDPRREC	comment-only	0	1191	1191
AMDPRSCN	comment-only	0	2605	2605
AMDPRSEG	comment-only	0	3047	3047
AMDPRSMG	identical	0	76	76
AMDPRSN2	comment-only	0	2274	2274
AMDPRSN3	comment-only	0	2198	2198
AMDPRSUM	comment-only	0	8790	8790
AMDPRUIM	comment-only	0	1585	1585
AMDSAAID	comment-only	0	1728	1728
AMDSAAMR	comment-only	0	2330	2330
AMDSAARD	comment-only	0	1358	1358
AMDSAASM	comment-only	0	4983	4983
AMDSAAUD	comment-only	0	1569	1569
AMDSABUF	comment-only	0	1315	1315
AMDSACON	comment-only	0	1340	1340
AMDSACSA	comment-only	0	1292	1292
AMDSADER	comment-only	0	2885	2885
AMDSAFRM	comment-only	0	549	549
AMDSAGTF	comment-only	0	1921	1921
AMDSAGTM	identical	0	573	573
AMDSAIOI	comment-only	0	1565	1565
AMDSALDR	comment-only	0	3343	3343
AMDSAMDM	comment-only	0	2214	2214
AMDSAMSG	identical	0	156	156
AMDSAPGE	comment-only	0	3257	3257
AMDSAPGI	comment-only	0	1407	1407
AMDSAPRO	code	249	1247	1228
AMDSARSM	comment-only	0	2763	2763
