module	diff_bytes	clusters	reference
BLSRDUIC	1	1	BLSRDUIN.bin
IEAVEDSR	1	1	IEANUC01.bin
IKJEHREN	1	1	IKJEHREN.bin
BLSSCDE	2	1	BLSSCDE.bin
IEAVECBV	2	2	IEANUC01.bin
IGFPKREF	2	2	IEANUC01.bin
IGFPMHCA	2	1	IEANUC01.bin
IGFPMKTA	2	1	IEANUC01.bin
BLSEADPR	3	2	BLSEADPR.bin
BLSSLCCA	3	1	BLSSLCCA.bin
IGG019MA	3	1	IGG019MA.bin
BLSR3270	4	3	BLSR3270.bin
BLSRDUDE	4	2	BLSRDUDE.bin
BLSRRACV	4	2	BLSUINI2.bin
IDA121A6	4	1	IEANUC01.bin
IEAVCKRR	4	2	IEANUC01.bin
IGG019MR	4	2	IGG019MR.bin
ILRJTERM	4	2	IEANUC01.bin
ILRPEX	4	4	IEANUC01.bin
BLSRRNCH	5	3	BLSRRNCH.bin
BLSRTCBX	5	2	BLSRTCBX.bin
BLSUMONA	5	2	BLSUINI2.bin
IECVPST	5	3	IEANUC01.bin
IGG019PD	5	2	IGG019PD.bin
BLSSASXB	6	3	BLSSASXB.bin
BLSSPVT	6	2	BLSSPVT.bin
IGFPTAIM	6	2	IEANUC01.bin
IRARMINT	6	2	IEANUC01.bin
BLSRCOMK	7	5	BLSRCOMK.bin
BLSSCSD	7	3	BLSSCSD.bin
IKJEE150	7	3	OPERATOR.bin
BLSVPSA	8	4	BLSVPSA.bin
IEAVEPDR	8	3	IEANUC01.bin
BLSRDUAL	9	6	BLSRDUAL.bin
BLSRDUIH	9	3	BLSRDUIN.bin
BLSSCVT	9	2	BLSSCVT.bin
IKJEFF56	9	4	STATUS.bin
BLSSUCM	10	3	BLSSUCM.bin
BLSRDUOP	11	3	BLSRDUAL.bin
BLSSASVT	11	1	BLSSASVT.bin
BLSSLLPA	11	5	BLSSLLPA.bin
BLSSXTLS	11	5	BLSSXTLS.bin
IKJEFF01	11	3	SUBMIT.bin
AMDPRFMG	15	8	AMDPRXED.bin
