module	asmdate
BLSUPUT	10/11/79
BLSUSTAE	03/01/78
IEAVAD71	02/18/77
IEAVADUS	03/16/77
IEAVIOCP	01/04/77
IEAVVCRA	05/09/77
IECTTRNS	08/16/76
IEE21110	03/23/77
IEE6303D	01/03/77
IEE6403D	01/03/77
IEECB911	01/06/77
IEECVFTT	07/23/76
IGC0002I	08/19/86
IGC0G05B	07/26/78
IGC0G95B	04/26/78
IGC0H05B	07/26/78
IGC0I05B	04/26/78
IGC0Q05B	04/26/78
IGE0011E	05/20/76
IGG0191B	05/26/78
IGG01923	02/25/77
IGG019M1	03/11/77
IGG019V1	05/20/76
IGG019V3	06/08/78
IGG019V4	05/21/76
IGG020D0	06/23/73
IGG0290E	04/05/83
IGG0325P	01/05/75
IGG0325U	09/08/73
IGG0553F	09/08/73
IHJQCP32	07/26/78
IHJQRS20	04/26/78
IHJQRS22	07/26/78
IHJQRS23	04/26/78
IKJEBEMA	02/18/85
IKJEBESA	07/08/86
