csect	tgt_lib	tgt_lmod	dlib_len	tgt_len	delta	in_control
AHLTSIO	LPALIB	AHLTSIO	000936	000A5E	+296	N
AMDSYS00	LPALIB	AMDSYS00	000820	000A3C	+540	N
HASPCOMA	LINKLIB	HASJES20	0061B5	00674D	+1432	N
HASPINIT	LINKLIB	HASJES20	00ABF5	00AC25	+48	N
HASPPRPU	LINKLIB	HASJES20	008635	008AA0	+1131	N
HASPSSSM	LPALIB	HASPSSSM	008DE5	008E75	+144	N
HASPXEQ	LINKLIB	HASJES20	004065	00406D	+8	N
ICHRIN00	LPALIB	ICHRIN00	0000A8	000098	-16	N
IEAVAD07	LPALIB	IGC0005A	000B23	000B40	+29	N
IEAVAD0C	LPALIB	IGC0005A	0002CE	000410	+322	N
IEAVAP00	LPALIB	IEFW21SD	002BCE	002DC8	+506	N
IEAVEDS0	NUCLEUS	IEANUC01	001008	0010B8	+176	N
IEAVEPC	NUCLEUS	IEANUC01	000B68	000E70	+776	N
IEAVESVC	NUCLEUS	IEANUC01	000634	000A78	+1092	N
IEAVMWTO	LPALIB	IGC0003E	0014AE	00118C	-802	N
IEAVNIPM	NUCLEUS	IEAVNIPM	0028E6	0028EA	+4	N
IEAVNP03	NUCLEUS	IEAVNP03	002E48	002E70	+40	N
IEAVNP12	NUCLEUS	IEAVNP12	000FC8	001008	+64	N
IEAVNPA5	NUCLEUS	IEAVNP05	000A0A	000A22	+24	N
IEAVRTOD	LPALIB	IEAVRTOD	00188C	0018CC	+64	N
IEAVTSDH	LPALIB	IGC0005A	000C82	000B66	-284	N
IEAVVWTO	LPALIB	IGC0003E	00187E	001780	-254	N
IEDAY88	LPALIB	IGC0010A	0002E8	0002F8	+16	N
IEDAYLL	LPALIB	IGC0010A	0002BC	0002E0	+36	N
IEDAYM	TELCMLIB	IEDAYM	00130C	0013C0	+180	N
IEDAYQ	TELCMLIB	IEDAYQ	0022E2	002300	+30	N
IEDQFSC	TELCMLIB	IEDQFSC	0004D0	0004F8	+40	N
IEE0603D	LPALIB	IGC0003D	00049C	000538	+156	N
IEE3503D	LPALIB	IGC0003D	0003F9	000481	+136	N
IEECVFTA	LPALIB	IGC0007B	000370	000388	+24	N
IEECVXIT	LPALIB	IGC0003E	000002	000A62	+2656	N
IEFAB458	LPALIB	IEFW21SD	0004F2	0004E2	-16	N
IEFAB464	LPALIB	IEFW21SD	0010AB	0010A8	-3	N
IEFAB4B0	LPALIB	IEFW21SD	00048E	000510	+130	N
IEFACTRT	LPALIB	IEFW21SD	000018	000E62	+3658	N
IEFJESNM	LINKLIB	IEEVIPL	000014	00002C	+24	N
IFCDIP00	LINKLIB	IFCDIP00	002752	00280A	+184	N
IFCIOHND	LINKLIB	IFCEREP1	003938	00399A	+98	N
IFNX1KUN	LINKLIB	IFOX11	000966	000977	+17	N
IFNX3KUN	LINKLIB	IFOX31	00088B	00089C	+17	N
IFNX4M00	LINKLIB	IFOX41	000CFB	000CE3	-24	N
IFNX4T00	LINKLIB	IFOX42	000E16	000DFE	-24	N
IFOX0F00	LINKLIB	IFOX04	000351	000378	+39	N
IGC0002D	LPALIB	IGC0002D	000468	000488	+32	N
IGC0203E	LPALIB	IGC0003E	00060C	0004BB	-337	N
IGCT002D	LPALIB	IGCT002D	000410	0003E0	-48	N
IGG026DU	LPALIB	IGC0002F	00000C	0000C8	+188	N
IKJCT431	CMDLIB	EXEC	001C40	001F90	+848	N
IKJCT433	LPALIB	IKJPTGT	002F70	0037A0	+2096	N
IKJEFD30	CMDLIB	ALLOCATE	000574	000598	+36	N
IKJEFD31	CMDLIB	ALLOCATE	000569	000570	+7	N
IKJEFD32	CMDLIB	ALLOCATE	000DA4	000DB8	+20	N
IKJEFD33	CMDLIB	ALLOCATE	0006B8	0006C8	+16	N
IKJEFD34	CMDLIB	ALLOCATE	000A1A	000A30	+22	N
IKJEFD35	CMDLIB	ALLOCATE	000340	000350	+16	N
IKJEFD36	CMDLIB	ALLOCATE	0004AC	0004D0	+36	N
IKJEFD37	CMDLIB	ALLOCATE	000D00	000D10	+16	N
IKJEFD3Z	CMDLIB	ALLOCATE	0007FE	00080E	+16	N
IKJEFF53	LINKLIB	IKJEFF53	00022D	0003E8	+443	N
IKJEFT56	LPALIB	IKJPTGT	000278	000398	+288	N
IKJEFTE2	LPALIB	IKJEFT02	000068	0001E0	+376	N
IKJEFTE8	LPALIB	IKJEFT02	000068	000140	+216	N
IKT0009D	LPALIB	IGC0009D	0000E4	0000E8	+4	N
IKT0940A	LPALIB	IGC0009D	000130	000150	+32	N
IKT09412	LPALIB	IGC0009D	000150	000176	+38	N
IKT09413	LPALIB	IGC0009D	000128	000148	+32	N
IKT3270I	LPALIB	IKTIOM02	000C30	000BA0	-144	N
IKT3270O	LPALIB	IKTIOM02	002774	002918	+420	N
IKTCAS54	LINKLIB	IKTCAS51	001962	0019A2	+64	N
IKTVTGET	LPALIB	IGC0009C	0009FC	000A48	+76	N
IKTXLOG	LPALIB	IKJEFLA	000048	000340	+760	N
IRBMFIHA	LINKLIB	IRBMFIHA	00083C	000844	+8	N
ISTZBFBA	LPALIB	ISTZBFBA	00038C	0003C4	+56	N
NETSOL	VTAMLIB	ISTNSC00	0022AC	002A80	+2004	N
