module	verdict	tag	offset	size_delta	owner	statement
AHLMCER	mixed	delete	0x0003	-1	<open code>	         DC    A(AHLMCER1)
AHLMCER	mixed	replace	0x0006	+5	<open code>	         DC    A(AHLMCFRR)
AHLMCER	mixed	replace	0x0138	-2	<open code>	AHLXIT3  NI    MCRWSAF(MCRWSAPT),X'FF'-MCINCNTL-
AHLMCER	mixed	insert	0x0140	+4	<open code>	AHLXIT4  LM    MCQEAD,RETURNAD,MCRMCIH(MCRWSAPT)
AHLMCER	mixed	replace	0x01bc	+4	<open code>	@RF00075 MVC   SDWASR12(4,SDWAPTR),MCERORG      
AHLMCER	mixed	delete	0x01c0	-2	<open code>	@RF00075 MVC   SDWASR12(4,SDWAPTR),MCERORG      
AHLMCER	mixed	replace	0x01d6	+4	<open code>	         MVC   SDWASR11(4,SDWAPTR),CVTGTF(@15)  
AHLMCER	mixed	replace	0x01da	+2	<open code>	         MVC   SDWASR11(4,SDWAPTR),CVTGTF(@15)  
AHLMCER	mixed	delete	0x01e0	-2	<open code>	         MVC   SDWASR04(4,SDWAPTR),MCCESAV(MCRWS
AHLMCER	mixed	delete	0x0274	-8	<open code>	         L     @15,SDUMPMSK                     
AHLMCER	mixed	delete	0x0280	-8	<open code>	         BZ    @BC00141                         
AHLMCER	mixed	replace	0x02ba	-2	<open code>	         SR    SDMPASID,SDMPASID                
AHLMCER	mixed	insert	0x02c0	+4	<open code>	         ICM   SDMPASID,3,ASCBASID(@15)         
AHLMCER	mixed	delete	0x030c	-2	SDUMP	         CNOP  2,4                              
AHLMCER	mixed	insert	0x032d	+16	<open code>	         L     @15,WSACGTF(,@15)                
AHLMCER	mixed	insert	0x032e	+4	<open code>	         L     @15,WSACGTF(,@15)                
AHLMCER	mixed	delete	0x0331	-4	<open code>	         L     TMPMCQE,MCROUTSA(,@15)           
AHLMCER	mixed	replace	0x0366	+2	<open code>	         L     @09,CVTGTF(,@09)                 
AHLMCER	mixed	replace	0x0378	+2	<open code>	         L     @09,CVTGTF(,@09)                 
AHLMCER	mixed	replace	0x03ae	+2	<open code>	         L     @15,CVTGTF(,@15)                 
AHLMCER	mixed	insert	0x03c6	+2	<open code>	         L     @15,WSACGTF(,@15)                
AHLMCER	mixed	insert	0x03ca	+2	<open code>	         OI    MCERROR(@15),B'00100000'         
AHLMCER	mixed	replace	0x03d5	-2	<open code>	         L     MSGPTR,M132ADDR                  
AHLMCER	mixed	replace	0x0493	-2	SCHEDULE	         BNE   *-8                      LOOP IF 
AHLMCER	mixed	insert	0x049c	+4	<open code>	AHLXITC  LM    MCQEAD,RETURNAD,MCRMCIH(MCRWSAPT)
AHLMCER	mixed	insert	0x049e	+10	<open code>	         BR    RETURNAD                /* RETURN
AHLMCER	mixed	delete	0x04a6	-2	<open code>	M132ADDR DC    A(AHLMCMSG)
AHLMCER	mixed	delete	0x04af	-1	<open code>	         DC    AL3(@ENDDATD-@DATD)
AHLMCER	mixed	replace	0x04b1	-1	<open code>	MCERORG  DC    AL4(AHLMCER1)
AHLMCER	mixed	replace	0x04ba	-8	<open code>	SDUMPMSK DC    XL4'80000000'
AHLSBUF	mixed	insert	0x0040	+8	<open code>	         L     WORKPTR,GTFSSRB(,PCTPTR)         
AHLSBUF	mixed	replace	0x00d8	+4	<open code>	         MVC   EQHEAD(4,PCTPTR),EQCHAIN(CQUEUE) 
AHLSBUF	mixed	delete	0x00dc	-2	<open code>	         MVC   EQHEAD(4,PCTPTR),EQCHAIN(CQUEUE) 
AHLSBUF	mixed	replace	0x0152	+4	<open code>	         MVC   HQHEAD(4,PCTPTR),HQCHAIN(BCBHOLDR
AHLSBUF	mixed	insert	0x0156	+2	<open code>	         MVC   HQHEAD(4,PCTPTR),HQCHAIN(BCBHOLDR
AHLSBUF	mixed	delete	0x015c	-2	<open code>	DISPOSAL MVC   SWAPBCB(4,WORKPTR),BCBSWAP(BCBHOL
AHLSBUF	mixed	insert	0x01a1	+1	<open code>	         BC    4,DISPOSAL                       
AHLSBUF	mixed	replace	0x01a2	-1	<open code>	         ICM   @08,15,WQHEAD(PCTPTR)            
AHLSBUF	mixed	insert	0x01a6	+2	<open code>	         ICM   @08,15,WQHEAD(PCTPTR)            
AHLSBUF	mixed	insert	0x01b2	+2	<open code>	@RF00157 ICM   @08,15,SAVECNT(PCTPTR)           
AHLSBUF	mixed	insert	0x02c2	+2	<open code>	         ICM   @02,15,SAVECNT(PCTPTR)           
AHLSBUF	mixed	insert	0x0386	+2	<open code>	         ICM   @02,3,BLOKUSE(@08)               
AHLSBUF	mixed	replace	0x0408	+4	<open code>	         MVC   SDWARTYA(4,GPR01P),SDWANXT1(SDWAP
AHLSBUF	mixed	delete	0x040c	-2	<open code>	         MVC   SDWARTYA(4,GPR01P),SDWANXT1(SDWAP
AHLSBUF	mixed	replace	0x0446	-2	<open code>	         SLR   SDASID,SDASID                    
AHLSBUF	mixed	insert	0x044c	+4	<open code>	         ICM   SDASID,3,ASCBASID(@15)           
AHLSBUF	mixed	insert	0x047e	+2	SDUMP	         DC    AL1(27)                      LENG
AHLSBUF	mixed	delete	0x04c5	-1	<open code>	@CH01807 DC    H'72'
AHLSBUF	mixed	insert	0x04c8	+1	<open code>	         DS    0F
AHLSBUF	mixed	insert	0x04ce	+4	<open code>	@CF01759 DC    XL4'7FFFFFFF'
AHLT103	all in open code	delete	0x0000	-3	<open code>	         B     @PROLOG                          
AHLT103	all in open code	insert	0x0010	+2	<open code>	         DC    AL1(16)                          
AHLT103	all in open code	delete	0x0011	-1	<open code>	         DC    AL1(16)                          
AHLT103	all in open code	replace	0x0013	-1	<open code>	         DC    AL1(16)                          
AHLT103	all in open code	delete	0x00c6	-2	<open code>	         AL    @11,@CF00420                     
