module	ours	ibm	delta	member
HEWLFESD	1992	1991	-1	DLIB
HMASMLCP	3569	3568	-1	LINKLIB(HMASMP)
IEFDB4F9	3900	3901	+1	LPALIB(IEFW21SD)
IFFAHA11	984	985	+1	DLIB
IGG08104	1305	1304	-1	LPALIB(IGC0008A)
IGG0CLB1	2412	2411	-1	LPALIB(IGG0CLA1)
IEAVAD51	796	794	-2	LPALIB(IGC0005A)
IECLMSGC	1296	1294	-2	LPALIB(IECLMSGC)
IECVXDAU	38	40	+2	NUCLEUS(IEANUC01)
IECVXGRT	30	32	+2	NUCLEUS(IEANUC01)
IECVXMGN	46	48	+2	DLIB
IECVXTAT	66	68	+2	NUCLEUS(IEANUC01)
IECVXTPT	26	28	+2	NUCLEUS(IEANUC01)
IEDAYX	58	60	+2	TELCMLIB(IEDAYX)
IEDCSA	10	12	+2	TELCMLIB(IEDIAP03)
IEDQAB	70	72	+2	TELCMLIB(IEDQAB)
IEDQATTN	44	46	+2	NUCLEUS(IEANUC01)
IEDQBF	106	108	+2	TELCMLIB(IEDQBF)
IEDQHI	720	718	-2	LINKLIB(IEDQHI)
IEDQUI	92	94	+2	TELCMLIB(IEDQUI)
IEE20110	1076	1074	-2	LPALIB(IGC20110)
IFCE2880	14307	14309	+2	LINKLIB(IFCE2880)
IFFPKADG	3880	3878	-2	DLIB
IGE0104G	984	986	+2	LPALIB(IGE0104G)
IGE0304G	426	428	+2	LPALIB(IGE0304G)
IGG0197E	1016	1014	-2	LPALIB(IGG0191A)
IGG0197P	1226	1224	-2	DLIB
IGG019FB	232	230	-2	LPALIB(IGG019FB)
IGG019Q9	1655	1657	+2	SVCLIB(IGG019Q9)
IGG019R6	1160	1162	+2	SVCLIB(IGG019R6)
IGG019RM	78	80	+2	SVCLIB(IGG019RM)
IHCGSP02	236	238	+2	DLIB
IOEDKMSG	2782	2784	+2	DLIB
IEFAB49A	1332	1335	+3	LPALIB(IEFW21SD)
IEFVGM11	386	383	-3	LPALIB(IEFVGM11)
IEFVGM12	382	379	-3	LPALIB(IEFVGM12)
IEFVGM16	200	197	-3	LPALIB(IEFVGM16)
IEFVGM2	346	343	-3	LPALIB(IEFVGM2)
IEFVGM4	314	311	-3	LPALIB(IEFVGM4)
IEFVGM5	300	297	-3	LPALIB(IEFVGM5)
IEFVGM78	297	294	-3	LPALIB(IEFVGM78)
IEFVGM9	246	243	-3	LPALIB(IEFVGM9)
IGG019VW	869	872	+3	DLIB
IKJCT435	3302	3299	-3	CMDLIB(EXEC)
ILROPS00	2839	2836	-3	LINKLIB(ILROPS00)
AMDPRFMT	780	776	-4	LPALIB(AMDPRFMT)
IASXWR00	376	372	-4	LPALIB(IASXWR00)
ICGDSB01	1320	1324	+4	DLIB
ICKSA10	1572	1568	-4	LINKLIB(ICKDSF)
ICKVLBL	492	488	-4	LINKLIB(ICKDSF)
