module	verdict	clusters_in_macro	clusters_in_opencode	macro_calls	clusters_unattributed
AHLREADR	mixed	5	3	SETFRR:5	0
AHLSBLOK	all in macro expansions	5	0	SETFRR:5	0
AHLSCAN	all in open code	0	6		0
AHLSETD	mixed	5	1	SETFRR:5	0
AHLSETMG	all in open code	0	1		0
AHLTEXT	mixed	7	4	SETFRR:7	0
AHLTMMSG	all in open code	0	7		0
AHLTSYFL	mixed	7	3	SETFRR:7	0
AHLTTAB	partly unattributed	0	5		6
AHLVCOFF	partly unattributed	0	6		2
AHLWRMSG	partly unattributed	0	5		1
AHLWTMSG	all in open code	0	3		0
AMAPTF01	partly unattributed	0	19		13
AMAPTF02	all in open code	0	1		0
AMAPTFLE	partly unattributed	0	16		6
AMDPRCOM	all in macro expansions	1	0	COMMON:1	0
AMDPREXT	partly unattributed	0	5		31
AMDPRFMG	all in open code	0	8		0
AMDPRFSC	partly unattributed	0	5		6
AMDPRNUC	partly unattributed	0	1		2
AMDPROOT	partly unattributed	0	6		5
AMDPRPCR	all in open code	0	2		0
AMDPRPJB	partly unattributed	0	6		13
AMDPRPMG	all in macro expansions	13	0	WTO:13	0
AMDPRPMS	partly unattributed	0	16		66
AMDPRSMG	mixed	6	1	WTO:6	0
AMDSAAID	partly unattributed	0	4		3
AMDSAARD	partly unattributed	0	4		6
AMDSAASM	partly unattributed	0	1		1
AMDSABUF	all in open code	0	2		0
AMDSACSA	no cluster attributed	0	0		4
AMDSADER	partly unattributed	0	14		8
AMDSAFRM	all in open code	0	2		0
AMDSAGTF	partly unattributed	0	4		4
AMDSAGTM	partly unattributed	0	1		1
AMDSAMDM	all in open code	0	7		0
AMDSAMSG	all in open code	0	8		0
AMDSAPGE	partly unattributed	0	2		3
AMDSAPRO	partly unattributed	0	6		13
AMDSASIN	partly unattributed	0	5		9
AMDSASVI	all in open code	0	4		0
AMDSATXT	all in open code	0	14		0
AMDSAUPD	partly unattributed	0	2		7
AMDSAVCK	partly unattributed	0	14		2
AMDSAWAT	all in open code	0	5		0
AMDSYS02	partly unattributed	9	3	FMTPTRN:9	2
BLSCADYN	partly unattributed	0	3		1
BLSCAINT	partly unattributed	0	3		1
BLSCALOC	partly unattributed	0	1		2
BLSCANLE	partly unattributed	0	1		2
BLSCENDD	all in macro expansions	1	0	SHOWCB:1	0
BLSCERSE	partly unattributed	1	16	SHOWCB:1	1
BLSCFDYN	all in open code	0	3		0
BLSCGETT	mixed	15	45	SHOWCB:13 SYNADAF:1 SYNADRLS:1	0
BLSCOPEN	partly unattributed	0	3		1
BLSCPOIN	all in macro expansions	1	0	SHOWCB:1	0
BLSDADSD	all in open code	0	3		0
BLSDAPDR	all in open code	0	2		0
BLSDIFP0	all in open code	0	7		0
BLSDMSGS	no cluster attributed	0	0		21
BLSDSTAE	no cluster attributed	0	0		3
BLSEADP1	all in open code	0	2		0
BLSEADPR	all in open code	0	2		0
BLSELPDR	partly unattributed	0	1		3
BLSFSCRT	partly unattributed	0	1		1
BLSR3270	all in open code	0	3		0
BLSRADD1	all in open code	0	10		0
