kind	key	modules	example_module	example_offset	example_statement
pair	00->40	15	BLSEADPR	0x13e7	         DC    0D'0'                                
pair	00->80	14	BLSDIFP0	0x06f9	         DC    0H'0'                                
pair	0000->4040	13	BLSEADP1	0x076a	         DC    0F'0'                                
pair	f2f6->f7f8	12	IEAVEMS0	0x0045	         BR    R14                  RETURN.         
pair	00->50	9	HMASMIO1	0x0474	         DC    0D'0'                                
pair	00->92	9	HMASMLKD	0x1b44	JRTRC    DC    FL1'0'                               
pair	00->08	8	AMDSAPRO	0x0623	IPLINPUT DC    XL4'00007400'           WORK AREA FOR
pair	00->e0	8	BLSCADYN	0x0398	         DC    F'0'                                 
pair	00->01	8	BLSR3270	0x0533	         DC    0F'0'                                
pair	00000000->40404040	7	BLSCANLE	0x0b7a	@CB00378 DC    B'00000000'
pair	00->20	7	BLSRVRBX	0x040f	         DC    0F'0'                                
pair	00->f0	7	BLSVPSA	0x05a3	         DC    0H'0'                                
pair	00->70	6	AMDPRFMG	0x0067	         DC    0F'0'                                
pair	00->d2	6	BLSCALOC	0x05d2	@CB01020 DC    B'10010000'
pair	00->30	6	BLSRADD1	0x0be1	         DC    0H'0'                                
pair	00->10	6	BLSRMSGA	0x01e1	         DC    0H'0'                                
pair	f8->f9	6	BLSRVPCP	0x0010	         DC    AL1(16)                              
pair	f9->f2	6	IEAVGM00	0x0012	         BAL   R14,FRRINIT     ESTABLISH FRR, CLEAR 
pair	00->a0	5	AMDSAPRO	0x04cb	         DC    H'01'                   RCD PER TRK C
pair	00->58	5	BLSDIFP0	0x0775	         DC    0H'0'                                
pair	00->02	5	BLSRCOMK	0x094b	         DC    0H'0'                                
pair	00->60	5	BLSRMSGA	0x01ed	         DC    0H'0'                                
pair	f9->f8	5	HMASMDC2	0x03b4	         DC    V(HMASMZAP)                          
pair	bf->4f	5	IDCTSAU0	0x0901	         DC    H'0'                    CONVERSION FL
pair	f2f6->f7f9	5	IEAVETCL	0x0017	         CS    R0,R1,ASCBTCBS        REPLACE OLD COU
pair	00000000->95044009	5	IFFACA02	0x0060	         CLI   ATTNLVID+1,AID          IS THIS VALID
pair	00000000->9501401e	5	IFFACA02	0x017a	AGAIN    CLI   ATTNBPID,HEX01          ATBL BP POINT
pair	00000000->58404004	5	IFFACA02	0x0182	         L     RATL,ATTNBKPT           LOAD BACKWARD
pair	00000000->59808010	5	IFFAEA02	0x001a	         C     GRGDSCB,GDSGDSCB        IS DATA SET N
pair	00->94	5	IFFAFA05	0x0052	         NI    GDSGRMOD,X'00'          SET CURRENT M
pair	80->70	5	IGE0001H	0x0175	         BE    ERR500                  BR TO LOG IT 
pair	f5->f9	5	IGG0196Q	0x0016	         DC    AL1(24)                              
pair	00->04	4	BLSCAINT	0x02e5	         DC    0H'0'                                
pair	00->05	4	BLSRFIND	0x0b10	ESCOKEY  DC    BL1'0'                               
pair	00->e3	4	BLSRFIND	0x0b45	         DC    0H'0'                                
pair	00->48	4	BLSRSUMM	0x0ca5	@CB02552 DC    X'00'
pair	00->0a	4	BLSSCSD	0x0167	         DC    0A(0)                                
pair	f7f7->f8f4	4	IDCRS02	0x000f	         DC    AL1(16)                              
pair	f9->f4	4	IEAVEMS0	0x0040	         BR    R14                  RETURN.         
pair	f0f9->f1f2	4	IEAVETCL	0x0011	         BNP   SUSPINCR              YES, DO NOT DEC
pair	f0f7->f2f4	4	IEAVGM00	0x0014	         BAL   R14,FRRINIT     ESTABLISH FRR, CLEAR 
pair	00000000->9503401f	4	IFFACA02	0x020e	         CLI   ATTNLITE,HEX03          ENABLED KEYS 
pair	00000000->9501401f	4	IFFACA02	0x0216	         CLI   ATTNLITE,HEX01          SYS DEFAULT O
pair	00->0c	4	IFFAHA12	0x0203	         DC    XL3'00'
pair	3c->1c	4	IRARMCPM	0x014f	         L     R7,RMEPINT-RMEP(,R1)                 
pair	d8->f8	4	IRARMCTL	0x08db	         LA    R1,RMEPBRPS-RMCT(,R2)                
pair	18->48	4	IRARMCTL	0x09af	         LA    R1,RMEPBCSO-RMCT(,R2)                
