module	dlib_lib	dlib	dlib_c	tgt_lib	tgt_lmod	tgt_c	tgt_members	tgt_split	dlib_len	tgt_len	len_same
AHLCWRIT	AOS11	len-differs	len-differs	LINKLIB	AHLCWRIT	len-differs	1	N	001EF0	001EF0	Y
AHLDMPMD	AOS11	no-deck	no-deck	-	-	not-in-target	0	-	-	-	-
AHLGTFI	AOS11	len-differs	len-differs	LINKLIB	AHLGTF	len-differs	1	N	001A68	001A68	Y
AHLIWRIT	AOS11	len-differs	len-differs	LINKLIB	AHLIWRIT	len-differs	1	N	0018B8	0018B8	Y
AHLMCER	AOS11	len-differs	len-differs	LPALIB	AHLSETD	len-differs	1	N	000558	000558	Y
AHLMCIH	AOSC5	identical	identical	NUCLEUS	IEANUC01	identical	1	N	000120	000120	Y
AHLREADR	AOS11	differs	differs	LPALIB	AHLREADR	differs	1	N	000404	000404	Y
AHLSBLOK	AOS11	differs	differs	LPALIB	AHLWSMOD	differs	1	N	0003CA	0003CA	Y
AHLSBUF	AOS11	len-differs	len-differs	LPALIB	AHLWSMOD	len-differs	1	N	00058E	00058E	Y
AHLSCAN	AOS11	holes	holes	LINKLIB	AHLGTF	holes	1	N	000820	000820	Y
AHLSETD	AOS11	differs	differs	LPALIB	AHLSETD	differs	1	N	00043C	00043C	Y
AHLSETEV	AOS11	len-differs	len-differs	LPALIB	AHLSETEV	len-differs	1	N	001C14	001C14	Y
AHLSETMG	AOS11	holes	holes	LPALIB	AHLSETEV	holes	1	N	000086	000086	Y
AHLT103	AOS11	len-differs	len-differs	LINKLIB	AHLGTF	len-differs	1	N	0005F4	0005F4	Y
AHLTCTL1	AOS11	identical	identical	LINKLIB	AHLGTF	identical	1	N	000AD8	000AD8	Y
AHLTCTL2	AOS11	identical	identical	LINKLIB	AHLGTF	identical	1	N	000BEB	000BEB	Y
AHLTDIR	AOS11	len-differs	len-differs	LPALIB	AHLSETD	len-differs	1	N	0003C8	0003C8	Y
