module	outcome
IEDAYA	no 2- or 4-byte insert
IEDAYAB	no 2- or 4-byte insert
IEDAYC	tried, still differs
IEDAYD	no 2- or 4-byte insert
IEDAYF	no 2- or 4-byte insert
IEDAYH	no 2- or 4-byte insert
IEDAYI	no 2- or 4-byte insert
IEDAYJ	tried, still differs
IEDAYL	tried, still differs
IEDAYM	no 2- or 4-byte insert
IEDAYN	tried, still differs
IEDAYO	tried, still differs
IEDAYQ	tried, still differs
IEDAYS	no 2- or 4-byte insert
IEDAYT	no 2- or 4-byte insert
IEDAYV	no 2- or 4-byte insert
IEDAYW	no 2- or 4-byte insert
IEDAYX	no 2- or 4-byte insert
IEDAYZ	no 2- or 4-byte insert
IEDCMIN	tried, still differs
IEDDFOUT	tried, still differs
IEDIAA	no 2- or 4-byte insert
IEDIAB	tried, still differs
IEDIAH	no 2- or 4-byte insert
IEDIAM	no 2- or 4-byte insert
IEDIAP	no 2- or 4-byte insert
IEDIAQ	no 2- or 4-byte insert
IEDIAR	no 2- or 4-byte insert
IEDIAS	no 2- or 4-byte insert
IEDLUS	tried, still differs
IEDNCU2	no 2- or 4-byte insert
IEDNGD	tried, still differs
IEDNKA	tried, still differs
IEDNLT	tried, still differs
IEDNSL	tried, still differs
IEDNTR	tried, still differs
IEDOPTN	no 2- or 4-byte insert
IEDPCIN	tried, still differs
IEDPCOUT	tried, still differs
IEDQA0	no 2- or 4-byte insert
IEDQA3	no 2- or 4-byte insert
IEDQA4	no 2- or 4-byte insert
IEDQA5	no 2- or 4-byte insert
IEDQA6	no 2- or 4-byte insert
IEDQAA	tried, still differs
IEDQAB	no 2- or 4-byte insert
IEDQAE	no 2- or 4-byte insert
IEDQAG	tried, still differs
IEDQAH	no 2- or 4-byte insert
IEDQAJ	tried, still differs
IEDQAK	no 2- or 4-byte insert
IEDQAM	no 2- or 4-byte insert
IEDQAS	no 2- or 4-byte insert
IEDQAT	no 2- or 4-byte insert
IEDQATTN	no 2- or 4-byte insert
IEDQAW	no 2- or 4-byte insert
IEDQAZ	tried, still differs
IEDQB4	no 2- or 4-byte insert
IEDQB7	no 2- or 4-byte insert
IEDQBD	no 2- or 4-byte insert
IEDQBE	no 2- or 4-byte insert
IEDQBF	no 2- or 4-byte insert
IEDQBH	tried, still differs
IEDQBI	tried, still differs
IEDQBJ	no 2- or 4-byte insert
IEDQBL	tried, still differs
IEDQBM	tried, still differs
IEDQBO	tried, still differs
IEDQBS	no 2- or 4-byte insert
IEDQBT	tried, still differs
IEDQBU	no 2- or 4-byte insert
IEDQBUFF	no 2- or 4-byte insert
IEDQBV	no 2- or 4-byte insert
IEDQBZ	no 2- or 4-byte insert
IEDQCA	tried, still differs
IEDQDA	no 2- or 4-byte insert
IEDQE6	no 2- or 4-byte insert
IEDQEB	no 2- or 4-byte insert
IEDQEC	tried, still differs
IEDQES	no 2- or 4-byte insert
IEDQEU	tried, still differs
IEDQEW	tried, still differs
IEDQFE10	tried, still differs
IEDQFE20	no 2- or 4-byte insert
IEDQFE30	no 2- or 4-byte insert
IEDQFM	no 2- or 4-byte insert
IEDQFSC	no 2- or 4-byte insert
IEDQFW	tried, still differs
IEDQGA	no 2- or 4-byte insert
IEDQGH	no 2- or 4-byte insert
IEDQGQ	no 2- or 4-byte insert
IEDQGT	no 2- or 4-byte insert
IEDQHI	tried, still differs
IEDQHK	no 2- or 4-byte insert
IEDQND	no 2- or 4-byte insert
IEDQNF	no 2- or 4-byte insert
IEDQNJ	tried, still differs
IEDQNK	no 2- or 4-byte insert
IEDQNM	no 2- or 4-byte insert
IEDQNO	tried, still differs
IEDQNQ	no 2- or 4-byte insert
IEDQNS	no 2- or 4-byte insert
IEDQNT	tried, still differs
IEDQNX	no 2- or 4-byte insert
IEDQOA	tried, still differs
IEDQOB	tried, still differs
IEDQOT01	tried, still differs
IEDQRS	no 2- or 4-byte insert
IEDQSBT	no 2- or 4-byte insert
IEDQTL	no 2- or 4-byte insert
IEDQUI	no 2- or 4-byte insert
IEDQW25	tried, still differs
IEDQWAC	no 2- or 4-byte insert
IEDQWB1	tried, still differs
IEDQWB2	tried, still differs
IEDQWE	tried, still differs
IEDQWE2	tried, still differs
IEDQWH	no 2- or 4-byte insert
IEDQWIA	tried, still differs
IEDQWID	tried, still differs
IEDQWIE	tried, still differs
IEDQWJ2	tried, still differs
IEDQWL	no 2- or 4-byte insert
IEDQWL1	no 2- or 4-byte insert
IEDQWL3	no 2- or 4-byte insert
IEDQWO	tried, still differs
IEDQWR	no 2- or 4-byte insert
IEDQWY	no 2- or 4-byte insert
IEDQXA	no 2- or 4-byte insert
IEDQXB	no 2- or 4-byte insert
IEDQXC	tried, still differs
IEDRSPIN	tried, still differs
IEDSAC	tried, still differs
IEDSAI	tried, still differs
IEDSAO	tried, still differs
IEDSARI	tried, still differs
IEDSCPDS	tried, still differs
IEDSCPRQ	tried, still differs
IEDSNS	no 2- or 4-byte insert
IEDUNBND	tried, still differs
IEDXFMI	tried, still differs
IGC0010D	no 2- or 4-byte insert
IGC0110D	no 2- or 4-byte insert
IGC0210D	tried, still differs
IGC0310D	no 2- or 4-byte insert
IGC0410D	tried, still differs
IGC0510D	no 2- or 4-byte insert
IGC0610D	no 2- or 4-byte insert
IGC0710D	no 2- or 4-byte insert
IGC0810D	no 2- or 4-byte insert
IGC0910D	no 2- or 4-byte insert
IGC0A10D	tried, still differs
IGC0B10D	no 2- or 4-byte insert
IGC0C10D	no 2- or 4-byte insert
IGC0D10D	tried, still differs
IGC0E10D	no 2- or 4-byte insert
IGC0H10D	tried, still differs
IGC0I10D	tried, still differs
IGC0J05B	no 2- or 4-byte insert
IGC0J10D	tried, still differs
IGC0K10D	tried, still differs
IGC0L10D	no 2- or 4-byte insert
IGC0N10D	tried, still differs
IGCA010D	no 2- or 4-byte insert
IGCA110D	no 2- or 4-byte insert
IGCA210D	no 2- or 4-byte insert
IGCA310D	no 2- or 4-byte insert
IGCA410D	no 2- or 4-byte insert
IGCA510D	no 2- or 4-byte insert
IGCA610D	no 2- or 4-byte insert
IGCA710D	tried, still differs
IGCA810D	no 2- or 4-byte insert
IGCA910D	no 2- or 4-byte insert
IGCAA10D	no 2- or 4-byte insert
IGCAB10D	no 2- or 4-byte insert
IGCAC10D	tried, still differs
IGCAD10D	no 2- or 4-byte insert
IGCAE10D	no 2- or 4-byte insert
IGCAF10D	no 2- or 4-byte insert
IGCAG10D	no 2- or 4-byte insert
IGCAL10D	no 2- or 4-byte insert
IGCAT10D	no 2- or 4-byte insert
IGCC010D	no 2- or 4-byte insert
IGCC110D	no 2- or 4-byte insert
IGCD010D	tried, still differs
IGCD110D	no 2- or 4-byte insert
IGCD210D	no 2- or 4-byte insert
IGCD310D	no 2- or 4-byte insert
IGCD410D	no 2- or 4-byte insert
IGCD510D	tried, still differs
IGCD610D	no 2- or 4-byte insert
IGCD710D	tried, still differs
IGCD810D	no 2- or 4-byte insert
IGCD910D	tried, still differs
IGCDB10D	tried, still differs
IGCDC10D	tried, still differs
IGCDD10D	tried, still differs
IGCDL10D	tried, still differs
IGCFA10D	no 2- or 4-byte insert
IGCFB10D	no 2- or 4-byte insert
IGCFC10D	tried, still differs
IGCFE10D	no 2- or 4-byte insert
IGCFF10D	no 2- or 4-byte insert
IGCFG10D	tried, still differs
IGCFH10D	tried, still differs
IGCFI10D	tried, still differs
IGCFJ10D	tried, still differs
IGCFK10D	tried, still differs
IGCFL10D	tried, still differs
IGCFP10D	no 2- or 4-byte insert
IGCFQ10D	tried, still differs
IGCH010D	no 2- or 4-byte insert
IGCI010D	no 2- or 4-byte insert
IGCI110D	tried, still differs
IGCI210D	tried, still differs
IGCI310D	tried, still differs
IGCM010D	no 2- or 4-byte insert
IGCM110D	no 2- or 4-byte insert
IGCM210D	tried, still differs
IGCM310D	tried, still differs
IGCM410D	no 2- or 4-byte insert
IGCM510D	tried, still differs
IGCM610D	no 2- or 4-byte insert
IGCM710D	tried, still differs
IGCM810D	tried, still differs
IGCM910D	no 2- or 4-byte insert
IGCMA10D	no 2- or 4-byte insert
IGCMB10D	no 2- or 4-byte insert
IGCMD10D	no 2- or 4-byte insert
IGCME10D	tried, still differs
IGCMF10D	no 2- or 4-byte insert
IGCMG10D	tried, still differs
IGCMH10D	tried, still differs
IGCMI10D	no 2- or 4-byte insert
IGCMK10D	no 2- or 4-byte insert
IGCML10D	no 2- or 4-byte insert
IGCMM10D	no 2- or 4-byte insert
IGCMN10D	no 2- or 4-byte insert
IGCMP10D	no 2- or 4-byte insert
IGCMR10D	tried, still differs
IGCMS10D	no 2- or 4-byte insert
IGCMT10D	no 2- or 4-byte insert
IGCMU10D	no 2- or 4-byte insert
IGCMV10D	tried, still differs
IGCMY10D	tried, still differs
IGCMZ10D	no 2- or 4-byte insert
IGCN410D	tried, still differs
IGCN510D	no 2- or 4-byte insert
IGCR010D	tried, still differs
IGCT010D	tried, still differs
IGCT110D	tried, still differs
IGCT210D	no 2- or 4-byte insert
IGCV010D	tried, still differs
IGCV110D	no 2- or 4-byte insert
IGCV210D	no 2- or 4-byte insert
IGCV310D	tried, still differs
IGCV410D	tried, still differs
IGCV510D	tried, still differs
IGCV610D	tried, still differs
IGCV710D	tried, still differs
IGCV810D	no 2- or 4-byte insert
IGCV910D	no 2- or 4-byte insert
IGCVA10D	tried, still differs
IGCVE10D	no 2- or 4-byte insert
IGCVF10D	no 2- or 4-byte insert
IGCVG10D	tried, still differs
IGCVI10D	tried, still differs
IGCZ010D	tried, still differs
IGCZ110D	tried, still differs
IGE0004G	tried, still differs
IGE0004H	tried, still differs
IGE0004I	no 2- or 4-byte insert
IGE0104G	tried, still differs
IGE0204G	no 2- or 4-byte insert
IGE0204H	no 2- or 4-byte insert
IGE0304G	tried, still differs
IGE0404G	no 2- or 4-byte insert
IGE0504H	no 2- or 4-byte insert
IGE0604G	no 2- or 4-byte insert
IGE0904G	no 2- or 4-byte insert
IGE0904H	no 2- or 4-byte insert
IGE0904I	no 2- or 4-byte insert
IGG01930	no 2- or 4-byte insert
IGG01931	tried, still differs
IGG01933	no 2- or 4-byte insert
IGG01934	tried, still differs
IGG01935	no 2- or 4-byte insert
IGG01936	tried, still differs
IGG01937	no 2- or 4-byte insert
IGG01938	no 2- or 4-byte insert
IGG01939	no 2- or 4-byte insert
IGG01940	tried, still differs
IGG01941	no 2- or 4-byte insert
IGG01942	no 2- or 4-byte insert
IGG01943	no 2- or 4-byte insert
IGG01944	no 2- or 4-byte insert
IGG01945	no 2- or 4-byte insert
IGG01946	tried, still differs
IGG01948	tried, still differs
