csect	length	text_frac	origin	library	load_module	second_reference
IKJEBLI1	66	0.14	target	CMDLIB	IKJEBELI	-
IKJEGYDR	69	0.13	target	CMDLIB	IKJEGLDR	-
IKJEBRE2	70	0.06	target	CMDLIB	IKJEBERE	-
IKJEFLIM	70	0.10	target	LPALIB	IKJEFLA	-
IKJCT4PS	71	0.07	target	LINKLIB	IKJCT469	-
IKJEBCH2	71	0.07	target	CMDLIB	IKJEBECH	-
IKJEBMEM	72	0.22	target	CMDLIB	IKJEBEME	-
IKJCT4PC	74	0.14	target	LINKLIB	IKJCT469	-
IKJEBMRM	74	0.19	target	CMDLIB	IKJEBEMR	-
IKJEBXT1	80	0.11	target	CMDLIB	IKJEBEIP	-
IKJEBCH4	83	0.22	target	CMDLIB	IKJEBECH	-
IKJEBEMV	84	0.14	target	CMDLIB	IKJEBEAA	-
IKJEGYNT	86	0.21	target	CMDLIB	TEST	-
IKJEBSC1	87	0.08	target	CMDLIB	IKJEBESC	-
IKJEHRN3	92	0.08	target	CMDLIB	IKJEHREN	-
IKJEBLT1	93	0.14	target	CMDLIB	IKJEBELT	-
IKJEGPWP	94	0.12	target	CMDLIB	IKJEGPSW	-
IKJEGFRL	104	0.10	target	CMDLIB	IKJEGLDF	-
IKJEBTA0	107	0.10	target	CMDLIB	IKJEBETA	-
IKJEBCH3	112	0.08	target	CMDLIB	IKJEBECH	-
IKJEBIP1	116	0.03	target	CMDLIB	IKJEBEIP	-
IKJEBDE1	120	0.11	target	CMDLIB	IKJEBEDE	-
IKJEBCH1	128	0.07	target	CMDLIB	IKJEBECH	-
IKJEGPRM	133	0.07	target	CMDLIB	IKJEGCPY	-
IKJEBCIM	134	0.19	target	CMDLIB	IKJEBECI	-
IKJEHPDL	137	0.26	target	CMDLIB	IKJEHREN	-
IKJEGPAS	144	0.27	target	CMDLIB	IKJEGGO	-
IKJEBEDR	152	0.03	target	CMDLIB	IKJEBEAA	-
IKJEBEAS	160	0.27	target	CMDLIB	IKJEBEAA	-
IKJEBRE4	164	0.16	target	CMDLIB	IKJEBERE	-
IKJEBSA1	167	0.12	target	CMDLIB	IKJEBESA	-
IKJEGAPL	182	0.13	target	CMDLIB	IKJEGAT	-
IKJEBEWB	184	0.14	target	CMDLIB	IKJEBEAA	-
IKJEBERB	200	0.07	target	CMDLIB	IKJEBEAA	-
IKJEBMA3	212	0.15	target	CMDLIB	IKJEBEMA	-
IKJEBEWP	240	0.09	target	CMDLIB	IKJEBEAA	-
IKJEBERR	248	0.08	target	CMDLIB	IKJEBEAA	-
IKJEBEWA	250	0.14	target	CMDLIB	IKJEBEAA	-
IKJEFF5A	257	0.20	target	LINKLIB	IKJEFF50	-
IKJEBSU0	265	0.11	target	CMDLIB	IKJEBESU	-
IKJEBMA2	272	0.11	target	CMDLIB	IKJEBEMA	-
IKJPARSE	275	0.09	target	CMDLIB	IKJEFE11	-
IKJEBEDL	296	0.11	target	CMDLIB	IKJEBEAA	-
IKJEFF4A	308	0.17	target	LINKLIB	IKJEFF57	-
IKJEGPMA	308	0.28	target	CMDLIB	IKJEGLST	-
IKJEBIN6	313	0.18	target	CMDLIB	E	-
IKJEBFO0	324	0.27	target	CMDLIB	IKJEBEFO	-
IKJEHMMR	348	0.23	target	CMDLIB	IKJEHAL1	-
IKJEGMN1	360	0.12	target	CMDLIB	TEST	-
IKJEHSTS	364	0.21	target	CMDLIB	IKJEHAL1	-
IKJEBMA1	372	0.13	target	CMDLIB	IKJEBEMA	-
IKJEGBLD	392	0.12	target	CMDLIB	TEST	-
IKJEBEWS	416	0.09	target	CMDLIB	IKJEBEAA	-
IKJEHRN4	440	0.08	target	CMDLIB	IKJEHREN	-
IKJEHVSM	448	0.15	target	CMDLIB	IKJEHDS1	-
IKJEBEDU	466	0.13	target	CMDLIB	IKJEBEAA	-
IKJCT4PO	489	0.09	target	LINKLIB	IKJCT469	-
IKJEBEDS	490	0.13	target	CMDLIB	IKJEBEAA	-
IKJEBELO	540	0.13	target	CMDLIB	IKJEBEAA	-
IKJEHVHS	542	0.18	target	CMDLIB	IKJEHAL1	-
IKJEHSTA	616	0.19	target	CMDLIB	IKJEHDS1	-
IKJEHALM	689	0.13	target	CMDLIB	IKJEHAL1	-
IKJEBRE1	880	0.17	target	CMDLIB	IKJEBERE	-
IKJEHHIS	916	0.29	target	CMDLIB	IKJEHDS1	-
IKJEBEWR	938	0.12	target	CMDLIB	IKJEBEAA	-
IKJEHMBR	964	0.21	target	CMDLIB	IKJEHDS1	-
