module	ref	status	len_ours	len_ibm	len_repaired	ident_ours	ident_ibm	bytes_before	edits_before	bytes_after	edits_after	cmplmd_after	cmplmd_verdict_after	cmplmd_diff_after
AHLTSIO	LPALIB(AHLTSIO)	differs	2334	2654	2342	16	24	576	153	547	135	1	length	0
AMDPRCVT	LINKLIB(AMDPRCVT)	differs	4594	4602	4602	16	24	387	63	434	49	1	mixed	2144
ICB2AIR	DLIB	differs	545	553	553	16	24	19	6	1	1	1	text	1
ICBMSG05	LINKLIB(ICBMSG05)	differs	10608	11584	10616	16	25	8079	1279	8062	1275	1	length	0
ICBMSG56	LINKLIB(ICB2MSG)	differs	29250	32578	29258	16	25	39293	1816	39274	1812	1	length	0
ICBVDM00	LINKLIB(ICBVVI00)	differs	4599	4605	4599	16	16	8154	134	8147	131	1	length	0
ICBVDR01	LINKLIB(ICBVDR01)	differs	8072	8296	8080	16	25	5254	851	5236	846	1	length	0
ICBVIN00	LINKLIB(ICBVVI00)	differs	12992	14132	12992	16	16	23762	177	23755	174	1	length	0
ICBVIN02	DLIB	differs	4076	4856	4084	16	25	1636	429	1615	424	1	length	0
ICBVJL00	LINKLIB(ICBVVI00)	differs	5296	5376	5304	16	25	1009	562	992	558	1	length	0
ICBVMT00	LINKLIB(ICBVVI00)	differs	9204	11100	9212	16	25	5571	1203	5555	1199	1	length	0
ICBVPR00	LINKLIB(ICBVVI00)	differs	2032	2612	2040	16	25	1547	165	1532	161	1	length	0
ICBVQM00	DLIB	differs	3901	4133	3909	16	25	854	361	837	357	1	length	0
ICBVRR00	LINKLIB(ICBVVI00)	differs	3104	2392	3112	16	25	1032	192	1015	188	1	length	0
ICBVSC00	DLIB	differs	2364	2404	2372	16	25	176	108	154	104	1	length	0
ICBVSL00	LINKLIB(ICBVVI00)	differs	13577	22952	13577	16	16	31675	173	31669	169	1	length	0
ICBVSP00	DLIB	differs	6018	6100	6026	16	25	4496	814	4473	810	1	length	0
ICBVTP00	LINKLIB(ICBVVI00)	differs	2300	2444	2308	16	25	875	230	856	225	1	length	0
ICBVTP01	DLIB	differs	1884	2012	1892	16	25	546	219	528	214	1	length	0
ICBVUT03	DLIB	differs	3528	3680	3536	16	25	3733	307	3743	294	1	length	0
ICGDSA05	DLIB	differs	2248	2472	2256	16	25	495	107	478	102	1	length	0
ICGDSB01	DLIB	differs	1319	1324	1327	16	25	204	37	186	33	1	length	0
ICGDSB03	DLIB	differs	1497	1809	1505	16	25	458	87	439	82	1	length	0
ICGDSB05	DLIB	differs	936	1497	944	16	25	695	74	679	69	1	length	0
ICGDSB06	DLIB	differs	1674	2143	1682	16	25	742	124	726	120	1	length	0
ICGDSB15	DLIB	differs	1273	1640	1281	16	25	904	110	888	105	1	length	0
ICGDSB19	DLIB	differs	5544	6026	5552	16	25	2565	764	2549	759	1	length	0
ICGDSB20	DLIB	differs	6032	6537	6040	16	25	3148	741	3130	736	1	length	0
ICGDSBLD	DLIB	differs	2904	3667	2912	16	25	1306	212	1289	207	1	length	0
ICGDSINT	DLIB	differs	1836	1852	1844	16	25	169	78	147	68	1	length	0
ICGDSS08	DLIB	differs	2673	3132	2681	16	25	1738	347	1722	342	1	length	0
ICGDSS09	DLIB	differs	5803	7079	5811	16	25	3468	681	3452	677	1	length	0
ICGDSSCN	DLIB	differs	2043	2035	2051	16	25	224	167	207	161	1	length	0
ICGTRINT	DLIB	differs	13920	15216	13928	16	25	4350	1165	4333	1160	1	length	0
ICKRI02	LINKLIB(ICKDSF)	not-anchored												
IDCAU03	DLIB	differs	14896	15260	14904	16	24	6141	1848	6123	1844	1	length	0
IDCCH01	DLIB	differs	13404	16532	13412	16	24	13844	2164	13826	2159	1	length	0
IDCCH02	DLIB	differs	21904	29182	21912	16	24	18423	3600	18406	3595	1	length	0
IDCCH04	DLIB	differs	5952	7516	5960	16	24	7470	420	7453	416	1	length	0
IDCCO01	DLIB	differs	11695	12025	11703	16	24	1873	587	1854	583	1	length	0
IDCCV01	DLIB	differs	8310	8562	8318	16	24	1240	317	1221	313	1	length	0
IDCDU01	DLIB	differs	14978	16402	14986	16	24	10155	1375	10137	1370	1	length	0
IDCIO05	LINKLIB(IDCAMS)	differs	20412	20404	20420	16	24	1334	698	1318	693	1	length	0
IDCLD01	DLIB	differs	12551	12831	12559	16	24	3197	569	3178	565	1	length	0
IDCLM01	DLIB	differs	12794	12906	12802	16	24	3246	1207	3229	1204	1	length	0
IDCLV01	DLIB	differs	13534	13734	13542	16	24	2206	961	2189	958	1	length	0
IDCMG01	DLIB	differs	4164	4236	4172	16	24	326	195	309	190	1	length	0
IDCMV01	DLIB	differs	13538	13794	13546	16	24	2036	877	2017	873	1	length	0
IDCNC01	DLIB	differs	2283	2403	2291	16	24	378	120	361	116	1	length	0
IDCRD03	DLIB	differs	6548	6572	6556	16	24	538	108	518	102	1	length	0
IDCRD04	DLIB	differs	6518	6534	6526	16	24	855	326	838	323	1	length	0
IDCRD05	DLIB	repair-failed	11710	11686		16	242	1228	446					
IDCRD07	DLIB	differs	17068	17372	17076	16	24	3826	1349	3809	1345	1	length	0
IDCRV01	DLIB	differs	7717	7813	7725	16	24	1004	411	989	408	1	length	0
IDCSD01	DLIB	differs	10297	10637	10305	16	24	2879	655	2860	651	1	length	0
IDCVS03	DLIB	differs	7415	7616	7423	16	24	1137	369	1121	364	1	length	0
IEAVAD01	LPALIB(IGC0005A)	differs	7424	8080	7432	16	24	2851	489	2836	485	1	length	0
IEAVAD07	LPALIB(IGC0005A)	differs	2430	2880	2438	16	24	997	239	982	235	1	length	0
IEAVAD08	LPALIB(IGC0005A)	differs	752	802	760	16	24	141	62	126	58	1	length	0
IEAVAD0C	LPALIB(IGC0005A)	repair-failed	718	1040		16	16	422	55					
IEAVAD0E	LPALIB(IGC0005A)	differs	2610	2627	2618	16	24	78	51	62	47	1	length	0
IEAVAD0F	LPALIB(IGC0005A)	differs	857	1025	865	16	24	714	68	700	63	1	length	0
IEAVTAS1	LPALIB(IGC0001C)	differs	3588	3996	3596	16	24	866	253	850	249	1	length	0
IEAVTAS2	LPALIB(IGC0001C)	differs	1184	1296	1192	16	24	251	106	234	102	1	length	0
IEAVTGLB	LPALIB(IEAVTSLP)	differs	5110	5160	5118	16	24	480	316	464	312	1	length	0
IEAVTJBN	LPALIB(IEAVTSLP)	differs	932	940	940	16	24	26	12	14	6	1	mixed	2
IEAVTMTC	LPALIB(IEAVTMTC)	differs	1576	1704	1584	16	24	454	95	439	90	1	length	0
IEAVTRET	LPALIB(IEAVTRET)	differs	3648	3605	3656	16	24	1770	380	1752	377	1	length	0
IEAVTSSE	LPALIB(IGC0005A)	differs	3462	3486	3470	16	24	125	95	111	90	1	length	0
IEBGENR3	LINKLIB(IEBGENER)	no-eyecatcher-in-source	4540	4909		16	25	2183	546					
IEBGSCAN	LINKLIB(IEBGENER)	no-eyecatcher-in-source	4034	4212		16	25	2299	561					
IEECB905	LPALIB(IEECB905)	differs	12220	13092	12228	16	24	21067	543	21039	540	1	length	0
IEECB907	LPALIB(IEECB905)	differs	5650	11756	5658	16	24	11067	779	11048	775	1	length	0
IEECB909	LPALIB(IEECB905)	differs	19800	19808	19808	16	24	395	247	432	234	1	text	1438
IEEMB811	LPALIB(IEEMB811)	differs	635	1002	643	16	24	614	92	598	89	1	length	0
IEEMB814	LINKLIB(IEEMB878)	differs	740	552	748	16	24	803	47	771	43	1	length	0
IEEMB825	LINKLIB(IEEMB820)	differs	900	872	908	16	24	137	53	119	49	1	length	0
IEFAB424	LPALIB(IEFW21SD)	differs	2155	2213	2163	16	24	453	243	437	240	1	length	0
IEFAB441	LPALIB(IEFW21SD)	differs	2232	2240	2240	16	24	43	14	27	9	1	mixed	8
IEFAB486	LPALIB(IEFW21SD)	identical	4164	4172	4172	16	24	68	15	51	11	0	identical	0
IEFAB4EC	LPALIB(IEFW21SD)	differs	2372	2271	2380	16	24	307	139	290	135	1	length	0
IEFAB4EF	LPALIB(IEFW21SD)	differs	1604	1612	1612	16	24	45	20	31	16	1	text	187
IEFAB4FA	LPALIB(IEFAB4E5)	differs	4394	4410	4402	16	24	259	208	243	205	1	length	0
IEFAB4FC	LINKLIB(IEESB601)	differs	3038	3004	3046	16	24	682	258	666	254	1	length	0
IEFAB4UV	LPALIB(IEFW21SD)	differs	2293	2301	2301	16	24	200	172	185	168	1	mixed	1935
IEFDB411	LPALIB(IEFW21SD)	differs	3397	3480	3405	16	24	464	312	448	308	1	length	0
IEFDB412	LPALIB(IEFW21SD)	differs	5793	6011	5801	16	24	722	335	706	331	1	length	0
IEFDB4D0	LPALIB(IEFDB4D0)	differs	8760	9172	8768	16	24	5016	1465	5000	1461	1	length	0
IEFDB4FE	LPALIB(IEFW21SD)	differs	562	570	570	16	24	89	45	70	41	1	text	87
IEFIB660	LPALIB(IEFSD060)	differs	677	685	685	16	24	61	27	42	24	1	mixed	355
IEFTB721	LPALIB(IEFW21SD)	differs	1938	2038	1946	16	24	199	72	183	68	1	length	0
IEFTB722	LPALIB(IEFW21SD)	differs	3084	3210	3092	16	24	388	146	370	141	1	length	0
IEHMVSRV	LINKLIB(IEHMVESX)	no-eyecatcher-in-source	2652	3722		16	25	1694	236					
IGC0112F	DLIB	differs	2428	2436	2436	16	25	141	12	123	7	1	mixed	14
IGE0010E	LPALIB(IGE0010E)	not-anchored												
IKJEFT56	LPALIB(IKJPTGT)	differs	632	920	640	16	24	343	34	333	33	1	length	0
IKTXLOG	LPALIB(IKJEFLA)	differs	72	832	80	16	24	776	12	761	8	1	length	0
ILRFMT00	LINKLIB(ILRFMT00)	differs	9244	9264	9252	16	24	4180	487	3363	500	1	length	0
ILRFMTPG	LINKLIB(ILRFMT00)	differs	4196	4216	4204	16	24	514	398	499	394	1	length	0
ILRFMTSW	LINKLIB(ILRFMT00)	differs	7132	7148	7140	16	24	908	669	875	669	1	length	0
ILRTMI01	LPALIB(ILRGROUP)	differs	2211	2304	2220	16	24	676	230	644	215	1	length	0
ILRVSAMI	LPALIB(ILRGROUP)	differs	6400	7128	6408	16	24	1703	356	1687	350	1	length	0
ISDASDA0	DLIB	differs	7738	9224	7746	16	25	3306	965	3341	952	1	length	0
ISTAPC54	LPALIB(ISTAPC54)	not-anchored												
