csect	our_branch	ibm_branch	delta
IGG019DD	68	60	-8
IKTIOFRR	30	22	-8
ICKSA02	68	64	-4
IKJEFP40	30	26	-4
IEAVTFRD	28	26	-2
IEAVTFRT	28	26	-2
IEAVTFSD	28	26	-2
IECLMSGC	28	26	-2
IECLMSGD	28	26	-2
IECLMSGG	28	26	-2
IECLMSGM	28	26	-2
IECLMSGT	28	26	-2
IECLMSGU	28	26	-2
IECVIOPM	28	26	-2
IEFAB459	30	28	-2
IEFAB4A2	30	28	-2
IEFBB416	30	28	-2
IEFDB413	30	28	-2
IEFDB4A1	30	28	-2
IEFIB600	22	20	-2
IGE0025C	28	26	-2
IGFDT1	30	28	-2
AHLWWRIT	24	26	+2
IEECB906	24	26	+2
IEAVVRP1	24	28	+4
IEECB912	24	28	+4
IEECLEAN	32	36	+4
IEEMPS03	24	28	+4
IGC0F05A	22	26	+4
IGFDM1	22	26	+4
AMDPRSN2	132	138	+6
IDA019RZ	102	108	+6
IEAVMED2	26	32	+6
IEAVTABD	22	28	+6
IECDAFMT	22	28	+6
IECDAFT1	42	48	+6
IEFAB423	22	28	+6
IEFAB464	30	36	+6
IEFAB490	22	28	+6
IEFAB4E5	22	28	+6
IEFAB4EE	22	28	+6
IEFDB418	22	28	+6
IEFJSWT	22	28	+6
IEFXB609	22	28	+6
IEHMVSRK	16	22	+6
IGFCIC	22	28	+6
IGFDE1	22	28	+6
IGFDI1	22	28	+6
IGFDR0	22	28	+6
IGFDV0	22	28	+6
IGFDV1	22	28	+6
ILRRLG	22	28	+6
ILRSAV	22	28	+6
IOEDKRDR	22	28	+6
AHLTSIO	22	30	+8
AMDPRCVT	22	30	+8
ICB2AIR	22	30	+8
ICBMSG05	22	30	+8
ICBMSG56	22	30	+8
ICBTMSS0	30	38	+8
ICBVDM00	22	30	+8
ICBVDR01	22	30	+8
ICBVIN00	22	30	+8
ICBVIN02	22	30	+8
ICBVJL00	22	30	+8
ICBVMS00	36	44	+8
ICBVMT00	22	30	+8
ICBVPR00	22	30	+8
ICBVQM00	22	30	+8
ICBVRR00	22	30	+8
ICBVSC00	22	30	+8
ICBVSL00	22	30	+8
ICBVSP00	22	30	+8
