module	anchor	seclocate	source
AHLCWRIT	0x54		anchor
AHLGTFI	0x54		anchor
AHLIWRIT	0x54		anchor
AHLMCER		0x3	seclocate
AHLSBUF	0x44	0x40	both
AHLSETEV	0x96		anchor
AHLT103	0x1C	0x0	both
AHLTDIR	0x16	0x12	both
AHLTMON	0x1C		anchor
AHLTPID	0x16	0x0	both
AHLTPMT	0xC0		anchor
AHLTSCN	0xC6	0x10	both
AHLTSIO	0x0		anchor
AHLTSLIP	0xAE		anchor
AHLTSVC	0xEE		anchor
AHLTSYSM	0xA8	0x12	both
AHLTUSR	0x16	0x4A	both
AHLVCON	0x1C	0x0	both
AHLWTASK	0x1C	0x0	both
AHLWTO	0x82		anchor
AHLWWRIT	0x0		anchor
AMDPRAPP	0x96	0x12	both
AMDPRCTL	0x60		anchor
AMDPRCVT	0x0	0xE	both
AMDPRDPS	0x2A	0x1A1	both
AMDPREAD	0x6		anchor
AMDPRFDS	0x5A	0x12	both
AMDPRFLT	0x1C		anchor
AMDPRFMT	0x56	0x15	both
AMDPRFRM	0x1C	0x0	both
AMDPRFUB	0x24		anchor
AMDPRGCD	0xD6		anchor
AMDPRGET	0x3E		anchor
AMDPRLOD	0x6		anchor
AMDPRQCB	0xD4		anchor
AMDPRRDC	0x2E		anchor
AMDPRSCN	0x20	0x53	both
AMDPRSEG	0x26	0x0	both
AMDPRSN2	0x0		anchor
AMDPRSUM	0x148		anchor
AMDPRUIM	0x2A		anchor
AMDSAAUD	0x1E		anchor
AMDSACON	0x64		anchor
AMDSAIOI	0xE		anchor
AMDSALDR	0xCC	0x174	both
AMDSASIO	0x1C	0x43	both
AMDSATAP	0x1C		anchor
AMDSATER	0x3C		anchor
AMDSAUCB	0xDA		anchor
AMDSYS00	0x0		anchor
AMDSYS01	0xA6		anchor
AMDSYS03	0x0		anchor
AMDSYS04	0x1C		anchor
AMDSYS05	0x5E	0x12	both
AMDUSRFD	0x1C		anchor
BLSCAMOD	0x20	0xAC	both
BLSCPUTT	0x1C	0x318	both
BLSRDUSC	0x1C	0x4E7	both
BLSRVSLD	0x1C	0x214	both
BLSUVSAR	0x1C	0x9E	both
BNGI3270	0x14	0x12	both
BNGIDISP	0x14		anchor
BNGIEXIT		0x92	seclocate
BNGIMENU	0x9C	0x20	both
BNGIREAD	0x20	0xE	both
BNGTQEMA	0xE		anchor
HEWLFADA	0xC		anchor
HEWLFAPT	0x22E	0x1EA	both
HEWLFBTP	0x0		anchor
HEWLFEND	0x6		anchor
HEWLFENS	0xA		anchor
HEWLFENT	0xA		anchor
HEWLFESD	0xA	0xA	both
HEWLFIDR	0x14		anchor
HEWLFINC	0x2E	0x11	both
HEWLFINP	0x6		anchor
HEWLFINT	0xA		anchor
HEWLFMAP	0x0		anchor
HEWLFOPT	0xA		anchor
HEWLFOUT	0x22		anchor
HEWLFRAT	0x6		anchor
HEWLFRCG	0x4		anchor
HEWLFREL	0x4		anchor
HEWLFROU	0x20		anchor
HEWLFSCD	0xE		anchor
HEWLFSCN	0x1C		anchor
HMASMAAR	0x1C	0x190	both
HMASMBDL	0x1C	0x0	both
HMASMCOM	0xA6	0x49	both
HMASMLCP	0x892	0x895	both
HMASMMDR	0xEA0		anchor
HMASMMPA	0x3C8	0x3C9	both
HMASMMPD	0x258	0x25A	both
HMASMMPH	0x3C0	0x3C1	both
HMASMMPL	0x448		anchor
HMASMPIN	0x8E	0x185	both
HMASMRCD	0x9C	0x89C	both
HMASMREC	0x5A		anchor
HMASMTMW	0x1C		anchor
HMASMULI	0x38	0xC3	both
HMASMZAP		0x2F3	seclocate
HMBLKCTL	0x18		anchor
HMBLKIDR	0xD0		anchor
HMBLKLDM	0x14	0xD	both
HMBLKOBJ	0x18		anchor
HMBLKSZE	0x10		anchor
HMBLKXRF	0x14		anchor
IASXSD81	0xE8		anchor
IASXSD82	0x1E0		anchor
IASXWR00	0x92	0x7A	both
ICB2ACT	0x0	0x0	both
ICB2AEA	0xA0	0x10	both
ICB2AIR	0x0	0xD	both
ICB2ATTN	0x1A	0x13	both
ICB2MSG	0x30		anchor
ICB2SIOB	0x3A		anchor
ICBIORSI	0x12		anchor
ICBMSG05	0x0		anchor
ICBMSG56	0x0		anchor
ICBPRGIO	0x12		anchor
ICBTMSS0	0x0		anchor
ICBVCR00	0x18		anchor
ICBVDM00	0x0		anchor
ICBVDR01	0x0		anchor
ICBVIN00	0x0		anchor
ICBVIN02	0x0		anchor
ICBVJL00	0x0		anchor
ICBVMG00	0x0		anchor
ICBVMS00	0x0		anchor
ICBVMT00	0x0		anchor
ICBVPR00	0x0		anchor
ICBVQM00	0x0		anchor
ICBVRR00	0x0		anchor
ICBVSC00	0x0	0xE	both
ICBVSL00	0x0		anchor
ICBVSP00	0x0		anchor
ICBVTP00	0x0		anchor
ICBVTP01	0x0		anchor
ICBVUT00	0x0		anchor
ICBVUT01	0x0		anchor
ICBVUT03	0x0		anchor
ICGDSA05	0x0		anchor
ICGDSA06	0x1C		anchor
ICGDSA07	0x1C		anchor
ICGDSA09	0x1C		anchor
ICGDSB01	0x0	0x0	both
ICGDSB03	0x0		anchor
ICGDSB05	0x0		anchor
ICGDSB06	0x0		anchor
ICGDSB08	0x1C		anchor
ICGDSB09	0x5E		anchor
ICGDSB10	0x1C	0x10	both
ICGDSB11	0x1C	0x10	both
ICGDSB12	0x1C	0x10	both
ICGDSB13	0x1C	0x10	both
ICGDSB14	0x1C	0x0	both
ICGDSB15	0x0		anchor
ICGDSB16	0x1C		anchor
ICGDSB18	0x68		anchor
