csect	first_divergence	anchors_failed	dlib_len	tgt_len	reference	our_deck
AHLTSIO	0x0	85	2358	2654	work/measurements/target-bytes/tk5/LPALIB/AHLTSIO.bin	obj_sysparm1/AHLTSIO.obj
AHLWWRIT	0x0	246	8336	8336	work/measurements/target-bytes/tk5/LINKLIB/AHLWWRIT.bin	obj_sysparm1/AHLWWRIT.obj
AMDSYS00	0x0	239	2080	2620	work/measurements/target-bytes/tk5/LPALIB/AMDSYS00.bin	obj_sysparm1/AMDSYS00.obj
AMDSYS03	0x0	250	6187	6187	work/measurements/target-bytes/tk5/LPALIB/AMDSYS03.bin	obj_sysparm1/AMDSYS03.obj
HEWLFBTP	0x0	223	4647	4647	work/measurements/target-bytes/tk5/LINKLIB/HEWLF064.bin	obj_sysparm1/HEWLFBTP.obj
HEWLFMAP	0x0	155	4140	4140	work/measurements/target-bytes/tk5/LINKLIB/HEWLF064.bin	obj_sysparm1/HEWLFMAP.obj
ICBMSG05	0x0	344	11584	11584	work/measurements/target-bytes/tk5/LINKLIB/ICBMSG05.bin	obj_sysparm1/ICBMSG05.obj
ICBMSG56	0x0	817	32578	32578	work/measurements/target-bytes/tk5/LINKLIB/ICB2MSG.bin	obj_sysparm1/ICBMSG56.obj
ICBVDM00	0x0	104	4605	4605	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVDM00.obj
ICBVDR01	0x0	271	8296	8296	work/measurements/target-bytes/tk5/LINKLIB/ICBVDR01.bin	obj_sysparm1/ICBVDR01.obj
ICBVIN00	0x0	507	14132	14132	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVIN00.obj
ICBVIN02	0x0	210	4856	0	work/measurements/dlib-bytes/tk5/AOSD0/ICBVIN02.bin	obj_sysparm1/ICBVIN02.obj
ICBVJL00	0x0	176	5376	5376	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVJL00.obj
ICBVMG00	0x0	163	6858	6858	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVMG00.obj
ICBVMS00	0x0	330	12928	0	work/measurements/dlib-bytes/tk5/AOSD0/ICBVMS00.bin	obj_sysparm1/ICBVMS00.obj
ICBVMT00	0x0	247	11100	11100	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVMT00.obj
ICBVPR00	0x0	103	2612	2612	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVPR00.obj
ICBVQM00	0x0	205	4133	0	work/measurements/dlib-bytes/tk5/AOSD0/ICBVQM00.bin	obj_sysparm1/ICBVQM00.obj
ICBVRR00	0x0	76	2392	2392	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVRR00.obj
ICBVSL00	0x0	310	22952	22952	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVSL00.obj
ICBVSP00	0x0	160	6100	0	work/measurements/dlib-bytes/tk5/AOSD0/ICBVSP00.bin	obj_sysparm1/ICBVSP00.obj
ICBVTP00	0x0	100	2444	2444	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVTP00.obj
ICBVTP01	0x0	97	2012	0	work/measurements/dlib-bytes/tk5/AOSD0/ICBVTP01.bin	obj_sysparm1/ICBVTP01.obj
ICBVUT00	0x0	539	21880	21880	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVUT00.obj
ICBVUT01	0x0	589	22476	22476	work/measurements/target-bytes/tk5/LINKLIB/ICBVVI00.bin	obj_sysparm1/ICBVUT01.obj
ICBVUT03	0x0	75	3680	0	work/measurements/dlib-bytes/tk5/AOSD0/ICBVUT03.bin	obj_sysparm1/ICBVUT03.obj
ICGDSA05	0x0	60	2472	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSA05.bin	obj_sysparm1/ICGDSA05.obj
ICGDSB03	0x0	69	1809	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSB03.bin	obj_sysparm1/ICGDSB03.obj
ICGDSB05	0x0	33	1497	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSB05.bin	obj_sysparm1/ICGDSB05.obj
ICGDSB06	0x0	49	2143	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSB06.bin	obj_sysparm1/ICGDSB06.obj
ICGDSB15	0x0	48	1640	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSB15.bin	obj_sysparm1/ICGDSB15.obj
ICGDSB19	0x0	179	6026	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSB19.bin	obj_sysparm1/ICGDSB19.obj
ICGDSB20	0x0	188	6537	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSB20.bin	obj_sysparm1/ICGDSB20.obj
ICGDSBLD	0x0	81	3667	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSBLD.bin	obj_sysparm1/ICGDSBLD.obj
ICGDSS08	0x0	142	3132	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSS08.bin	obj_sysparm1/ICGDSS08.obj
ICGDSS09	0x0	200	7079	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGDSS09.bin	obj_sysparm1/ICGDSS09.obj
ICGTRINT	0x0	407	15216	0	work/measurements/dlib-bytes/tk5/AOSD0/ICGTRINT.bin	obj_sysparm1/ICGTRINT.obj
ICKRI02	0x0	62	2496	2496	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKRI02.obj
ICKSA02	0x0	160	4024	4024	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKSA02.obj
ICKSA03	0x0	44	1120	1120	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKSA03.obj
ICKSA08	0x0	105	2856	2856	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKSA08.obj
ICKTSCC0	0x0	254	6001	6001	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKTSCC0.obj
ICKTSDV0	0x0	28	1645	1645	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKTSDV0.obj
ICKTSEF0	0x0	157	3145	3145	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKTSEF0.obj
ICKTSEX0	0x0	34	560	560	work/measurements/target-bytes/tk5/LINKLIB/ICKDSF.bin	obj_sysparm1/ICKTSEX0.obj
IDA019R1	0x0	187	4752	4752	work/measurements/target-bytes/tk5/LPALIB/IDA019L1.bin	obj_sysparm1/IDA019R1.obj
IDCAU03	0x0	542	15260	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCAU03.bin	obj_sysparm1/IDCAU03.obj
IDCCH01	0x0	450	16532	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCCH01.bin	obj_sysparm1/IDCCH01.obj
IDCCH02	0x0	525	29182	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCCH02.bin	obj_sysparm1/IDCCH02.obj
IDCCH04	0x0	258	7516	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCCH04.bin	obj_sysparm1/IDCCH04.obj
IDCCO01	0x0	358	12025	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCCO01.bin	obj_sysparm1/IDCCO01.obj
IDCCV01	0x0	299	8562	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCCV01.bin	obj_sysparm1/IDCCV01.obj
IDCDU01	0x0	463	16402	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCDU01.bin	obj_sysparm1/IDCDU01.obj
IDCLD01	0x0	405	12831	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCLD01.bin	obj_sysparm1/IDCLD01.obj
IDCLM01	0x0	402	12906	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCLM01.bin	obj_sysparm1/IDCLM01.obj
IDCLV01	0x0	489	13734	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCLV01.bin	obj_sysparm1/IDCLV01.obj
IDCMG01	0x0	190	4236	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCMG01.bin	obj_sysparm1/IDCMG01.obj
IDCMV01	0x0	431	13794	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCMV01.bin	obj_sysparm1/IDCMV01.obj
IDCNC01	0x0	123	2403	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCNC01.bin	obj_sysparm1/IDCNC01.obj
IDCRD07	0x0	484	17372	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCRD07.bin	obj_sysparm1/IDCRD07.obj
IDCRV01	0x0	277	7813	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCRV01.bin	obj_sysparm1/IDCRV01.obj
IDCSA02	0x0	406	12512	12512	work/measurements/target-bytes/tk5/LINKLIB/IDCAMS.bin	obj_sysparm1/IDCSA02.obj
IDCSD01	0x0	333	10637	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCSD01.bin	obj_sysparm1/IDCSD01.obj
IDCTSCH0	0x0	539	6260	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCTSCH0.bin	obj_sysparm1/IDCTSCH0.obj
IDCTSCM0	0x0	349	6694	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCTSCM0.bin	obj_sysparm1/IDCTSCM0.obj
IDCTSDL0	0x0	61	1152	1152	work/measurements/target-bytes/tk5/LINKLIB/IDCTSDL0.bin	obj_sysparm1/IDCTSDL0.obj
IDCTSDU0	0x0	235	5442	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCTSDU0.bin	obj_sysparm1/IDCTSDU0.obj
IDCTSLC1	0x0	70	1564	1564	work/measurements/target-bytes/tk5/LINKLIB/IDCTSLC1.bin	obj_sysparm1/IDCTSLC1.obj
IDCTSMC0	0x0	10	206	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCTSMC0.bin	obj_sysparm1/IDCTSMC0.obj
IDCTSPR0	0x0	126	2083	2083	work/measurements/target-bytes/tk5/LINKLIB/IDCTSPR0.bin	obj_sysparm1/IDCTSPR0.obj
IDCTSTU0	0x0	150	2823	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCTSTU0.bin	obj_sysparm1/IDCTSTU0.obj
IDCVS03	0x0	289	7616	0	work/measurements/dlib-bytes/tk5/AOSU0/IDCVS03.bin	obj_sysparm1/IDCVS03.obj
IDDWICLS	0x0	14	464	464	work/measurements/target-bytes/tk5/LPALIB/IDDWI.bin	obj_sysparm1/IDDWICLS.obj
IEAFTRT2	0x0	919	10676	10676	work/measurements/target-bytes/tk5/LINKLIB/IEAVTFMT.bin	obj_sysparm1/IEAFTRT2.obj
IEAVAD01	0x0	282	8080	8080	work/measurements/target-bytes/tk5/LPALIB/IGC0005A.bin	obj_sysparm1/IEAVAD01.obj
IEAVAD07	0x0	152	2851	2880	work/measurements/target-bytes/tk5/LPALIB/IGC0005A.bin	obj_sysparm1/IEAVAD07.obj
IEAVAD0C	0x0	61	718	1040	work/measurements/target-bytes/tk5/LPALIB/IGC0005A.bin	obj_sysparm1/IEAVAD0C.obj
IEAVAD0F	0x0	39	1025	1025	work/measurements/target-bytes/tk5/LPALIB/IGC0005A.bin	obj_sysparm1/IEAVAD0F.obj
IEAVMWTO	0x0	193	5294	4492	work/measurements/target-bytes/tk5/LPALIB/IGC0003E.bin	obj_sysparm1/IEAVMWTO.obj
IEAVTABD	0x0	215	7729	7729	work/measurements/target-bytes/tk5/LPALIB/IGC0001C.bin	obj_sysparm1/IEAVTABD.obj
IEAVTAS1	0x0	180	3996	3996	work/measurements/target-bytes/tk5/LPALIB/IGC0001C.bin	obj_sysparm1/IEAVTAS1.obj
IEAVTAS2	0x0	62	1296	1296	work/measurements/target-bytes/tk5/LPALIB/IGC0001C.bin	obj_sysparm1/IEAVTAS2.obj
IEAVTFRT	0x0	37	1046	1046	work/measurements/target-bytes/tk5/LINKLIB/IEAVTFRT.bin	obj_sysparm1/IEAVTFRT.obj
IEAVTMTC	0x0	60	1704	1704	work/measurements/target-bytes/tk5/LPALIB/IEAVTMTC.bin	obj_sysparm1/IEAVTMTC.obj
IEAVTSDH	0x0	86	3202	2918	work/measurements/target-bytes/tk5/LPALIB/IGC0005A.bin	obj_sysparm1/IEAVTSDH.obj
IEAVTSSD	0x0	210	6092	6092	work/measurements/target-bytes/tk5/LPALIB/IEAVTSSD.bin	obj_sysparm1/IEAVTSSD.obj
IEAVVRP1	0x0	121	3116	3116	work/measurements/target-bytes/tk5/LPALIB/IGC0003D.bin	obj_sysparm1/IEAVVRP1.obj
IEBEDIT2	0x0	23	621	621	work/measurements/target-bytes/tk5/LINKLIB/IEBGENER.bin	obj_sysparm1/IEBEDIT2.obj
IEBGEN03	0x0	214	4340	4340	work/measurements/target-bytes/tk5/LINKLIB/IEBGENER.bin	obj_sysparm1/IEBGEN03.obj
IEBGENR3	0x0	177	4909	4909	work/measurements/target-bytes/tk5/LINKLIB/IEBGENER.bin	obj_sysparm1/IEBGENR3.obj
IEBGSCAN	0x0	217	4212	4212	work/measurements/target-bytes/tk5/LINKLIB/IEBGENER.bin	obj_sysparm1/IEBGSCAN.obj
IEBIMAGE	0x0	642	19428	19428	work/measurements/target-bytes/tk5/LINKLIB/IEBIMAGE.bin	obj_sysparm1/IEBIMAGE.obj
IEBIMSGS	0x0	144	3304	3304	work/measurements/target-bytes/tk5/LINKLIB/IEBIMAGE.bin	obj_sysparm1/IEBIMSGS.obj
IEBISCAN	0x0	590	8930	8930	work/measurements/target-bytes/tk5/LINKLIB/IEBIMAGE.bin	obj_sysparm1/IEBISCAN.obj
IECDAFMT	0x0	146	5056	5056	work/measurements/target-bytes/tk5/LINKLIB/IECDAFMT.bin	obj_sysparm1/IECDAFMT.obj
IECDAFT1	0x0	639	7564	7564	work/measurements/target-bytes/tk5/LINKLIB/IECDAFMT.bin	obj_sysparm1/IECDAFT1.obj
IECLMSGG	0x0	62	1088	1088	work/measurements/target-bytes/tk5/LPALIB/IECLMSGG.bin	obj_sysparm1/IECLMSGG.obj
IECLMSGM	0x0	54	1054	0	work/measurements/dlib-bytes/tk5/AOSC5/IECLMSGM.bin	obj_sysparm1/IECLMSGM.obj
IECLMSGT	0x0	73	1483	1483	work/measurements/target-bytes/tk5/LPALIB/IECLMSGT.bin	obj_sysparm1/IECLMSGT.obj
IECLMSGU	0x0	76	1506	1506	work/measurements/target-bytes/tk5/LPALIB/IECLMSGU.bin	obj_sysparm1/IECLMSGU.obj
IEE10110	0x0	29	2395	2395	work/measurements/target-bytes/tk5/LPALIB/IGC10110.bin	obj_sysparm1/IEE10110.obj
IEEAB400	0x0	53	932	932	work/measurements/target-bytes/tk5/LPALIB/IEFW21SD.bin	obj_sysparm1/IEEAB400.obj
IEECB905	0x0	513	13092	13092	work/measurements/target-bytes/tk5/LPALIB/IEECB905.bin	obj_sysparm1/IEECB905.obj
IEECB906	0x0	62	2856	2856	work/measurements/target-bytes/tk5/LPALIB/IEECB905.bin	obj_sysparm1/IEECB906.obj
IEECB907	0x0	251	11756	11756	work/measurements/target-bytes/tk5/LPALIB/IEECB905.bin	obj_sysparm1/IEECB907.obj
IEECLEAN	0x0	422	8470	8470	work/measurements/target-bytes/tk5/LPALIB/IEEVCPU.bin	obj_sysparm1/IEECLEAN.obj
IEEMB811	0x0	46	1002	1002	work/measurements/target-bytes/tk5/LPALIB/IEEMB811.bin	obj_sysparm1/IEEMB811.obj
IEEMB814	0x0	23	552	552	work/measurements/target-bytes/tk5/LINKLIB/IEEMB878.bin	obj_sysparm1/IEEMB814.obj
IEEMPS03	0x0	56	1754	1754	work/measurements/target-bytes/tk5/LPALIB/IEEMPS03.bin	obj_sysparm1/IEEMPS03.obj
IEFAB423	0x0	125	2742	2742	work/measurements/target-bytes/tk5/LPALIB/IEFW21SD.bin	obj_sysparm1/IEFAB423.obj
IEFAB490	0x0	191	5125	5125	work/measurements/target-bytes/tk5/LPALIB/IEFW21SD.bin	obj_sysparm1/IEFAB490.obj
IEFAB4A2	0x0	204	5593	5593	work/measurements/target-bytes/tk5/LPALIB/IEFW21SD.bin	obj_sysparm1/IEFAB4A2.obj
IEFAB4EC	0x0	64	2271	2271	work/measurements/target-bytes/tk5/LPALIB/IEFW21SD.bin	obj_sysparm1/IEFAB4EC.obj
IEFBB416	0x0	170	4983	4983	work/measurements/target-bytes/tk5/LPALIB/IEFW21SD.bin	obj_sysparm1/IEFBB416.obj
