module	year	julian_day
AHLCWRIT	1985	353
AHLGTFI	1984	026
AHLIWRIT	1985	353
AHLMCER	1985	211
AHLMCIH	1978	333
AHLREADR	1978	348
AHLSBLOK	1978	348
AHLSBUF	1981	021
AHLSCAN	1978	348
AHLSETD	1978	348
AHLSETMG	1978	348
AHLT103	1978	333
AHLTCTL1	1978	348
AHLTCTL2	1978	348
AHLTDIR	1980	247
AHLTEXT	1978	348
AHLTFOR	1978	348
AHLTMMSG	1978	348
AHLTMON	1985	211
AHLTPID	1980	247
AHLTPMT	1979	198
AHLTSCN	1978	333
AHLTSIO	1978	226
AHLTSLIP	1984	028
AHLTSVC	1982	050
AHLTSYFL	1978	348
AHLTSYSM	1978	226
AHLTTAB	1978	348
AHLTUSR	1981	234
AHLTVTAM	1981	021
AHLTXSYS	1978	348
AHLVCOFF	1979	330
AHLVCON	1979	330
AHLWRMSG	1978	348
AHLWTASK	1985	211
AHLWTMSG	1978	348
AHLWTO	1984	028
AHLWWRIT	1988	033
AKJLKMSG	1982	258
AMAPTF01	1978	348
AMAPTF02	1978	348
AMASPZAP	1981	234
AMDPRAPP	1984	026
AMDPRCTL	1985	211
AMDPRCVT	1978	226
AMDPRDPS	1979	080
AMDPREAD	1980	247
AMDPRECT	1985	211
AMDPREID	1978	348
AMDPREXT	1978	348
AMDPRFAR	1978	333
AMDPRFDS	1980	247
AMDPRFLT	1984	026
AMDPRFMG	1979	080
AMDPRFMT	1985	211
AMDPRFRM	1984	026
AMDPRFSC	1978	348
AMDPRFUB	1980	017
AMDPRFXT	1978	348
AMDPRGCD	1982	050
AMDPRGET	1990	059
AMDPRLOD	1982	258
AMDPRLPA	1978	348
AMDPRNUC	1978	348
AMDPROOT	1978	348
AMDPRPCR	1978	348
AMDPRPJB	1978	348
AMDPRPMS	1978	348
AMDPRQCB	1980	164
AMDPRREC	1985	211
AMDPRSCN	1980	164
AMDPRSEG	1985	211
AMDPRSMG	1978	348
AMDPRSUM	1980	017
AMDPRUIM	1985	211
AMDSAAID	1978	348
AMDSAAMR	1978	348
AMDSAARD	1978	348
AMDSAASM	1978	348
