ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   20
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    68  IFO078      UNDEFINED OP CODE
    69  IFO078      UNDEFINED OP CODE
    70  IFO078      UNDEFINED OP CODE
    71  IFO078      UNDEFINED OP CODE
    72  IFO078      UNDEFINED OP CODE
    73  IFO078      UNDEFINED OP CODE
    74  IFO078      UNDEFINED OP CODE
    75  IFO188      CSWUS IS AN UNDEFINED SYMBOL
    76  IFO078      UNDEFINED OP CODE
    78  IFO078      UNDEFINED OP CODE
    79  IFO078      UNDEFINED OP CODE
    80  IFO078      UNDEFINED OP CODE
    81  IFO078      UNDEFINED OP CODE
    82  IFO078      UNDEFINED OP CODE
    83  IFO188      SNB00 IS AN UNDEFINED SYMBOL
    84  IFO078      UNDEFINED OP CODE
    96  IFO188      L0 IS AN UNDEFINED SYMBOL
    96  IFO188      L8 IS AN UNDEFINED SYMBOL
    96  IFO188      R3 IS AN UNDEFINED SYMBOL
    96  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    96  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    96  IFO188      TASKID IS AN UNDEFINED SYMBOL
    97  IFO188      R14 IS AN UNDEFINED SYMBOL
    99  IFO188      L5 IS AN UNDEFINED SYMBOL
    99  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    99  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    99  IFO188      DATE IS AN UNDEFINED SYMBOL
    99  IFO188      L3 IS AN UNDEFINED SYMBOL
    99  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 20
   100  IFO188      L6 IS AN UNDEFINED SYMBOL
   100  IFO188      L2 IS AN UNDEFINED SYMBOL
   100  IFO188      R3 IS AN UNDEFINED SYMBOL
   100  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   100  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   100  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   101  IFO188      L0 IS AN UNDEFINED SYMBOL
   101  IFO188      L3 IS AN UNDEFINED SYMBOL
   101  IFO188      R3 IS AN UNDEFINED SYMBOL
   101  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   101  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   101  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   102  IFO188      R14 IS AN UNDEFINED SYMBOL
   107  IFO188      R3 IS AN UNDEFINED SYMBOL
   107  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   108  IFO188      VERSION IS AN UNDEFINED SYMBOL
   109  IFO188      R14 IS AN UNDEFINED SYMBOL
   110  IFO188      L0 IS AN UNDEFINED SYMBOL
   110  IFO188      L2 IS AN UNDEFINED SYMBOL
   110  IFO188      R3 IS AN UNDEFINED SYMBOL
   110  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   110  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
