ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   14
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    2  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    13  IFO078      UNDEFINED OP CODE
    14  IFO078      UNDEFINED OP CODE
    15  IFO078      UNDEFINED OP CODE
    16  IFO078      UNDEFINED OP CODE
    17  IFO078      UNDEFINED OP CODE
    19  IFO078      UNDEFINED OP CODE
    21  IFO078      UNDEFINED OP CODE
    22  IFO078      UNDEFINED OP CODE
    23  IFO078      UNDEFINED OP CODE
    24  IFO078      UNDEFINED OP CODE
    25  IFO078      UNDEFINED OP CODE
    26  IFO078      UNDEFINED OP CODE
    27  IFO078      UNDEFINED OP CODE
    28  IFO078      UNDEFINED OP CODE
    29  IFO078      UNDEFINED OP CODE
    30  IFO078      UNDEFINED OP CODE
    31  IFO078      UNDEFINED OP CODE
    32  IFO078      UNDEFINED OP CODE
    33  IFO078      UNDEFINED OP CODE
    34  IFO078      UNDEFINED OP CODE
    35  IFO078      UNDEFINED OP CODE
    36  IFO078      UNDEFINED OP CODE
    37  IFO078      UNDEFINED OP CODE
    38  IFO078      UNDEFINED OP CODE
    39  IFO078      UNDEFINED OP CODE
    40  IFO078      UNDEFINED OP CODE
    41  IFO078      UNDEFINED OP CODE
    62  IFO078      UNDEFINED OP CODE
    68  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
    69  IFO197      *** MNOTE ***
    70  IFO078      UNDEFINED OP CODE
    76  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
    77  IFO197      *** MNOTE ***
    78  IFO078      UNDEFINED OP CODE
    79  IFO078      UNDEFINED OP CODE
    85  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
    86  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
    87  IFO197      *** MNOTE ***
    88  IFO078      UNDEFINED OP CODE
    94  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
    95  IFO197      *** MNOTE ***
    96  IFO078      UNDEFINED OP CODE
    97  IFO078      UNDEFINED OP CODE
   103  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   104  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   105  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
