ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   15
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    71  IFO078      UNDEFINED OP CODE
    72  IFO078      UNDEFINED OP CODE
    73  IFO078      UNDEFINED OP CODE
    74  IFO078      UNDEFINED OP CODE
    76  IFO078      UNDEFINED OP CODE
    77  IFO078      UNDEFINED OP CODE
    78  IFO078      UNDEFINED OP CODE
    79  IFO078      UNDEFINED OP CODE
    80  IFO078      UNDEFINED OP CODE
    81  IFO078      UNDEFINED OP CODE
    82  IFO078      UNDEFINED OP CODE
    93  IFO188      L5 IS AN UNDEFINED SYMBOL
    93  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    93  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    93  IFO188      DATE IS AN UNDEFINED SYMBOL
    93  IFO188      L3 IS AN UNDEFINED SYMBOL
    93  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 20
    94  IFO188      L5 IS AN UNDEFINED SYMBOL
    94  IFO188      L2 IS AN UNDEFINED SYMBOL
    94  IFO188      R3 IS AN UNDEFINED SYMBOL
    94  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    94  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    94  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    95  IFO188      L0 IS AN UNDEFINED SYMBOL
    95  IFO188      L3 IS AN UNDEFINED SYMBOL
    95  IFO188      R3 IS AN UNDEFINED SYMBOL
    95  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    95  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    95  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    96  IFO188      R14 IS AN UNDEFINED SYMBOL
    97  IFO188      L0 IS AN UNDEFINED SYMBOL
    97  IFO188      L6 IS AN UNDEFINED SYMBOL
    97  IFO188      R3 IS AN UNDEFINED SYMBOL
    97  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    97  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    97  IFO188      VOLSER IS AN UNDEFINED SYMBOL
    98  IFO188      R14 IS AN UNDEFINED SYMBOL
    99  IFO188      KEY IS AN UNDEFINED SYMBOL
   100  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   101  IFO188      KEY IS AN UNDEFINED SYMBOL
   102  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   103  IFO188      R3 IS AN UNDEFINED SYMBOL
   103  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 8
   103  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   104  IFO188      R14 IS AN UNDEFINED SYMBOL
   105  IFO188      R3 IS AN UNDEFINED SYMBOL
   105  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 8
   105  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
