ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
     4  IFO078      UNDEFINED OP CODE
     5  IFO078      UNDEFINED OP CODE
     6  IFO078      UNDEFINED OP CODE
     7  IFO078      UNDEFINED OP CODE
     8  IFO078      UNDEFINED OP CODE
     9  IFO078      UNDEFINED OP CODE
    10  IFO078      UNDEFINED OP CODE
    11  IFO078      UNDEFINED OP CODE
    12  IFO078      UNDEFINED OP CODE
    13  IFO078      UNDEFINED OP CODE
    14  IFO078      UNDEFINED OP CODE
    15  IFO078      UNDEFINED OP CODE
    16  IFO078      UNDEFINED OP CODE
    17  IFO078      UNDEFINED OP CODE
    18  IFO078      UNDEFINED OP CODE
    19  IFO078      UNDEFINED OP CODE
    20  IFO078      UNDEFINED OP CODE
    21  IFO078      UNDEFINED OP CODE
    22  IFO078      UNDEFINED OP CODE
    23  IFO078      UNDEFINED OP CODE
    24  IFO078      UNDEFINED OP CODE
    25  IFO078      UNDEFINED OP CODE
    26  IFO078      UNDEFINED OP CODE
    27  IFO078      UNDEFINED OP CODE
    61  IFO188      REG1314 IS AN UNDEFINED SYMBOL
    62  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    63  IFO188      L0 IS AN UNDEFINED SYMBOL
    63  IFO188      L3 IS AN UNDEFINED SYMBOL
    63  IFO188      R3 IS AN UNDEFINED SYMBOL
    63  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    63  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    63  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    64  IFO188      R14 IS AN UNDEFINED SYMBOL
    65  IFO188      L0 IS AN UNDEFINED SYMBOL
    65  IFO188      L3 IS AN UNDEFINED SYMBOL
    65  IFO188      R3 IS AN UNDEFINED SYMBOL
    65  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    65  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    65  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    66  IFO188      R14 IS AN UNDEFINED SYMBOL
    68  IFO188      RECMD IS AN UNDEFINED SYMBOL
    69  IFO188      R14 IS AN UNDEFINED SYMBOL
    70  IFO188      R15 IS AN UNDEFINED SYMBOL
    70  IFO188      R15 IS AN UNDEFINED SYMBOL
    71  IFO188      R14 IS AN UNDEFINED SYMBOL
    73  IFO188      RECMD IS AN UNDEFINED SYMBOL
    74  IFO188      R14 IS AN UNDEFINED SYMBOL
    75  IFO188      R15 IS AN UNDEFINED SYMBOL
    75  IFO188      R15 IS AN UNDEFINED SYMBOL
    76  IFO188      R14 IS AN UNDEFINED SYMBOL
    78  IFO188      L0 IS AN UNDEFINED SYMBOL
    78  IFO188      R4 IS AN UNDEFINED SYMBOL
    78  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 6
    79  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   22
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0   80  IFO188      L0 IS AN UNDEFINED SYMBOL
    80  IFO188      R4 IS AN UNDEFINED SYMBOL
