ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   28
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    11  IFO078      UNDEFINED OP CODE
    12  IFO078      UNDEFINED OP CODE
    13  IFO078      UNDEFINED OP CODE
    14  IFO078      UNDEFINED OP CODE
    15  IFO078      UNDEFINED OP CODE
    16  IFO078      UNDEFINED OP CODE
    17  IFO078      UNDEFINED OP CODE
    18  IFO078      UNDEFINED OP CODE
    19  IFO078      UNDEFINED OP CODE
    20  IFO078      UNDEFINED OP CODE
    21  IFO078      UNDEFINED OP CODE
    22  IFO078      UNDEFINED OP CODE
    23  IFO078      UNDEFINED OP CODE
   255  IFO078      UNDEFINED OP CODE
   256  IFO078      UNDEFINED OP CODE
   257  IFO078      UNDEFINED OP CODE
   258  IFO078      UNDEFINED OP CODE
   259  IFO078      UNDEFINED OP CODE
   260  IFO078      UNDEFINED OP CODE
   261  IFO078      UNDEFINED OP CODE
   262  IFO078      UNDEFINED OP CODE
   263  IFO078      UNDEFINED OP CODE
   269  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   270  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   271  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   272  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   273  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   273  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   274  IFO197      *** MNOTE ***
   274  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   275  IFO078      UNDEFINED OP CODE
   276  IFO078      UNDEFINED OP CODE
   282  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   283  IFO197      *** MNOTE ***
   284  IFO078      UNDEFINED OP CODE
   285  IFO078      UNDEFINED OP CODE
   286  IFO078      UNDEFINED OP CODE
   287  IFO078      UNDEFINED OP CODE
   293  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   294  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   295  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   296  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   297  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   297  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   298  IFO197      *** MNOTE ***
   298  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   299  IFO078      UNDEFINED OP CODE
   300  IFO078      UNDEFINED OP CODE
   301  IFO078      UNDEFINED OP CODE
   307  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   308  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   309  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   310  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   311  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   29
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  311  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   312  IFO197      *** MNOTE ***
