ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   35
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    41  IFO078      UNDEFINED OP CODE
    42  IFO078      UNDEFINED OP CODE
    43  IFO078      UNDEFINED OP CODE
    44  IFO078      UNDEFINED OP CODE
    45  IFO078      UNDEFINED OP CODE
    46  IFO078      UNDEFINED OP CODE
    47  IFO078      UNDEFINED OP CODE
    48  IFO078      UNDEFINED OP CODE
    49  IFO078      UNDEFINED OP CODE
    50  IFO078      UNDEFINED OP CODE
    51  IFO078      UNDEFINED OP CODE
    52  IFO078      UNDEFINED OP CODE
    53  IFO078      UNDEFINED OP CODE
    54  IFO078      UNDEFINED OP CODE
    55  IFO078      UNDEFINED OP CODE
    56  IFO078      UNDEFINED OP CODE
    57  IFO078      UNDEFINED OP CODE
    58  IFO078      UNDEFINED OP CODE
    59  IFO078      UNDEFINED OP CODE
    60  IFO078      UNDEFINED OP CODE
    61  IFO078      UNDEFINED OP CODE
    62  IFO078      UNDEFINED OP CODE
    63  IFO078      UNDEFINED OP CODE
   168  IFO188      HEXDUMP IS AN UNDEFINED SYMBOL
   317  IFO188      LABELS IS AN UNDEFINED SYMBOL
   325  IFO078      UNDEFINED OP CODE
   326  IFO078      UNDEFINED OP CODE
   332  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   333  IFO197      *** MNOTE ***
   335  IFO078      UNDEFINED OP CODE
   336  IFO078      UNDEFINED OP CODE
   337  IFO078      UNDEFINED OP CODE
   338  IFO078      UNDEFINED OP CODE
   339  IFO078      UNDEFINED OP CODE
   340  IFO078      UNDEFINED OP CODE
   341  IFO078      UNDEFINED OP CODE
   342  IFO078      UNDEFINED OP CODE
   343  IFO078      UNDEFINED OP CODE
   349  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   350  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   351  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   352  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   353  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   353  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   354  IFO197      *** MNOTE ***
   354  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   356  IFO078      UNDEFINED OP CODE
   362  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   363  IFO197      *** MNOTE ***
   365  IFO078      UNDEFINED OP CODE
   366  IFO078      UNDEFINED OP CODE
   367  IFO078      UNDEFINED OP CODE
   368  IFO078      UNDEFINED OP CODE
   369  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   36
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  370  IFO078      UNDEFINED OP CODE
   371  IFO078      UNDEFINED OP CODE
   372  IFO078      UNDEFINED OP CODE
   373  IFO078      UNDEFINED OP CODE
   379  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   380  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   381  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   382  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   383  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   383  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
