ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   15
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    71  IFO078      UNDEFINED OP CODE
    72  IFO078      UNDEFINED OP CODE
    73  IFO078      UNDEFINED OP CODE
    74  IFO078      UNDEFINED OP CODE
    75  IFO078      UNDEFINED OP CODE
    76  IFO078      UNDEFINED OP CODE
    77  IFO078      UNDEFINED OP CODE
    78  IFO078      UNDEFINED OP CODE
    87  IFO188      R4 IS AN UNDEFINED SYMBOL
    87  IFO188      R8 IS AN UNDEFINED SYMBOL
    87  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    88  IFO188      R5 IS AN UNDEFINED SYMBOL
    88  IFO188      L0 IS AN UNDEFINED SYMBOL
    88  IFO188      R3 IS AN UNDEFINED SYMBOL
    88  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
    89  IFO188      DATE IS AN UNDEFINED SYMBOL
    89  IFO188      L4 IS AN UNDEFINED SYMBOL
    89  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
    89  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    90  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    91  IFO188      L0 IS AN UNDEFINED SYMBOL
    91  IFO188      L4 IS AN UNDEFINED SYMBOL
    91  IFO188      R3 IS AN UNDEFINED SYMBOL
    91  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    91  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    91  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    92  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    93  IFO188      L0 IS AN UNDEFINED SYMBOL
    93  IFO188      L4 IS AN UNDEFINED SYMBOL
    93  IFO188      R3 IS AN UNDEFINED SYMBOL
    93  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    93  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    93  IFO188      DATE IS AN UNDEFINED SYMBOL
    94  IFO188      DATE IS AN UNDEFINED SYMBOL
    94  IFO188      L4 IS AN UNDEFINED SYMBOL
    94  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
    94  IFO188      L0 IS AN UNDEFINED SYMBOL
    94  IFO188      R3 IS AN UNDEFINED SYMBOL
    94  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
    95  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    96  IFO188      DATE IS AN UNDEFINED SYMBOL
    96  IFO188      L4 IS AN UNDEFINED SYMBOL
    96  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
    96  IFO188      L4 IS AN UNDEFINED SYMBOL
    96  IFO188      R3 IS AN UNDEFINED SYMBOL
    96  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
    97  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    98  IFO188      L4 IS AN UNDEFINED SYMBOL
