ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   17
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.36 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    71  IFO078      UNDEFINED OP CODE
    72  IFO078      UNDEFINED OP CODE
    73  IFO078      UNDEFINED OP CODE
    74  IFO078      UNDEFINED OP CODE
    75  IFO078      UNDEFINED OP CODE
    76  IFO078      UNDEFINED OP CODE
    77  IFO078      UNDEFINED OP CODE
    78  IFO078      UNDEFINED OP CODE
    79  IFO078      UNDEFINED OP CODE
    88  IFO188      R4 IS AN UNDEFINED SYMBOL
    88  IFO188      R8 IS AN UNDEFINED SYMBOL
    88  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    89  IFO188      R5 IS AN UNDEFINED SYMBOL
    89  IFO188      L0 IS AN UNDEFINED SYMBOL
    89  IFO188      R3 IS AN UNDEFINED SYMBOL
    89  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
    90  IFO188      DATE IS AN UNDEFINED SYMBOL
    90  IFO188      L4 IS AN UNDEFINED SYMBOL
    90  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
    90  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    91  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    92  IFO188      L0 IS AN UNDEFINED SYMBOL
    92  IFO188      L4 IS AN UNDEFINED SYMBOL
    92  IFO188      R3 IS AN UNDEFINED SYMBOL
    92  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    92  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    92  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    93  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    94  IFO188      L0 IS AN UNDEFINED SYMBOL
    94  IFO188      L4 IS AN UNDEFINED SYMBOL
    94  IFO188      R3 IS AN UNDEFINED SYMBOL
    94  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    94  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    94  IFO188      DATE IS AN UNDEFINED SYMBOL
    95  IFO188      DATE IS AN UNDEFINED SYMBOL
    95  IFO188      L4 IS AN UNDEFINED SYMBOL
    95  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
    95  IFO188      L0 IS AN UNDEFINED SYMBOL
    95  IFO188      R3 IS AN UNDEFINED SYMBOL
    95  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
    96  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    97  IFO188      DATE IS AN UNDEFINED SYMBOL
    97  IFO188      L4 IS AN UNDEFINED SYMBOL
    97  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
    97  IFO188      L4 IS AN UNDEFINED SYMBOL
    97  IFO188      R3 IS AN UNDEFINED SYMBOL
    97  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
    98  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    99  IFO188      L4 IS AN UNDEFINED SYMBOL
    99  IFO188      L4 IS AN UNDEFINED SYMBOL
    99  IFO188      R3 IS AN UNDEFINED SYMBOL
    99  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
    99  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
    99  IFO188      DATE IS AN UNDEFINED SYMBOL
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   18
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.36 09/07/26
0  100  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   101  IFO188      L0 IS AN UNDEFINED SYMBOL
   101  IFO188      L4 IS AN UNDEFINED SYMBOL
   101  IFO188      R3 IS AN UNDEFINED SYMBOL
   101  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   101  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   101  IFO188      DATE IS AN UNDEFINED SYMBOL
   102  IFO188      R4 IS AN UNDEFINED SYMBOL
   102  IFO188      R8 IS AN UNDEFINED SYMBOL
   102  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   103  IFO188      R14 IS AN UNDEFINED SYMBOL
   106  IFO078      UNDEFINED OP CODE
   107  IFO078      UNDEFINED OP CODE
   108  IFO078      UNDEFINED OP CODE
   109  IFO078      UNDEFINED OP CODE
   110  IFO078      UNDEFINED OP CODE
   111  IFO078      UNDEFINED OP CODE
   113  IFO078      UNDEFINED OP CODE
   114  IFO078      UNDEFINED OP CODE
   115  IFO078      UNDEFINED OP CODE
   116  IFO078      UNDEFINED OP CODE
   117  IFO078      UNDEFINED OP CODE
   118  IFO078      UNDEFINED OP CODE
   119  IFO078      UNDEFINED OP CODE
   120  IFO078      UNDEFINED OP CODE
   122  IFO078      UNDEFINED OP CODE
   123  IFO078      UNDEFINED OP CODE
   124  IFO078      UNDEFINED OP CODE
   125  IFO078      UNDEFINED OP CODE
   126  IFO078      UNDEFINED OP CODE
   127  IFO078      UNDEFINED OP CODE
   128  IFO078      UNDEFINED OP CODE
   129  IFO078      UNDEFINED OP CODE
   132  IFO078      UNDEFINED OP CODE
   134  IFO078      UNDEFINED OP CODE
   135  IFO078      UNDEFINED OP CODE
   136  IFO078      UNDEFINED OP CODE
   147  IFO188      R5 IS AN UNDEFINED SYMBOL
   147  IFO188      R8 IS AN UNDEFINED SYMBOL
   147  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   148  IFO188      R5 IS AN UNDEFINED SYMBOL
   148  IFO188      L0 IS AN UNDEFINED SYMBOL
   148  IFO188      R4 IS AN UNDEFINED SYMBOL
   148  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   149  IFO188      R5 IS AN UNDEFINED SYMBOL
   149  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   150  IFO188      L0 IS AN UNDEFINED SYMBOL
   150  IFO188      L5 IS AN UNDEFINED SYMBOL
   150  IFO188      R3 IS AN UNDEFINED SYMBOL
   150  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   150  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   150  IFO188      L5 IS AN UNDEFINED SYMBOL
   150  IFO188      L3 IS AN UNDEFINED SYMBOL
   150  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 21
   151  IFO188      L4 IS AN UNDEFINED SYMBOL
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   19
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.36 09/07/26
0  151  IFO188      L1 IS AN UNDEFINED SYMBOL
   151  IFO188      R3 IS AN UNDEFINED SYMBOL
   151  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   151  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   151  IFO188      L0 IS AN UNDEFINED SYMBOL
   151  IFO188      R3 IS AN UNDEFINED SYMBOL
   151  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 16
   152  IFO188      R5 IS AN UNDEFINED SYMBOL
   152  IFO188      R8 IS AN UNDEFINED SYMBOL
   152  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   153  IFO188      R14 IS AN UNDEFINED SYMBOL
   155  IFO078      UNDEFINED OP CODE
   157  IFO188      L8 IS AN UNDEFINED SYMBOL
   157  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
   157  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   157  IFO188      L0 IS AN UNDEFINED SYMBOL
   157  IFO188      L4 IS AN UNDEFINED SYMBOL
   157  IFO188      R4 IS AN UNDEFINED SYMBOL
   157  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 18
   157  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 18
   158  IFO188      L7 IS AN UNDEFINED SYMBOL
   158  IFO188      L1 IS AN UNDEFINED SYMBOL
   158  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 11
   158  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   159  IFO188      L0 IS AN UNDEFINED SYMBOL
   159  IFO188      L3 IS AN UNDEFINED SYMBOL
   159  IFO188      R3 IS AN UNDEFINED SYMBOL
   159  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   159  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   159  IFO188      L5 IS AN UNDEFINED SYMBOL
   160  IFO188      L5 IS AN UNDEFINED SYMBOL
   160  IFO188      L2 IS AN UNDEFINED SYMBOL
   160  IFO188      R3 IS AN UNDEFINED SYMBOL
   160  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   160  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   160  IFO188      L3 IS AN UNDEFINED SYMBOL
   161  IFO188      L8 IS AN UNDEFINED SYMBOL
   161  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
   161  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   161  IFO188      L4 IS AN UNDEFINED SYMBOL
   161  IFO188      L4 IS AN UNDEFINED SYMBOL
   161  IFO188      R4 IS AN UNDEFINED SYMBOL
   161  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 18
   161  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 18
   162  IFO188      L7 IS AN UNDEFINED SYMBOL
   162  IFO188      L1 IS AN UNDEFINED SYMBOL
   162  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 11
   162  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   163  IFO188      L13 IS AN UNDEFINED SYMBOL
   163  IFO188      L3 IS AN UNDEFINED SYMBOL
