ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   44
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 13.31 09/09/26
0    0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &ITEM IN MACRO SYSRELN IS INCONSISTENT
     0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &BITS IN MACRO SYSRELN IS INCONSISTENT
     0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &SHIFT IN MACRO SYSRELN IS INCONSISTENT
   167  IFO078      UNDEFINED OP CODE
   550  IFO188      R3 IS AN UNDEFINED SYMBOL
   550  IFO188      R3 IS AN UNDEFINED SYMBOL
   550  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   551  IFO188      R14 IS AN UNDEFINED SYMBOL
   554  IFO188      R3 IS AN UNDEFINED SYMBOL
   554  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 5
   555  IFO188      R3 IS AN UNDEFINED SYMBOL
   555  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 8
   555  IFO188      R3 IS AN UNDEFINED SYMBOL
   555  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 14
   556  IFO188      R14 IS AN UNDEFINED SYMBOL
   559  IFO188      R3 IS AN UNDEFINED SYMBOL
   559  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 5
   560  IFO188      R3 IS AN UNDEFINED SYMBOL
   560  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   560  IFO188      R3 IS AN UNDEFINED SYMBOL
   560  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
   561  IFO188      R14 IS AN UNDEFINED SYMBOL
   563  IFO188      R5 IS AN UNDEFINED SYMBOL
   563  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   564  IFO188      R5 IS AN UNDEFINED SYMBOL
   564  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   565  IFO188      R5 IS AN UNDEFINED SYMBOL
   566  IFO188      R5 IS AN UNDEFINED SYMBOL
   567  IFO188      R5 IS AN UNDEFINED SYMBOL
   567  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   568  IFO188      R5 IS AN UNDEFINED SYMBOL
