module	ifox_rc	start	deck_bytes	job
IFCE0115	0012	02:37:43	960	IFX0027/JOB00117
IFCE0125	0012	03:13:31	2080	IFX0085/JOB00197
IFCE1017	0012	03:14:12	1360	IFX0089/JOB00201
IFCE1018	0012	02:34:20	1360	IFX0020/JOB00109
IFCE33XX	0012	03:02:30	7840	IFX0068/JOB00177
IFCE3401	0012	05:25:18	640	IFX0011/JOB00303
IFCE5424	0012	05:25:16	800	IFX0011/JOB00303
IFCEARG1	0012	03:27:53	560	IFX0111/JOB00227
IFCEARG2	0012	02:26:57	560	IFX0007/JOB00094
IFCEARG3	0012	02:51:57	560	IFX0050/JOB00156
IFCEARG4	0012	05:44:26	560	IFX0035/JOB00331
IFCEARG5	0012	05:38:51	560	IFX0025/JOB00320
IFCEARG6	0012	02:37:25	560	IFX0025/JOB00115
IFCEARG7	0012	03:21:14	480	IFX0101/JOB00215
IFCECUT0	0012	05:25:11	880	IFX0010/JOB00302
IFCEFBA4	0012	03:27:48	960	IFX0109/JOB00225
IFCEFBA5	0012	05:19:55	960	IFX0004/JOB00295
IFCENF11	0012	05:14:54	1280	IFX0005/JOB00289
IFCENFH3	0012	05:39:29	1040	IFX0029/JOB00324
IFCENFM3	0012	02:19:56	1040	IFX0002/JOB00081
IFCENFP1	0012	05:29:11	1280	IFX0014/JOB00307
IFCENFP2	0012	02:31:14	1040	IFX0017/JOB00105
IFCET040	0012	05:43:46	800	IFX0031/JOB00327
IFCETRN6	0012	02:30:29	1040	IFX0013/JOB00101
IFCETRN7	0012	03:49:50	320	IFX0148/JOB00270
IFCEWIN2	0012	03:13:44	1440	IFX0086/JOB00198
IFCEWOD1	0012	05:39:18	1600	IFX0028/JOB00323
IFCS0115	0012	05:24:38	720	IFX0006/JOB00298
IFCS1017	0012	05:33:48	960	IFX0018/JOB00312
IFCS1018	0012	03:45:36	960	IFX0140/JOB00261
IFCS33XX	0012	02:40:39	640	IFX0032/JOB00126
IFCS5424	0012	05:39:23	1200	IFX0028/JOB00323
IFCSI115	0012	05:38:42	720	IFX0024/JOB00319
