module	ifox_rc	start	deck_bytes	job
IFCE0115	0012	13:28:16	3760	IFX0000/JOB00547
IFCE0125	0012	13:28:18	6720	IFX0000/JOB00547
IFCE1017	0012	13:28:20	4000	IFX0000/JOB00547
IFCE1018	0012	13:28:15	3840	IFX0000/JOB00547
IFCE3401	0012	13:28:25	2240	IFX0000/JOB00547
IFCE5424	0012	13:28:25	2240	IFX0000/JOB00547
IFCEARG1	0012	13:28:21	1280	IFX0000/JOB00547
IFCEARG2	0012	13:28:14	1280	IFX0000/JOB00547
IFCEARG3	0012	13:28:17	1280	IFX0000/JOB00547
IFCEARG4	0012	13:28:31	1360	IFX0001/JOB00548
IFCEARG5	0012	13:28:28	1360	IFX0001/JOB00548
IFCEARG6	0012	13:28:16	1280	IFX0000/JOB00547
IFCEARG7	0012	13:28:20	1040	IFX0000/JOB00547
IFCECUT0	0012	13:28:24	1520	IFX0000/JOB00547
IFCEFBA4	0012	13:28:21	1600	IFX0000/JOB00547
IFCEFBA5	0012	13:28:23	1600	IFX0000/JOB00547
IFCENF11	0012	13:28:22	2320	IFX0000/JOB00547
IFCENFH3	0012	13:28:30	1840	IFX0001/JOB00548
IFCENFM3	0012	13:28:13	1920	IFX0000/JOB00547
IFCENFP1	0012	13:28:26	2160	IFX0000/JOB00547
IFCENFP2	0012	13:28:14	1920	IFX0000/JOB00547
IFCET040	0012	13:28:30	2240	IFX0001/JOB00548
IFCETRN6	0012	13:28:14	2320	IFX0000/JOB00547
IFCETRN7	0012	13:28:22	800	IFX0000/JOB00547
IFCEWIN2	0012	13:28:19	2560	IFX0000/JOB00547
IFCEWOD1	0012	13:28:28	3040	IFX0001/JOB00548
IFCS0115	0012	13:28:24	1600	IFX0000/JOB00547
IFCS1017	0012	13:28:13	1760	IFX0001/JOB00548
IFCS1018	0012	13:28:22	1680	IFX0000/JOB00547
IFCS5424	0012	13:28:29	2400	IFX0001/JOB00548
IFCSI115	0012	13:28:27	1520	IFX0001/JOB00548
