IEEMPDM.ASM|Undefined operation code - UCBDADVC
IFCET00D.ASM|Undefined symbol - O1BYT103
IGG0201Y.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - L
IFFACA06.ASM|Undefined symbol - GDSCB
BLSU.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - STCM
IEHMVESH.ASM|Undefined operation code - IEZCTGPL
IFNX3A.ASM|This card was consumed as a continuation and the statement on it discarded (IFOX00 does not even warn here; the card's columns 1-15 are blank)
IEAVNP09.ASM|Undefined operation code - IHANVT
BLSRENQK.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - ST
IFCTHRSH.ASM|DC/DS type S is valid Assembler XF but not implemented by as370 - no storage reserved, every later symbol in the section would move,
IRARMERR.ASM|Undefined symbol - IRAFLTM
IEAVNIPM.ASM|Undefined operation code - IHANVT
IEE7103D.ASM|Relocatable displacement in machine instruction (explicit base requires an absolute displacement) - CS
IGC0001I.ASM|Relocatable duplication factor - an absolute expression is required (IFOX00 IFO217)
IFDOLT14.ASM|Relocatable duplication factor - an absolute expression is required (IFOX00 IFO217)
IGG0191N.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - LA
IECVGENA.ASM|Undefined operation code - IECDCST
BLSUSTAE.ASM|Undefined operation code - START
IFFAEA03.ASM|Undefined symbol - GSPARRAY
IHDGSP03.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - CLI
IEBDV1.ASM|DSECT symbol JFCBVOLD used in a relocatable address constant (IFOX00 IFO158)
IGFPEXIT.ASM|DC/DS type S is valid Assembler XF but not implemented by as370 - no storage reserved, every later symbol in the section would move,
IHJARS60.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - MVC
IFFAHA06.ASM|Undefined symbol - GDSCB
IFCED155.ASM|
IEEPRWI2.ASM|Undefined symbol - WTOCORE
ISTCSCAC.ASM|Undefined operation code - ISEQ
IGC0905I.ASM|Undefined operation code - ICBVARY
ISDADAT0.ASM|Undefined operation code - ISDAGSPC
IGG03002.ASM|Relocatable duplication factor - an absolute expression is required (IFOX00 IFO217)
IFOX0I.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - MVC
IEHDGETA.ASM|Undefined operation code - UCBDADVC
IEFVFA.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - L
IEECVETG.ASM|DC/DS type S is valid Assembler XF but not implemented by as370 - no storage reserved, every later symbol in the section would move,
IGC0006F.ASM|Undefined operation code - IHADECB
BLSRSAAR.ASM|Duplication factor uses a symbol not previously defined (IFOX00 IFO231) - GENPARML
IFFAFA02.ASM|Undefined symbol - GDSCB
ICGDSB14.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - LA
IGC0J10D.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - ICM
IGC0U05B.ASM|Addressability error - no active USING covers the operand's section (base and displacement set to 0) - NI
