code	modules	examples
Undefined symbol	333	AMDPRCOM AMDPRRDC AMDSATAP BLSEADPR BLSELP00
Addressability error - no active USING covers the operand's 	163	AMAPTFLE AMDPRPJB AMDPRPMS AMDPRSN2 BLSCCLSE
Undefined operation code	41	ICAPRTBL IFG0193A IFG0193D IFG0193E IFG0194A
Relocatable displacement in machine instruction (explicit ba	29	IEAVSTAA IEE1603D IEE3103D IEE4603D IEE4903D
IFO231	23	BLSRDUDR BLSRDULS BLSRESAR BLSRESDR BLSRESGC
IFO217	23	BLSRDUDR BLSRDULS BLSRESAR BLSRESDR BLSRESGC
Relocatable duplication factor - an absolute expression is r	23	BLSRDUDR BLSRDULS BLSRESAR BLSRESDR BLSRESGC
Duplication factor error - no storage reserved	23	BLSRDUDR BLSRDULS BLSRESAR BLSRESDR BLSRESGC
IFO206	23	BLSRDUDR BLSRDULS BLSRESAR BLSRESDR BLSRESGC
Duplication factor uses a symbol not previously defined	23	BLSRDUDR BLSRDULS BLSRESAR BLSRESDR BLSRESGC
This card was consumed as a continuation and the statement o	8	HEWLFBTP IEAVGTCL IEECVFTM IEECVFTO IEECVFTQ
Symbol longer than 8 characters in operand expression (instr	7	IEECVET4 IFNX1J IFNX2A IFNX3N IFNX6A
IFO158	6	HMASMIO IEBDV1 IEBEDIT IFCE0165 IFCEC165
(no code in the message)	2	HEWLDIOC IFNX1A
first expression in substring notation exceeds the length of	2	IDCRC04 IGG0CLAY
IFO117	2	IDCRC04 IGG0CLAY
DSECT symbol INDXREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol ADRARY2P used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol INDXREG used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DIFBP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol ADRARY0P used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol ADRARY0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol OP2REG0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol AREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol FAR used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IQ3 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol VLD0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol SHREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol SLCSARA used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol ADRARY1 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DIFB used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol OP2REGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol AREG0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol REDO used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol FARID used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CHADR used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BREG0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BRPLP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol EREG used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CSAR used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DREG0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BRPL used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol OP1REGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol SDBO0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol ADRARY2 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol VLD1 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BASEREG used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CHNID used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BASEREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol MY2REG6 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol VLD3 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IQ2 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol OP1REG0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IQ1 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IQ2P used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol REDOID used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DIFAP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IQ1P used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CREG0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CHO0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol MY1REG6 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BARP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol ADRARY3 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol SHREG used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IREG used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol IQ3P used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol VLD2 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CSARA used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol EREGP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CHI0 used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol SDBOP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DBAR used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DBARP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol DIFA used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol FARP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol BAR used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol CHADRP used in a relocatable address constant	2	IFCE0165 IFCEC165
DSECT symbol FREEADDR used in a relocatable address constant	1	HMASMIO
Symbol longer than 8 characters in name field (name rejected	1	ICAPRTBL
DSECT symbol JFCBVOLD used in a relocatable address constant	1	IEBDV1
DSECT symbol SCEODAD used in a relocatable address constant	1	IEBEDIT
DSECT symbol IC used in a relocatable address constant	1	IFCE0165
DSECT symbol MCARP used in a relocatable address constant	1	IFCE0165
DSECT symbol MRAR0 used in a relocatable address constant	1	IFCE0165
DSECT symbol MCER used in a relocatable address constant	1	IFCE0165
DSECT symbol IARB used in a relocatable address constant	1	IFCE0165
DSECT symbol SUM26 used in a relocatable address constant	1	IFCE0165
DSECT symbol STARID used in a relocatable address constant	1	IFCE0165
DSECT symbol MCRRP used in a relocatable address constant	1	IFCE0165
DSECT symbol L2P used in a relocatable address constant	1	IFCE0165
DSECT symbol CHIDATP used in a relocatable address constant	1	IFCE0165
DSECT symbol FREG0 used in a relocatable address constant	1	IFCE0165
DSECT symbol IARA used in a relocatable address constant	1	IFCE0165
DSECT symbol SRCREGP used in a relocatable address constant	1	IFCE0165
DSECT symbol IARAP used in a relocatable address constant	1	IFCE0165
DSECT symbol ADRARY1P used in a relocatable address constant	1	IFCE0165
DSECT symbol DSTREGP used in a relocatable address constant	1	IFCE0165
DSECT symbol MCDR0 used in a relocatable address constant	1	IFCE0165
DSECT symbol MCRR0 used in a relocatable address constant	1	IFCE0165
DSECT symbol L2REG used in a relocatable address constant	1	IFCE0165
DSECT symbol CSARB used in a relocatable address constant	1	IFCE0165
DSECT symbol SPAR20 used in a relocatable address constant	1	IFCE0165
DSECT symbol IBA0 used in a relocatable address constant	1	IFCE0165
DSECT symbol SPAR1 used in a relocatable address constant	1	IFCE0165
DSECT symbol STAR used in a relocatable address constant	1	IFCE0165
DSECT symbol IARBP used in a relocatable address constant	1	IFCE0165
DSECT symbol FREGP used in a relocatable address constant	1	IFCE0165
DSECT symbol ADRARY3P used in a relocatable address constant	1	IFCE0165
DSECT symbol SPAR24 used in a relocatable address constant	1	IFCE0165
DSECT symbol STARMK used in a relocatable address constant	1	IFCE0165
DSECT symbol IBM0 used in a relocatable address constant	1	IFCE0165
DSECT symbol DSTREG used in a relocatable address constant	1	IFCE0165
DSECT symbol DSMP used in a relocatable address constant	1	IFCE0165
DSECT symbol DSPMP used in a relocatable address constant	1	IFCE0165
DSECT symbol MCAR0 used in a relocatable address constant	1	IFCE0165
DSECT symbol CHODATP used in a relocatable address constant	1	IFCE0165
DSECT symbol FARMKP used in a relocatable address constant	1	IFCE0165
DSECT symbol IBMP used in a relocatable address constant	1	IFCE0165
DSECT symbol SRCREG used in a relocatable address constant	1	IFCE0165
DSECT symbol MCDRP used in a relocatable address constant	1	IFCE0165
DSECT symbol SLCSARB used in a relocatable address constant	1	IFCE0165
DSECT symbol IBAP used in a relocatable address constant	1	IFCE0165
DSECT symbol MCERP used in a relocatable address constant	1	IFCE0165
DSECT symbol CARRY6 used in a relocatable address constant	1	IFCE0165
DSECT symbol FARMK used in a relocatable address constant	1	IFCE0165
