module	rc	flagged	severity	messages
AHLCWRIT	0			
AHLGTFI	0			
AHLIWRIT	0			
AHLMCER	0			
AHLMCIH	0			
AHLREADR	0			
AHLSBLOK	0			
AHLSBUF	0			
AHLSCAN	0			
AHLSETD	0			
AHLSETEV	8	7	8	Undefined symbol
AHLSETMG	0			
AHLT103	0			
AHLTCTL1	0			
AHLTCTL2	0			
AHLTDIR	0			
AHLTEXT	0			
AHLTFOR	0			
AHLTMMSG	0			
AHLTMON	0			
AHLTPID	0			
AHLTPMT	0			
AHLTSCN	0			
AHLTSIO	0			
AHLTSLIP	0			
AHLTSVC	0			
AHLTSYFL	0			
AHLTSYSM	0			
AHLTTAB	0			
AHLTUSR	0			
AHLTVTAM	0			
AHLTXSYS	0			
AHLVCOFF	0			
AHLVCON	0			
AHLWRMSG	0			
AHLWTASK	0			
AHLWTMSG	0			
AHLWTO	0			
AHLWWRIT	0			
AKJLKL01	0			
AKJLKL02	0			
AKJLKMSG	0			
AMAPTF01	0			
AMAPTF02	0			
AMAPTFLE	8	592	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
AMASPZAP	0			
AMDPRAPP	0			
AMDPRCOM	8	1	8	Undefined symbol
AMDPRCTL	0			
AMDPRCVT	0			
AMDPRDPS	0			
AMDPREAD	0			
AMDPRECT	0			
AMDPREID	0			
AMDPREXT	0			
AMDPRFAR	0			
AMDPRFCB	0			
AMDPRFDS	0			
AMDPRFLT	0			
AMDPRFMG	0			
AMDPRFMT	0			
AMDPRFRM	0			
AMDPRFSC	0			
AMDPRFUB	0			
AMDPRFXT	0			
AMDPRGCD	0			
AMDPRGET	0			
AMDPRLOD	0			
AMDPRLPA	0			
AMDPRMST	0			
AMDPRNUC	0			
AMDPROOT	0			
AMDPRPCR	0			
AMDPRPJB	8	3	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
AMDPRPMG	0			
AMDPRPMS	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
AMDPRQCB	0			
AMDPRRDC	8	1	8	Undefined symbol
AMDPRREC	0			
AMDPRSCN	0			
AMDPRSEG	0			
AMDPRSMG	0			
AMDPRSN2	8	5	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
AMDPRSN3	8	1	8	Undefined symbol
AMDPRSUM	0			
AMDPRUIM	0			
AMDSAAID	0			
AMDSAAMR	0			
AMDSAARD	0			
AMDSAASM	0			
AMDSAAUD	0			
AMDSABUF	0			
AMDSACON	0			
AMDSACSA	0			
AMDSADER	0			
AMDSAFRM	0			
AMDSAGTF	0			
AMDSAGTM	0			
AMDSAIOI	0			
AMDSALDR	0			
AMDSAMDM	0			
AMDSAMSG	0			
AMDSAPGE	0			
AMDSAPGI	0			
AMDSAPRO	0			
AMDSARSM	0			
AMDSASIN	0			
AMDSASIO	0			
AMDSASVI	0			
AMDSATAP	8	1	8	Undefined symbol
AMDSATER	0			
AMDSATXT	0			
AMDSAUCB	0			
AMDSAUPD	0			
AMDSAVCK	0			
AMDSAWAT	0			
AMDSYS00	0			
AMDSYS01	0			
AMDSYS02	0			
AMDSYS03	0			
AMDSYS04	0			
AMDSYS05	0			
AMDSYS06	0			
AMDUSRF9	0			
AMDUSRFD	0			
AMDUSRFE	0			
BLSCAAMS	0			
BLSCABLD	0			
BLSCADST	0			
BLSCADYN	0			
BLSCAINT	0			
BLSCALOC	0			
BLSCAMER	0			
BLSCAMIN	0			
BLSCAMOD	0			
BLSCAMPR	0			
BLSCANAL	0			
BLSCANLE	0			
BLSCANLI	0			
BLSCCLSE	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
BLSCENDD	0			
BLSCERSE	0			
BLSCFAMS	0			
BLSCFDYN	0			
BLSCFREE	0			
BLSCGETT	0			
BLSCGMF	0			
BLSCHOK	0			
BLSCOPEN	0			
BLSCPOIN	0			
BLSCPUTT	0			
BLSCRECV	0			
BLSCRFM	0			
BLSCRQST	0			
BLSCRTCB	0			
BLSCSETT	0			
BLSCVALT	0			
BLSDADSD	0			
BLSDAPDR	0			
BLSDC070	0			
BLSDC128	0			
BLSDC600	0			
BLSDDEQP	0			
BLSDDT00	0			
BLSDENQ0	0			
BLSDENQP	0			
BLSDFDSD	0			
BLSDFPDR	0			
BLSDIFP0	0			
BLSDMSG0	0			
BLSDMSGS	0			
BLSDPC00	0			
BLSDSTAE	0			
BLSDSV00	0			
BLSDTIME	0			
BLSDTM00	0			
BLSDVECT	0			
BLSDWAIT	0			
BLSEADP1	0			
BLSEADPR	8	4	8	Undefined symbol
BLSEAUTH	0			
BLSEDEL0	0			
BLSEDEL1	0			
BLSEDELC	0			
BLSELP00	8	13	8	Undefined symbol
BLSELPCC	0			
BLSELPCL	0			
BLSELPCT	0			
BLSELPDR	0			
BLSELPDS	0			
BLSELPFM	0			
BLSELPFR	0			
BLSELPOP	0			
BLSEMDP1	0			
BLSEMDPR	8	1	8	Undefined symbol
BLSFAD00	8	7	8	Undefined symbol
BLSFAV00	0			
BLSFBP00	0			
BLSFCLOS	0			
BLSFCN00	0			
BLSFCONF	0			
BLSFDALL	0			
BLSFDD00	0			
BLSFDDDP	0			
BLSFDEL	0			
BLSFDERS	0			
BLSFDF00	0			
BLSFDS00	0			
BLSFERAS	0			
BLSFFL00	0			
BLSFFP00	0			
BLSFGD00	0			
BLSFGG00	0			
BLSFGP00	0			
BLSFLALL	0			
BLSFLD00	8	1	8	Undefined symbol
BLSFLONE	0			
BLSFLP00	0			
BLSFMD00	8	3	8	Undefined symbol
BLSFND00	0			
BLSFND01	0			
BLSFOD00	0			
BLSFOPEN	0			
BLSFPARS	0			
BLSFPERA	0			
BLSFPERS	0			
BLSFPS00	0			
BLSFSCRT	0			
BLSFSD00	0			
BLSFSL00	0			
BLSFTL00	0			
BLSFUD00	0			
BLSFUP00	0			
BLSFVRFY	0			
BLSR3270	8	192	8	IFO117 first expression in substring notation exceeds the length of the string | Addressability error - no active USING covers the operand's section (base and displacement set to 0)
BLSRACC	0			
BLSRACCL	0			
BLSRACCQ	0			
BLSRADD1	0			
BLSRADD2	0			
BLSRADD3	0			
BLSRADD4	0			
BLSRADDP	0			
BLSRADDR	0			
BLSRADDS	0			
BLSRADDT	0			
BLSRADDU	0			
BLSRASCX	0			
BLSRASM7	0			
BLSRCOCL	0			
BLSRCOHD	0			
BLSRCOIN	0			
BLSRCOMK	0			
BLSRCOMP	8	12	8	Undefined symbol
BLSRCOPY	0			
BLSRCOTA	0			
BLSRDUAL	0			
BLSRDUCC	0			
BLSRDUCK	0			
BLSRDUCL	0			
BLSRDUDE	8	3	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
BLSRDUDR	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRDUIC	0			
BLSRDUIH	0			
BLSRDUIN	0			
BLSRDUIS	0			
BLSRDULS	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRDUOP	0			
BLSRDUSC	0			
BLSRENQK	8	7	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)
BLSREQU	8	6	8	Undefined symbol
BLSRESAR	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRESCK	0			
BLSRESDR	12	4	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved | Undefined symbol
BLSRESGC	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRESGE	0			
BLSRESGQ	0			
BLSRESGU	0			
BLSRESPU	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRESRU	0			
BLSRESSA	0			
BLSREVAL	8	6	8	Undefined symbol
BLSRFIND	8	14	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol
BLSRFMOD	0			
BLSRFUCB	0			
BLSRIOSK	0			
BLSRLIST	8	6	8	Undefined symbol
BLSRLSYM	12	4	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved | Undefined symbol
BLSRMSGA	0			
BLSRMSGB	0			
BLSRMSGD	0			
BLSRPADS	0			
BLSRPHAR	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRPHGE	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRRAAR	12	3	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPRMUL | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved | IFO231 Duplication factor uses a symbol not previously defined  - GENPRMAL | IFO231 Duplication factor uses a symbol not previously defined  - MODPRMAL
BLSRRACR	0			
BLSRRACV	0			
BLSRRAGE	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRRDAR	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRRDGE	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved
BLSRRDPU	12	2	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved | IFO231 Duplication factor uses a symbol not previously defined  - MODPARML
BLSRRNCH	8	6	8	Undefined symbol
