module	addresses	ifox_base	as370_base	opcode
ICBVQM00	2	15	0	0x58
ICBVQM00	2	15	0	0x58
IDA0192V	2	15	0	0x58
IDA0192V	2	15	0	0x58
IDA019S6	1	10	14	0x40
IDACAT11	2	15	0	0x58
IDACAT11	2	15	0	0x58
IDACAT12	2	15	0	0x58
IDACAT12	2	15	0	0x58
IEAVAD01	4	15	0	0x58
IEAVAD01	4	15	0	0x58
IEAVAD01	4	15	0	0x58
IEAVAD01	4	15	0	0x58
IEAVAX00	1	4	0	0x43
IEAVMDOM	1	4	0	0x41
IEAVTABD	4	15	0	0x58
IEAVTABD	4	15	0	0x58
IEAVTABD	4	15	0	0x58
IEAVTABD	4	15	0	0x58
IEAVVWTO	4	5	0	0x50
IEAVVWTO	4	5	0	0x50
IEAVVWTO	4	5	0	0x50
IEAVVWTO	4	4	0	0x58
IEAVXDOM	3	5	0	0x50
IEAVXDOM	3	5	0	0x50
IEAVXDOM	3	5	0	0x50
IECVXURT	1	10	15	0x47
IEDQW25	2	2	0	0x58
IEDQW25	2	15	0	0x58
IEDQW33	2	2	0	0x58
IEDQW33	2	15	0	0x58
IEDQWO	3	2	0	0x41
IEDQWO	3	2	0	0x41
IEDQWO	3	2	0	0x41
IEEMB804	1	8	0	0x58
IEFXB601	4	15	0	0x58
IEFXB601	4	15	0	0x58
IEFXB601	4	15	0	0x58
IEFXB601	4	15	0	0x58
IEFXB604	2	15	0	0x58
IEFXB604	2	15	0	0x58
IEFXB609	2	15	0	0x58
IEFXB609	2	15	0	0x58
IFG0200N	2	15	0	0x58
IFG0200N	2	15	0	0x58
IGG0193K	2	15	0	0x58
IGG0193K	2	15	0	0x58
IGG0196Q	1	6	0	0x41
IGG0203K	2	15	0	0x58
IGG0203K	2	15	0	0x58
IKT0940F	5	6	0	0x43
IKT0940F	5	6	0	0x43
IKT0940F	5	6	0	0x43
IKT0940F	5	6	0	0x43
IKT0940F	5	6	0	0x43
IOEDKWTR	4	15	0	0x58
IOEDKWTR	4	15	0	0x58
IOEDKWTR	4	15	0	0x58
IOEDKWTR	4	15	0	0x58
ISDAAPR0	1	2	0	0x41
ISDAAPR1	1	2	0	0x41
ISDACSB0	1	2	0	0x41
ISDACSB1	1	2	0	0x41
ISDADAT0	1	2	0	0x41
ISDADAT1	1	2	0	0x41
ISDADCK0	1	2	0	0x41
ISDADCK1	1	2	0	0x41
ISDADCS0	1	2	0	0x41
ISDADCS1	1	2	0	0x41
ISDADHE0	1	2	0	0x41
ISDADHE1	1	2	0	0x41
ISDADRC0	1	2	0	0x41
ISDADRC1	1	2	0	0x41
ISDAEQC0	1	2	0	0x41
ISDAEQC1	1	2	0	0x41
ISDAFSC0	1	2	0	0x41
ISDAFSC1	1	2	0	0x41
ISDAFSC2	1	2	0	0x41
ISDAGEN0	1	2	0	0x41
ISDAHIST	1	2	0	0x41
ISDALOG0	1	2	0	0x41
ISDAPAD0	1	2	0	0x41
ISDAPRT0	1	2	0	0x41
ISDASUM0	1	2	0	0x41
ISDASUM1	1	2	0	0x41
ISDATYPE	1	2	0	0x41
ISTAPC57	1	1	0	0x43
ISTOCCOB	1	5	0	0x43
