module	esdid	address	ifox	as370	statement
AMDPRUIM	1	000067	46	3E	A68 44 N R1,=X'00FFFFFF'
BLSR3270	1	000513	E0	E8	PCPTR DC AL4(PC)
BNGI3270	1	0000A0	3A	3B	FA3 01AFC 310 CLC STATUS,=C'FF' WAS EMFILE OPENED?
BNGIDISP	1	000117	00	03	C80 027BE 339 A100 ZAP FLDCNT,=P'0' SET KEYED-IN FIELD COUNTER TO ZERO.
BNGT3270	2	000037	00	03	012B4 332 CP TWASBAS,=P'2' WERE LESS THAN 2 FIELDS INPUT?
BNGTDISP	1	0011C9	00	03	02E10 330 ZAP SBACNT,=P'0' SET SBA COUNTER TO ZERO.
BNGTLOCL	1	000095	02	0E	F 00404 219 B12 CLC 15(3,INREG),=C'SS=' IS THIS A RQUEST FOR TEXT?
BNGTRMOT	1	000094	23	24	F 003FC 219 B12 CLC 15(3,INREG),=C'SS=' IS THIS A RQUEST FOR TEXT?
IEAXPALL	2	0005EC	2E	3E	AWR FR0,FR6 ........SHIFTED L.O. FRAC + LOST H.O. DIGITS
IECVCINT	1	000124	20	00	DC X'8300',S(CRCAMCW) ISSUE
IECVESIO	1	000126	10	00	DC X'8300',S(CRCAMCW)
IEESC03D	1	00007F	C0	C8	C0 72 MH R5,=H'4' MULTIPLY BY 4 JCC
IFCEA155	1	000161	3C	34	2738 LA R5,ENDLINE-4
IFDOLT12	1	000050	B8	BB	00B78 241 CLC NAME+1(3,PLISTREG),=C'000' CHECK CDS NAME XM0794
IFDOLT14	1	000316	46	4B	E3 00B78 361 MVC PB+14(3),=C'RTN' PUT 'RTN' IN PRINT BUFFER
IFDOLT39	1	000558	49	4B	00B68 520 MVC 0(4,R7),=X'02000040' LOAD ROUT-DESC CODES M1005
IFNX1A	1	0010F1	F0	F1	PATCHDC DC C'IFNX1A00 20.52 09/09/26'
IFNX1J	1	000B6E	F0	F1	PATCHDC DC C'IFNX1J00 20.52 09/09/26'
IFNX3N	1	000EE1	F0	F1	PATCHDC DC C'IFNX3N00 20.52 09/09/26'
IFNX4M	5	000045	B8	B4	CBC 1237+ LH R11,=Y(MAXDBL)
IFNX4S	1	000063	78	74	C 934+ AH R10,=H'-8' FAKE THIS ONE
IFNX4T	5	000045	C8	C4	DCC 1237+ LH R11,=Y(MAXDBL)
IFNX5A	1	001690	F0	F1	PATCHDC DC C'IFNX5A00 20.52 09/09/26'
IFNX5C	1	00055B	F0	F1	PATCHDC DC C'IFNX5C00 20.52 09/09/26'
IFNX5P	1	00005D	4E	4A	1253 B PRNPUN ENTRY IS FOR PUNCH STATEMENT
IFNX5V	1	00066D	F0	F1	PATCHDC DC C'IFNX5V00 20.52 09/09/26'
IFNX6B	1	000FB0	F0	F1	PATCHDC DC C'IFNX6B00 20.52 09/09/26'
IGARPT01	1	0004BC	FA	FF	F30 1348 IC SR,SCANLTAB(SR) XX
IGC0001F	1	001310	52	F2	C 7002 L R8,CVTSDBF GET 4K BUFFER ADDR DSK1338
IKJEBELT	1	0001AF	80	00	D0 280 CVB (LINUM2+CTR)/TWO,LTPAKARA CONVERT PKD DEC TO BINARY
