module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal	owner	excluded
IDCCDDE	0				0000				cards	0x03d58	42880	25457	length	silent divergence	cc370	
IEFXB609	0				0000				bytes	0x023da	15336	15336	length	silent divergence	cc370	
IRBMFINP	0				0000				bytes	0x0324f	15281	15277	length	silent divergence	cc370	
HMASMTMD	0				0000				cards	0x03021	14704	14704	text	silent divergence	cc370	
ICBVIN00	0				0000				bytes	0x03254	12992	12992	length	silent divergence	cc370	
IDCTSLV0	0				0000				cards	0x00005	12321	11621	length	silent divergence	cc370	
BNGTRMOT	0				0000				bytes	0x00094	11982	11991	length	silent divergence	cc370	
IFCETUL1	0				0000				cards	0x00098	11656	10386	length	silent divergence	cc370	
IFCE0145	0				0000				cards	0x00096	11635	10432	length	silent divergence	cc370	
IKJEFF18	0				0000				cards	0x013ed	11496	11567	no-pair	silent divergence	cc370	
IDCCDRD	0				0000				cards	0x01458	10974	8778	length	silent divergence	cc370	
IEAVSWCH	0				0000				bytes	0x00022	10938	10898	length	silent divergence	cc370	
HMASMTPA	0				0000				bytes	0x0238b	10416	10416	mixed	silent divergence	cc370	
IFNX6C	0				0000				bytes	0x0064d	10146	10146	mixed	silent divergence	cc370	
IKJEFLE	0				0000				cards	0x0002f	9990	10015	length	silent divergence	cc370	
IEEMPDEV	0				0000				cards	0x01e94	9824	10336	length	silent divergence	cc370	
IKTTOMRT	0				0000				bytes	0x000a9	9608	9616	length	silent divergence	cc370	
BLSDMSGS	0				0000				cards	0x00002	9524	9204	length	silent divergence	cc370	
IFCEF165	0				0000				cards	0x00052	9137	8641	length	silent divergence	cc370	
IKJEGIO	0				0000				bytes	0x00000	8900	8942	no-pair	silent divergence	cc370	
IECVHREC	0				0000				cards	0x00043	8768	8734	length	silent divergence	cc370	
IFCED165	0				0000				bytes	0x001aa	8564	8390	length	silent divergence	cc370	
AKJLKL01	0				0000				cards	0x01cbe	8455	8455	no-pair	silent divergence	cc370	
AMDPRFCB	0				0000				cards	0x017d8	8376	8288	length	silent divergence	cc370	
AHLTSVC	0				0000				bytes	0x016f0	8332	8332	length	silent divergence	cc370	
IFCEB165	0				0000				cards	0x0007a	8316	7911	length	silent divergence	cc370	
IKJEFP60	0				0000				bytes	0x00088	8065	8065	length	silent divergence	cc370	
IFCELEX1	0				0000				cards	0x00052	8059	7605	length	silent divergence	cc370	
IFCEA165	0				0000				cards	0x00093	7849	7604	length	silent divergence	cc370	
IKJEBECH	0				0000				cards	0x01e29	7848	7748	no-pair	silent divergence	cc370	
IFCS0165	0				0000				cards	0x00006	7728	6844	length	silent divergence	cc370	
IFCEXXXA	0				0000				cards	0x0005b	7635	6795	length	silent divergence	cc370	
IKJEFT80	0				0000				cards	0x01878	7439	6732	no-pair	silent divergence	cc370	
IEAVAD01	0				0000				bytes	0x00326	7424	7424	length	silent divergence	cc370	
IOEDKWTR	0				0000				bytes	0x00558	7416	7416	length	silent divergence	cc370	
IKJEFR00	0				0000				cards	0x01c4b	7248	7248	no-pair	silent divergence	cc370	
IFCEE165	0				0000				bytes	0x0011c	7207	7023	length	silent divergence	cc370	
AHLTSLIP	0				0000				bytes	0x0006a	7147	7147	length	silent divergence	cc370	
