module	kreiss_verdict	ibm_verdict
AHLCWRIT	length	length
AHLIWRIT	length	length
AHLSBLOK	text	text
AHLSBUF	length	length
AHLSETD	mixed	mixed
AHLT103	length	length
AHLTDIR	length	length
AHLTPMT	length	length
AHLTSCN	length	length
AHLTSYFL	mixed	mixed
AHLTUSR	length	length
AHLVCOFF	mixed	mixed
AHLVCON	length	length
AHLWTASK	length	length
AHLWTO	length	length
AHLWWRIT	length	length
AMDPRCVT	length	length
AMDPRDPS	length	length
AMDPREAD	length	length
AMDPRFDS	length	length
AMDPRFLT	length	length
AMDPRFRM	length	length
AMDPRFUB	length	length
AMDPRGCD	length	length
AMDPRSEG	length	length
AMDPRSUM	length	length
AMDSACON	length	length
AMDSAIOI	length	length
AMDSALDR	length	length
AMDSASIO	length	length
AMDSAUCB	length	length
AMDSYS00	length	length
AMDSYS02	mixed	mixed
AMDSYS04	length	length
AMDSYS05	length	length
AMDUSRFD	length	length
BLSCADYN	text	length
BLSCAINT	text	length
BLSCALOC	text	length
BLSCENDD	text	text
BLSCERSE	mixed	mixed
BLSCFDYN	text	length
BLSCGETT	text	length
BLSCOPEN	mixed	length
BLSCPOIN	text	text
BLSCPUTT	length	length
BLSEADP1	text	mixed
BLSFSCRT	text	length
BLSRCOMK	text	length
BLSRDUAL	text	length
BLSRDUIH	mixed	length
BLSRDUIS	text	length
BLSRDUOP	text	length
BLSRMSGA	text	length
BLSRRACV	text	length
BLSRSAGN	text	length
BLSRVPAS	text	length
BLSRVPCP	mixed	mixed
BLSSCOMM	text	length
BLSSPFT	mixed	length
BLSUSTAE	text	text
BLSUVSCR	text	text
BLSUVSMR	text	text
BLSUVSOQ	text	text
BLSVPGTE	text	length
BLSVSGTE	text	mixed
BNGIEXIT	length	length
BNGIPCBX	length	?
BNGTMENU	text	mixed
BNGTQEMA	length	length
BNGTQEMF	mixed	mixed
HEWLFENT	length	length
HEWLFIDR	length	length
HEWLFMAP	length	length
HEWLFSCD	length	length
HMASMAAR	length	length
HMASMAR1	text	length
HMASMAR2	text	length
HMASMBUE	text	length
HMASMCIL	text	mixed
HMASMCMP	text	length
HMASMCOM	length	length
HMASMCP2	text	length
HMASMCPL	text	length
HMASMCPY	text	length
HMASMCRD	text	length
HMASMDC1	text	length
HMASMDLE	mixed	length
HMASMDR1	text	length
HMASMDR2	text	length
HMASMDS1	text	length
HMASMEIS	mixed	length
HMASMFVL	text	length
HMASMGTA	text	length
HMASMIDU	text	length
HMASMIO1	text	length
HMASMION	text	length
HMASMLC1	text	length
HMASMLCC	mixed	length
HMASMLCD	text	length
HMASMLCP	length	length
HMASMLID	text	length
HMASMLKD	text	length
HMASMLOG	mixed	length
HMASMMPD	length	length
HMASMMPH	length	length
HMASMPGC	text	length
HMASMRCC	text	length
HMASMRCD	length	length
HMASMRCF	text	mixed
HMASMRCL	text	length
HMASMRDS	text	text
HMASMREC	length	length
HMASMREJ	text	length
HMASMRJD	text	length
HMASMSCN	text	length
HMASMSEC	text	length
HMASMSTA	text	length
HMASMSUB	text	length
HMASMSUP	text	length
HMASMTAD	text	length
HMASMTAI	text	length
HMASMTBL	text	length
HMASMTCL	text	length
HMASMTCR	text	length
HMASMTD1	text	length
HMASMTDD	text	length
HMASMTEC	text	length
HMASMTL1	text	mixed
HMASMTL2	text	length
HMASMTM1	text	length
HMASMTM2	text	length
HMASMTM3	text	length
HMASMTM4	text	length
HMASMTMJ	text	length
HMASMTMS	text	length
HMASMTMW	length	length
HMASMTP2	text	length
HMASMTPD	text	length
HMASMTPL	text	length
HMASMTPO	text	length
HMASMTPR	text	length
HMASMTPS	text	length
HMASMTR1	text	length
HMASMTRM	mixed	length
HMASMTSB	text	length
HMASMUXC	text	length
HMASMVLU	text	identical
HMASMXRF	text	length
HMBLKCTL	length	length
HMBLKIDR	length	length
HMBLKSZE	length	length
ICB2ACT	length	length
ICB2AEA	length	length
ICB2AIR	length	length
ICB2ATTN	length	length
ICB2SIOB	length	length
ICB2SIOF	length	length
ICBINIT	text	text
ICBMSG56	length	length
ICBPRGIO	length	length
ICBTMSS0	mixed	mixed
ICBVDR01	length	length
ICBVJL00	length	length
ICBVMS00	length	length
ICBVMT00	length	length
ICBVPR00	length	length
ICBVSC00	length	length
ICBVSL00	length	length
ICBVSP00	length	length
ICBVTP00	length	length
ICBVTP01	length	length
ICBVUT00	length	length
ICBVUT01	length	length
ICBVUT03	length	length
ICGDSA05	length	length
ICGDSA06	length	length
ICGDSA07	length	length
ICGDSA09	length	length
ICGDSB01	length	length
ICGDSB03	length	length
ICGDSB05	length	length
ICGDSB06	length	length
ICGDSB09	length	length
ICGDSB11	length	length
ICGDSB13	length	length
ICGDSB15	length	length
ICGDSB16	length	length
ICGDSB18	length	length
ICGDSB19	length	length
ICGDSB20	length	length
ICGDSBLD	length	length
ICGDSINT	mixed	mixed
ICGDSS06	length	length
ICGDSS08	length	length
ICGDSS09	length	length
ICKAA01	length	length
ICKBM01	length	length
ICKCDIN	length	length
ICKCDIT	length	length
ICKCDRF	length	length
ICKDV01	length	length
ICKDV02	length	length
ICKDV04	length	length
ICKIN01	length	length
ICKIO01	length	length
ICKIO02	length	length
ICKPP01	length	length
ICKRF01	length	length
ICKRI02	length	length
ICKSA01	length	length
ICKSA02	length	length
ICKSA03	length	length
ICKSA05	length	length
ICKSA08	length	length
ICKSA10	length	length
ICKTP05	length	length
ICKTSTP0	text	identical
ICKVA01	length	length
ICKVV01	length	length
ICKWI01	length	length
ICKWL01	length	length
ICKWV01	length	length
IDA0192A	length	length
IDA0192B	length	length
IDA0192C	length	length
IDA0192D	length	length
IDA0192F	length	length
IDA0192I	length	length
IDA0192P	length	length
IDA0192S	length	length
IDA0192Y	length	length
IDA0192Z	length	length
IDA019RD	length	length
IDA019S2	length	length
IDA019S4	length	identical
IDA0200B	length	length
IDA0200S	length	length
IDA0200T	length	length
IDA0231B	length	length
IDA0231T	length	length
IDA0557A	length	length
IDA0A05B	length	length
IDA0C05B	length	length
IDA0C06C	length	length
IDA0I96C	length	length
IDA121A3	length	length
IDA121A6	text	length
IDACAT13	length	length
IDACKRA1	length	length
IDAICIA1	length	length
IDAIIPM1	length	length
IDAIIPM3	mixed	mixed
IDAIISM1	length	length
IDAOCEA1	length	length
IDAOCEA2	length	length
IDAVBPC1	length	length
IDAVBPJ1	length	length
IDAVBPO1	text	text
IDAVBPP1	length	length
IDAVBPS2	length	length
IDCAL01	length	length
IDCAU03	length	length
IDCBI01	length	length
IDCCDAU	length	length
IDCCDCH	length	length
IDCCDDU	length	length
IDCCDMV	length	length
IDCCDNC	length	length
IDCCDTU	length	length
IDCCH02	length	length
IDCCH03	length	length
IDCCH04	length	length
IDCCN01	length	length
IDCCO01	length	length
IDCCV01	length	length
IDCDE01	length	length
IDCDE02	length	length
IDCDL01	length	length
IDCDU01	length	length
IDCEX03	length	length
IDCLR01	length	length
IDCLV01	length	length
IDCMC01	length	length
IDCMP01	length	length
IDCMV01	length	length
IDCNC01	length	length
IDCPM01	length	length
IDCPR01	length	length
IDCRC01	length	length
IDCRC02	length	length
IDCRD03	text	text
IDCRD04	length	length
IDCRD05	length	length
IDCRM01	length	length
IDCRP01	length	length
IDCRR01	length	length
IDCRS01	length	length
IDCRS02	mixed	mixed
IDCRS03	mixed	mixed
IDCRS04	mixed	mixed
IDCRS05	mixed	mixed
IDCRS06	mixed	mixed
IDCRS07	mixed	mixed
IDCRV01	length	length
IDCSA01	length	length
IDCSA02	length	length
IDCSA06	length	length
IDCSA08	length	length
IDCSA10	length	length
IDCSV01	length	length
IDCTP06	length	length
IDCTR01	length	length
IDCTSTP0	text	identical
IDCTU01	length	length
IDCVS01	length	length
IDCVS03	length	length
IDDWIAPP	length	length
IDDWICLS	length	length
IDDWIJRN	length	length
IDDWITRM	mixed	mixed
IEAFTEED	length	length
IEAFTIHS	length	length
IEAFTRT2	length	length
IEAFTSCB	length	length
IEAVAD02	length	length
IEAVAD03	mixed	mixed
IEAVAD07	length	length
IEAVAD08	length	length
IEAVAD0A	mixed	mixed
IEAVAD0F	length	length
IEAVAD10	length	length
IEAVAMSI	text	text
IEAVAR00	length	length
IEAVAR01	length	length
IEAVAR04	length	length
IEAVAR05	length	length
IEAVAR06	mixed	mixed
IEAVCARR	length	length
IEAVCKEY	text	length
IEAVCKRR	text	holes
IEAVCSEG	text	holes
IEAVDLAS	text	text
IEAVDSEG	text	mixed
IEAVECBV	text	holes
IEAVEEEP	text	mixed
IEAVEEER	text	holes
IEAVEF00	text	unpaired
IEAVEIO	text	length
IEAVEMCR	length	length
IEAVEPCR	text	text
IEAVEPDR	text	holes
IEAVERES	text	length
IEAVESCR	text	holes
IEAVFRCL	text	text
IEAVGCAS	length	length
IEAVMASV	length	length
IEAVMED2	length	length
IEAVMNTR	mixed	mixed
IEAVNP07	text	mixed
IEAVNP08	text	length
IEAVNP09	text	mixed
IEAVNP16	text	length
IEAVNP17	text	mixed
IEAVNP1B	length	holes
IEAVNPA5	text	length
IEAVNPA6	length	length
IEAVNPB5	text	holes
IEAVNPM2	mixed	length
IEAVOUT	mixed	mixed
IEAVPIOI	text	mixed
IEAVPIOP	mixed	length
IEAVPIX	text	holes
IEAVRELS	mixed	length
IEAVRFR	mixed	length
IEAVRT00	length	length
IEAVSTA0	length	length
IEAVTABI	text	identical
IEAVTAS1	length	length
IEAVTAS2	length	length
IEAVTAS3	length	length
IEAVTFRD	length	length
IEAVTFRT	length	length
IEAVTFSD	length	length
IEAVTMRM	length	length
IEAVTMSI	length	length
IEAVTMTC	length	length
