code	modules	message
IFO178	456	SYNTAX ERROR NEAR OPERAND COLUMN 3
IFO117	455	FIRST EXPRESSION IN SUBSTRING NOTATION EXCEEDS THE LENGTH OF THE STRING
IFO188	304	MCHEAD IS AN UNDEFINED SYMBOL
IFO092	225	KEYWORD PARAMETER ALIGN UNDEFINED IN MACRO DEFINITION
IFO078	197	UNDEFINED OP CODE
IFO068	103	COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
IFO217	75	RELOCATABILITY ERROR NEAR OPERAND COLUMN 4
IFO226	47	BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 21
IFO197	47	*** MNOTE ***
IFO236	33	ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
IFO209	31	ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
IFO195	26	INVALID USING OR DROP STATEMENT NEAR OPERAND COLUMN 3
IFO108	20	CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
IFO185	19	BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
IFO220	17	ALIGNMENT ERROR NEAR OPERAND COLUMN 19
IFO085	15	MACRO HEADER MISSING, MACRO NOT EXPANDABLE
IFO225	14	RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
IFO223	12	RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 26
IFO228	5	RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
IFO026	5	CHARACTERS APPEAR BETWEEN THE BEGIN AND CONTINUE COLUMNS ON CONTINUATION CARD
IFO007	2	USAGE OF &CODE IS INCONSISTENT WITH ITS DECLARATION
IFO196	2	IECVHIDT HAS BEEN PREVIOUSLY DEFINED
IFO053	2	OP CODE NOT FOUND ON FIRST OR ONLY CARD
IFO189	1	INVALID ENTRY OPERAND, LINKAGE CANNOT BE PERFORMED
IFO231	1	SYMBOL NOT PREVIOUSLY DEFINED - SCDAT00
IFO113	1	ILLEGAL REFERENCE MADE TO A PARAMETER THAT IS A SUBLIST
