operation	in_our_macro_libraries	modules	module_list
IHANVT	no	33	IEAVAP00 IEAVNIPM IEAVNIPX IEAVNP01 IEAVNP02 IEAVNP03 IEAVNP05 IEAVNP07 IEAVNP08 IEAVNP09 IEAVNP10 IEAVNP11 IEAVNP12 IEAVNP13 IEAVNP16 IEAVNP17 IEAVNP19 IEAVNP1A IEAVNPA1 IEAVNPA5 IEAVNPA6 IEAVNPB5 IEAVNPM2 IEAVNPM3 IEAVNPS5 IEAVTABI IEAVTSDI IGFPBUCR IGFPINIT IGFRINIT ILRASRIM ILRIMMSG ILRQSRIT
DSGEN	no	33	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE33XX IFCE3401 IFCE5424 IFCEARG1 IFCEARG2 IFCEARG3 IFCEARG4 IFCEARG5 IFCEARG6 IFCEARG7 IFCECUT0 IFCEFBA4 IFCEFBA5 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCET040 IFCETRN6 IFCETRN7 IFCEWIN2 IFCEWOD1 IFCS0115 IFCS1017 IFCS1018 IFCS33XX IFCS5424 IFCSI115
LINE	no	33	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE33XX IFCE3401 IFCE5424 IFCEARG1 IFCEARG2 IFCEARG3 IFCEARG4 IFCEARG5 IFCEARG6 IFCEARG7 IFCECUT0 IFCEFBA4 IFCEFBA5 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCET040 IFCETRN6 IFCETRN7 IFCEWIN2 IFCEWOD1 IFCS0115 IFCS1017 IFCS1018 IFCS33XX IFCS5424 IFCSI115
UCBDADVC	no	32	IAPCNTRL IEAVNP19 IEAVNPM3 IECVDAVV IECVDDT1 IECVDERP IECVXDAS IEEMPDM IEHDANAL IEHDASDS IEHDDOIO IEHDDUMP IEHDEXCP IEHDGETA IEHDINIT IEHDIPLI IEHDPASS IEHDRCVR IEHDREST IEHDRVID IEHDVTOC IEWFETCH IGC0008B IGC0009A IGC0108B IGC0208B IGG019P9 IGG0325Z IGG032I1 IGG032I7 ILRASRIM ILROPS00
ILRAIA	no	30	IEAVAMSI IEAVDLAS IEAVFXLD IEAVGFA IEAVOUT IEAVPIOI IEAVPIOP IEAVPIX IEAVRELS IEAVRFR IEAVSOUT IEAVSWIN IEAVSWPC ILRCMP ILRCMP01 ILRFRR01 ILRIOFRR ILRMSG00 ILRPAGCM ILRPAGIO ILRPOS ILRPTM ILRSRB01 ILRSRBC ILRSRT ILRSRT01 ILRSWAP ILRSWP01 ILRTERMR ILRVIOCM
ROUTINE	no	28	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE33XX IFCE3401 IFCE5424 IFCEARG4 IFCEARG5 IFCECUT0 IFCEFBA4 IFCEFBA5 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCET040 IFCETRN6 IFCETRN7 IFCEWIN2 IFCEWOD1 IFCS0115 IFCS1017 IFCS1018 IFCS33XX IFCS5424 IFCSI115
ISDAFSPC	no	27	ISDAAPR0 ISDAAPR1 ISDACSB0 ISDACSB1 ISDADAT0 ISDADAT1 ISDADCK0 ISDADCK1 ISDADCS0 ISDADCS1 ISDADHE0 ISDADHE1 ISDADRC0 ISDADRC1 ISDAEQC0 ISDAEQC1 ISDAFSC0 ISDAFSC1 ISDAFSC2 ISDAGEN0 ISDAHIST ISDALOG0 ISDAPAD0 ISDAPRT0 ISDASUM0 ISDASUM1 ISDATYPE
BIN	no	21	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE3401 IFCE5424 IFCEARG1 IFCEARG2 IFCEARG3 IFCEARG4 IFCEARG5 IFCEARG6 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCETRN6 IFCEWIN2 IFCEWOD1 IFCS5424
HEX	no	21	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE3401 IFCE5424 IFCEARG1 IFCEARG2 IFCEARG3 IFCEARG4 IFCEARG5 IFCEARG6 IFCEARG7 IFCET040 IFCETRN6 IFCETRN7 IFCS0115 IFCS1017 IFCS1018 IFCS5424 IFCSI115
CONVT	no	18	IFCE1017 IFCE1018 IFCE5424 IFCEARG1 IFCEARG2 IFCEARG3 IFCEARG4 IFCEARG5 IFCEARG6 IFCEARG7 IFCET040 IFCETRN6 IFCETRN7 IFCS0115 IFCS1017 IFCS1018 IFCS5424 IFCSI115
