module	dlib	in_target_libraries	owner	tool	dlib_verdict
IDCCDDE	AOSU0	LINKLIB	cc370	cards	length
ICKRI01	AOSU0	-	cc370	bytes	length
IDCRI01	AOSU0	LINKLIB	cc370	bytes	length
IDCIO05	AOSU0	-	cc370	bytes	length
IEECB909	AOSC5	-	cc370	bytes	length
IDCLC02	AOSU0	-	cc370	bytes	length
IDCRD07	AOSU0	-	cc370	cards	length
IDCLC01	AOSU0	LINKLIB	cc370	bytes	length
ICB2MSG	AOSD0	-	cc370	cards	length
IFCSDICH	AOSCD	LINKLIB	cc370	bytes	text
IRBMFINP	AOSC5	LINKLIB	cc370	bytes	length
HMASMTMD	AOS12	-	cc370	cards	text
ICKIT01	AOSU0	-	cc370	bytes	length
ICKDV03	AOSU0	-	cc370	bytes	length
IFCS3031	AOSCD	LINKLIB	cc370	bytes	text
IFCS3032	AOSCD	LINKLIB	cc370	bytes	text
ICGTRINT	AOSD0	-	cc370	bytes	length
IDCLV01	AOSU0	-	cc370	bytes	length
IFCS3033	AOSCD	LINKLIB	cc370	bytes	text
IDCCH01	AOSU0	-	cc370	bytes	length
ICBVIN00	AOSD0	-	cc370	bytes	length
IDCLM01	AOSU0	-	cc370	bytes	length
BNGIRMOT	AOS29	-	cc370	bytes	length
IDCTSLV0	AOSU0	-	cc370	cards	length
IEECB905	AOSC5	LPALIB	cc370	bytes	length
IKJCT433	AOST4	-	cc370	bytes	length
BNGTRMOT	AOS29	LINKLIB	cc370	bytes	length
IFCETUL1	AOSCD	LINKLIB	cc370	cards	length
IFCE0145	AOSCD	LINKLIB	cc370	cards	length
IFCCRNDR	AOSCD	LINKLIB	cc370	bytes	text
ICGTRDST	AOSD0	-	cc370	bytes	text
IDCCDRD	AOSU0	-	cc370	cards	length
IEAVSWCH	AOSC5	-	cc370	bytes	length
ICBMSG05	AOSD0	-	cc370	bytes	length
IEEVCPU	AOSC5	LPALIB	cc370	bytes	length
HMASMTPA	AOS12	-	cc370	bytes	mixed
AMDSYS01	AOS12	LPALIB	cc370	bytes	length
IFNX6C	AOS03	-	cc370	cards	length
IKJEFLE	AOST4	-	cc370	cards	length
IEEMPDEV	AOSC5	LINKLIB	cc370	cards	length
ICKIN02	AOSU0	-	cc370	bytes	text
IKTTOMRT	AOST3	LPALIB	cc370	bytes	length
ISTINCVI	AOS26	-	cc370	bytes	length
BLSDMSGS	AOS32	-	cc370	cards	length
IDCTP01	AOSU0	-	cc370	bytes	length
IKJCT436	AOST4	-	cc370	bytes	length
IFCEF165	AOSCD	LINKLIB	cc370	cards	length
ISTINCVA	AOS26	-	cc370	bytes	length
IKJEGIO	-	-	cc370	bytes	no-pair
HMASMLCD	AOS12	-	cc370	bytes	text
ICKTP01	AOSU0	-	cc370	bytes	length
IKJCT432	AOST4	-	cc370	bytes	text
IFCED165	AOSCD	LINKLIB	cc370	cards	length
AKJLKL01	-	CMDLIB	cc370	cards	no-pair
AMDPRFCB	AOS12	-	cc370	cards	length
AHLTSVC	AOS11	LPALIB	cc370	bytes	length
ISDAPAD1	AOSD0	-	cc370	bytes	length
IGC0F05A	AOS11	LPALIB	cc370	bytes	length
IFCEB165	AOSCD	LINKLIB	cc370	cards	length
IKJEFP60	AOST4	-	cc370	bytes	length
IFCELEX1	AOSCD	LINKLIB	cc370	cards	length
IFCEA165	AOSCD	LINKLIB	cc370	cards	length
IKJEBECH	-	CMDLIB	cc370	cards	no-pair
IDA0192Z	AOSA0	-	cc370	bytes	length
IKJRBBU0	AOST4	LINKLIB	cc370	bytes	length
IFCS0165	AOSCD	LINKLIB	cc370	cards	length
IFCEXXXA	AOSCD	-	cc370	cards	length
IGG0CLC9	AOSA0	-	cc370	cards	length
IKJEFF19	AOST4	LINKLIB	cc370	cards	length
IEAVAD01	AOSC5	-	cc370	cards	length
IOEDKWTR	AOSD0	-	cc370	bytes	length
IKJEFR00	-	-	cc370	cards	no-pair
IFCEE165	AOSCD	LINKLIB	cc370	cards	length
AHLTSLIP	AOS11	LPALIB	cc370	bytes	length
IFCMSG01	AOSCD	-	cc370	cards	length
IEAVTABD	AOSC5	-	cc370	cards	length
ICGTRSUM	AOSD0	-	cc370	bytes	text
IFCEI135	AOSCD	LINKLIB	cc370	cards	length
IDCCDAL	AOSU0	LINKLIB	cc370	cards	length
IEECLEAN	AOSC5	-	cc370	cards	length
AHLSETEV	AOS11	LPALIB	cc370	cards	length
IFCE2870	AOSCD	LINKLIB	cc370	cards	length
IEFXB601	AOSB3	-	cc370	bytes	length
BNGTLOCL	AOS29	LINKLIB	cc370	bytes	length
IFCE2860	AOSCD	LINKLIB	cc370	cards	length
IEEMPVST	AOSC5	LPALIB	cc370	cards	length
HMASMFPT	AOS12	-	cc370	bytes	text
IDA0192V	AOSA0	LPALIB	cc370	bytes	length
IKTCAS54	AOST3	-	cc370	bytes	text
ISTRAMA2	AOS26	LPALIB	cc370	cards	length
ICBVMG00	AOSD0	-	cc370	cards	length
