module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
BLSR3270	8	192	8	IFO117 first expression in substring notation exceeds the length of the string | Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0004				cards	0x00192	1736	1736	length	silent divergence
BLSRRAGE	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved	0000				bytes	0x0001f	1248	1224	length	as370 alone flags
BLSRRNCH	8	6	8	Undefined symbol	0000				cards	0x00123	1792	1792	length	as370 alone flags
BLSRSAPU	12	1	12	IFO231 Duplication factor uses a symbol not previously defined  - GENPARML | IFO217 Relocatable duplication factor - an absolute expression is required | IFO206 Duplication factor error - no storage reserved	0000				cards				length	as370 alone flags
BLSRSETD	8	2	8	Undefined symbol	0000				cards				length	as370 alone flags
BLSRVSLD	8	5	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				length	as370 alone flags
BLSUINI1	8	1	8	Undefined symbol	0000				cards	0x000c0	440	440	length	as370 alone flags
BLSUNOTE	8	3	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				cards				length	as370 alone flags
BLSVTCB	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x00460	2264	2264	text	as370 alone flags
BNGTDISP	8	511	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				cards				length	as370 alone flags
HEWLDRGO	8	1	8	Undefined symbol	0000				bytes				mixed	as370 alone flags
HMASMCPI	8	10	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				text	as370 alone flags
ICAPRTBL	8	197	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Symbol longer than 8 characters in name field (name rejected; MVS symbols are limited to 8)	0000				cards	0x001d2	4824	4824	no-pair	as370 alone flags
