module	before	after
BNGIEXIT	identical	bytes
ICBVQM00	bytes	identical
IDA0192V	bytes	identical
IDACAT11	bytes	identical
IDACAT12	bytes	identical
IEAVAD01	bytes	identical
IEAVAX00	bytes	identical
IEAVMDOM	bytes	identical
IEAVTABD	bytes	identical
IEAVVWTO	bytes	identical
IEAVXDOM	bytes	identical
IEDAYZZ	identical	bytes
IEDQW25	bytes	identical
IEDQW33	bytes	identical
IEDQWO	bytes	identical
IEEMB804	bytes	identical
IEFXB601	bytes	identical
IEFXB604	bytes	identical
IEFXB609	bytes	identical
IFFAAA01	identical	bytes
IFFAAA02	identical	bytes
IFFAAA03	identical	bytes
IFFAAA04	identical	bytes
IFFAAA05	identical	bytes
IFFAAA06	identical	bytes
IFFACA00	identical	bytes
IFFACA01	identical	bytes
IFFACA02	identical	bytes
IFFACA03	identical	bytes
IFFACA04	identical	bytes
IFFACA05	identical	bytes
IFFACA07	identical	bytes
IFFACA08	identical	bytes
IFFACA13	identical	bytes
IFFACA50	identical	bytes
IFFADA01	identical	bytes
IFFADA03	identical	bytes
IFFAEA01	identical	bytes
IFFAEA03	identical	bytes
IFFAEA04	identical	bytes
IFFAFA01	identical	bytes
IFFAFA02	identical	bytes
IFFAFA03	identical	bytes
IFFAFA04	identical	bytes
IFFAFA05	identical	bytes
IFFAFA06	identical	bytes
IFFAFA07	identical	bytes
IFFAFA08	identical	bytes
IFFAFA09	identical	bytes
IFFAFA11	identical	bytes
IFFAFA12	identical	bytes
IFFAFA13	identical	bytes
IFFAFA14	identical	bytes
IFFAFA15	identical	bytes
IFFAFA19	identical	bytes
IFFAGA01	identical	bytes
IFFAGA02	identical	bytes
IFFAGA05	identical	bytes
IFFAGA06	identical	bytes
IFFAGA07	identical	bytes
IFFAHA01	identical	bytes
IFFAHA02	identical	bytes
IFFAHA03	identical	bytes
IFFAHA04	identical	bytes
IFFAHA05	identical	bytes
IFFAHA06	identical	bytes
IFFAHA07	identical	bytes
IFFAHA13	identical	bytes
IFG0191X	bytes	identical
IFG0200N	bytes	identical
IGG0193K	bytes	identical
IGG0196Q	bytes	identical
IGG0203K	bytes	identical
IHCGSP02	identical	bytes
IKJEFP60	bytes	identical
IKT0940F	bytes	identical
IOEDKWTR	bytes	identical
ISDAAPR0	bytes	identical
ISDAAPR1	bytes	identical
ISDACSB0	bytes	identical
ISDACSB1	bytes	identical
ISDADAT0	bytes	identical
ISDADAT1	bytes	identical
ISDADCK0	bytes	identical
ISDADCK1	bytes	identical
ISDADCS0	bytes	identical
ISDADCS1	bytes	identical
ISDADHE0	bytes	identical
ISDADHE1	bytes	identical
ISDADRC0	bytes	identical
ISDADRC1	bytes	identical
ISDAEQC0	bytes	identical
ISDAEQC1	bytes	identical
ISDAFSC0	bytes	identical
ISDAFSC1	bytes	identical
ISDAFSC2	bytes	identical
ISDAGEN0	bytes	identical
ISDAHIST	bytes	identical
ISDALOG0	bytes	identical
ISDAPAD0	bytes	identical
ISDAPRT0	bytes	identical
ISDASUM0	bytes	identical
ISDASUM1	bytes	identical
ISDATYPE	bytes	identical
ISTAPC53	bytes	identical
ISTAPC57	bytes	identical
ISTOCCCC	bytes	identical
ISTOCCCL	bytes	identical
ISTOCCOB	bytes	identical
