module	before	after
AMDPREAD	identical	cards
AMDPRFMG	identical	cards
AMDPRLOD	identical	bytes
AMDPRMST	cards	identical
AMDPRNUC	identical	bytes
AMDSALDR	identical	cards
AMDSYS02	identical	bytes
BLSFCN00	identical	bytes
BLSRACCQ	identical	cards
BLSRADDU	identical	bytes
BLSRESGE	identical	bytes
BLSSPGTE	identical	bytes
BLSUMONL	identical	bytes
HEWLDRGO	bytes	cards
HEWLFROU	identical	bytes
HMASMCP2	identical	bytes
HMASMCPL	identical	bytes
HMASMDR1	identical	bytes
HMASMDS1	identical	bytes
HMASMIO	identical	cards
HMASMION	identical	bytes
HMASMPGC	identical	bytes
HMASMREC	identical	bytes
HMASMTAD	identical	bytes
HMASMTBM	identical	bytes
HMASMTCR	identical	bytes
HMASMTMS	identical	bytes
HMASMTMW	identical	bytes
HMASMTPL	identical	bytes
HMASMTPR	identical	bytes
HMASMTRM	identical	bytes
HMASMUC1	identical	bytes
HMASMUXC	identical	bytes
HMASMVLU	identical	bytes
HMBLKIDR	identical	cards
HMBLKLDM	identical	bytes
HMBLKXRF	identical	bytes
ICBVIN02	identical	cards
ICKIO01	identical	bytes
IEAV1443	identical	bytes
IEAV2540	identical	cards
IEAVAP00	identical	bytes
IEAVTCR1	identical	bytes
IEAVTSDI	identical	bytes
IEBGEN03	identical	cards
IEBGENS3	identical	bytes
IEBIMAGE	identical	cards
IEBISAM	identical	bytes
IEBPPCH1	bytes	cards
IEBUPDT2	bytes	cards
IECVIRST	identical	bytes
IEDQWO	bytes	cards
IEDQXC	bytes	cards
IEEMB821	identical	bytes
IEEMB878	identical	bytes
IEESB03D	identical	bytes
IEESJ03D	identical	bytes
IEESN03D	identical	bytes
IEESP03D	identical	bytes
IEEVMNT1	bytes	identical
IEEVSDIO	bytes	cards
IEEVSND5	identical	cards
IEEZB03D	identical	bytes
IEEZS03D	identical	bytes
IEFAB4FA	identical	bytes
IEFDB4A0	identical	bytes
IEHATLAS	identical	bytes
IEHDAOUT	identical	bytes
IEHDIPLI	identical	bytes
IEHMVESC	identical	cards
IEHMVESH	identical	cards
IEHMVEST	identical	bytes
IEHMVSRK	bytes	cards
IEHMVSRY	identical	bytes
IEHMVSSS	identical	bytes
IEHMVSSY	identical	bytes
IEHMVSSZ	identical	bytes
IEHMVSTA	identical	bytes
IEHMVSTC	bytes	cards
IEHMVSTL	identical	cards
IEHPROG3	identical	bytes
IEHPROG4	identical	bytes
IEHPROG5	identical	bytes
IERRC9	identical	bytes
IERRCE	identical	bytes
IFCEE165	bytes	cards
IFCET00D	bytes	cards
IFDOLT30	bytes	cards
IFDOLT39	cards	bytes
IFDOLT57	bytes	identical
IFFCAN02	identical	cards
IFNX1A	no-as370-deck	cards
IFNX3N	cards	bytes
IGC0005C	bytes	identical
IGC0010E	bytes	identical
IGC0206H	identical	bytes
IGC0208B	identical	bytes
IGC0P05B	identical	bytes
IGC1206F	identical	bytes
IGE0904I	identical	bytes
IGFTMCHK	identical	bytes
IGG0192C	bytes	identical
IGG01946	identical	cards
IGG08103	bytes	identical
IGG0CLBI	identical	bytes
IKJCT432	identical	bytes
IKJEBEAA	bytes	cards
IKJEES75	bytes	cards
IKJEFA51	identical	cards
IKJEFA52	identical	cards
IKJEFH03	identical	bytes
IKJEFLE	cards	bytes
IKJEFLL	identical	cards
IKJEFT01	identical	bytes
IKJEFT04	identical	bytes
IKJEGSYM	identical	cards
IKJEHMEM	identical	bytes
IRBMFDTA	identical	bytes
IRBMFINP	bytes	cards
ISDALOG0	bytes	cards
ISDASDA0	identical	bytes
ISTINCRS	identical	cards
