module	before	after
AHLMCIH	bytes	identical
AHLTEXT	bytes	identical
AHLTPID	bytes	identical
AHLTSLIP	bytes	identical
AHLTSVC	bytes	identical
AHLTSYSM	bytes	identical
AMDSAAUD	bytes	identical
AMDSAPGE	bytes	identical
AMDSAPGI	bytes	identical
AMDSAPRO	bytes	identical
AMDSASVI	bytes	identical
AMDSATAP	bytes	identical
AMDSATER	bytes	identical
AMDSAWAT	bytes	identical
ICFBDF00	bytes	identical
IDA019R1	bytes	identical
IDA019SE	bytes	identical
IEAVESPR	bytes	identical
IEAVINV	bytes	identical
IEAVTRTM	bytes	identical
IEAVTRTR	bytes	identical
IEAVTSL2	bytes	identical
IEAVTSLP	bytes	identical
IEAVTSLR	bytes	identical
IECTEDIT	bytes	identical
IECVRDIO	bytes	identical
IECVRSTI	bytes	identical
IECVURDT	bytes	identical
IEDTEDIT	bytes	identical
IEEMPS03	bytes	identical
IEEVEXSN	bytes	identical
IEEVWKUP	bytes	identical
IGFC60	bytes	identical
IGFCCHCR	bytes	identical
IGFCCHED	bytes	identical
IGFPEXIT	bytes	identical
IGFPMFRS	bytes	identical
IGFPMRTM	bytes	identical
IGFPTCON	bytes	identical
IGFPTREC	bytes	identical
IGFPTSIG	bytes	identical
IGG019OA	bytes	identical
IRBMFECH	bytes	identical
IRBMFIOI	bytes	identical
IRBMFTCH	bytes	identical
ISTAPC61	bytes	identical
ISTOCCOA	bytes	identical
