module	before	after
IDCLV01	bytes	identical
IEAVRCV	bytes	identical
IEAVTAS2	bytes	identical
IEAVTSDO	bytes	identical
IEEVDEV	bytes	identical
IFG0190P	bytes	identical
IFG0193C	bytes	identical
IFG0195J	bytes	identical
IFG0196K	bytes	identical
IFG0198N	bytes	identical
IFG0200P	bytes	identical
IFG0202H	bytes	identical
IFG0202L	bytes	identical
IFG0230P	bytes	identical
IFG0550P	bytes	identical
IFG0551B	bytes	identical
IFG0551D	bytes	identical
IFG0551L	bytes	identical
IFG0552V	bytes	identical
IFG0553C	bytes	identical
IFG0554L	bytes	identical
IFG0555J	bytes	identical
IGC0010C	bytes	identical
IGC0102G	bytes	identical
IGC0107H	bytes	identical
IGC0905I	cards	identical
IGG0191F	bytes	identical
IGG0196M	bytes	identical
IGG0196S	bytes	identical
IGG0197A	bytes	identical
IGG0197D	bytes	identical
IGG0197P	bytes	identical
IGG0197Q	bytes	identical
IGG019BR	bytes	identical
IGG0201D	bytes	identical
IGG0201P	bytes	identical
IGG0201R	bytes	identical
IGG0201X	bytes	identical
IGG0203Y	bytes	identical
IGG0203Z	bytes	identical
IGG0CLF2	bytes	identical
ISTAICIR	bytes	identical
ISTAPC23	bytes	identical
ISTAPC33	bytes	identical
ISTCRCR4	bytes	identical
ISTCSCMR	bytes	identical
ISTDCC81	bytes	identical
ISTDCC85	bytes	identical
ISTINC05	bytes	identical
ISTINCD8	bytes	identical
ISTINCDL	bytes	identical
ISTINCDP	bytes	identical
ISTINCFS	bytes	identical
ISTINCMS	bytes	identical
ISTINCMY	bytes	identical
ISTINCOQ	bytes	identical
ISTINCR4	bytes	identical
ISTINCR6	bytes	identical
ISTINCRP	bytes	identical
ISTINCVA	bytes	identical
ISTINCW4	bytes	identical
ISTINCXR	bytes	identical
ISTINCY0	bytes	identical
ISTINFXI	bytes	identical
ISTOCCCN	bytes	identical
ISTOCCDF	bytes	identical
ISTOCCFR	bytes	identical
ISTOCCRT	bytes	identical
ISTOCCUR	bytes	identical
ISTORFBA	bytes	identical
ISTORFBD	bytes	identical
ISTORFBQ	bytes	identical
ISTSC034	bytes	identical
ISTSDCLM	bytes	identical
ISTSEC51	bytes	identical
ISTZAF1R	bytes	identical
ISTZBFID	bytes	identical
ISTZBFIF	bytes	identical
ISTZBFSC	bytes	identical
ISTZBMJA	bytes	identical
ISTZCF1A	bytes	identical
ISTZCF1B	bytes	identical
ISTZCFBI	bytes	identical
ISTZDFE0	bytes	identical
ISTZDFJ0	bytes	identical
ISTZDFKA	bytes	identical
ISTZDFKB	bytes	identical
ISTZDMMB	bytes	identical
ISTZGF0B	bytes	identical
ISTZIF1B	bytes	identical
ISTZIFSC	bytes	identical
ISTZIMQA	bytes	identical
ISTZLFAB	bytes	identical
