module	before	after
AHLGTFI	cards	identical
AHLREADR	cards	identical
AHLTMON	cards	identical
AMDPRRDC	bytes	identical
HEWLDIOC	bytes	identical
HEWLDRGO	bytes	identical
IEAVNP05	bytes	identical
IEAVRTI1	cards	identical
IEAVSTAA	bytes	identical
IEAVTRET	cards	identical
IEBCMAIN	cards	bytes
IEBCQSAM	cards	identical
IECIOSAM	cards	bytes
IECVBRSV	cards	identical
IECVDAVV	cards	identical
IECVEXPR	cards	identical
IECVSMGR	cards	identical
IEDQFE20	cards	identical
IEDQOA	cards	identical
IEDQWJ1	cards	identical
IEE0503D	cards	identical
IEEMPDEV	cards	identical
IEEVLDWT	cards	identical
IEFAB488	cards	identical
IEFNB9CR	cards	identical
IEFNB9IR	cards	identical
IEFRPREP	bytes	identical
IERRCV	bytes	identical
IFCDIP00	cards	bytes
IFCEFBA4	cards	bytes
IFCEFBA5	cards	bytes
IFCET040	cards	bytes
IFG0191Y	cards	identical
IGC0007A	cards	identical
IGFTMC00	cards	identical
IGG01933	cards	identical
IGG01944	cards	identical
IGG0194Q	cards	identical
IGG0197B	cards	identical
IGG019BN	cards	identical
IGG019BO	cards	identical
IGG019M0	cards	identical
IGG019M3	cards	identical
IGG019MD	cards	identical
IGG019ME	cards	identical
IGG019MJ	cards	identical
IGG019MK	cards	identical
IGG019MN	cards	identical
IGG019MP	cards	identical
IGG019MU	cards	identical
IGG019MV	cards	identical
IGG019MW	cards	identical
IGG019MY	cards	identical
IGG019MZ	cards	identical
IGG019PB	cards	identical
IGG019PD	cards	bytes
IGG019PE	cards	identical
IGG019PF	cards	identical
IGG019PP	cards	identical
IGG019Q0	cards	bytes
IKJEFE01	bytes	identical
IKJEFE03	bytes	identical
IKTCAS52	cards	identical
IKTMSGS	cards	bytes
IRARMSRV	cards	identical
ISTRAMA2	cards	identical
