module	before	after
AKJLKL01	bytes	identical
BLSDIFP0	cards	identical
BLSEADPR	cards	identical
BLSEDEL0	bytes	identical
BLSELP00	cards	identical
BLSEMDPR	cards	identical
BLSFAD00	bytes	identical
BLSFMD00	bytes	identical
BLSFPARS	bytes	identical
BLSRASCX	bytes	identical
BLSRCOMP	cards	identical
BLSRDUSC	bytes	identical
BLSRENQK	bytes	identical
BLSREQU	cards	identical
BLSRESDR	bytes	identical
BLSREVAL	bytes	identical
BLSRFIND	cards	identical
BLSRFMOD	cards	identical
BLSRFUCB	bytes	identical
BLSRLIST	cards	identical
BLSRLSYM	bytes	identical
BLSRRNCH	cards	identical
BLSRSADE	cards	identical
BLSRSALI	cards	identical
BLSRSCAN	cards	identical
BLSRSETD	cards	identical
BLSRST00	bytes	identical
BLSRSUMM	bytes	identical
BLSRTCBX	cards	identical
BLSRVRBX	cards	identical
BLSUHELP	bytes	identical
BLSUINI1	bytes	identical
BLSUNOTE	cards	identical
ICBVMG00	bytes	identical
IDCCDAL	cards	identical
IDCCDBI	bytes	identical
IDCCDCC	cards	identical
IDCCDCK	cards	identical
IDCCDDE	cards	identical
IDCCDDL	bytes	identical
IDCCDLC	cards	identical
IDCCDLR	cards	identical
IDCCDMP	cards	identical
IDCCDPM	cards	identical
IDCCDPR	cards	identical
IDCCDRC	cards	identical
IDCCDRD	cards	identical
IDCCDRM	cards	identical
IDCCDRP	cards	identical
IDCCDRS	cards	identical
IDCCDXP	cards	identical
IDCRI04	cards	bytes
IEAVPSI	bytes	identical
IEDQGA	bytes	identical
IEDQGT	bytes	identical
IEECVET1	bytes	identical
IEECVET4	bytes	identical
IFG0196L	bytes	identical
IFNX3N	bytes	cards
IGE0004G	bytes	identical
IGE0004H	bytes	identical
IGG019QE	bytes	identical
IKJEBECH	cards	bytes
IKJEBEDE	cards	bytes
IKJEBEDO	bytes	identical
IKJEBEFI	bytes	identical
IKJEBEFO	cards	identical
IKJEBEIP	cards	bytes
IKJEBELI	cards	bytes
IKJEBEMC	cards	bytes
IKJEBEME	cards	bytes
IKJEBERU	cards	bytes
IKJEBESU	cards	identical
IKJEBETA	bytes	identical
IKJEBEUP	bytes	identical
IKJEES11	bytes	identical
IKJEFA10	cards	identical
IKJEFA24	cards	identical
IKJEFA30	cards	identical
IKJEFA55	cards	identical
IKJEFATT	cards	identical
IKJEFD20	cards	identical
IKJEFD37	cards	identical
IKJEFG00	bytes	identical
IKJEFH01	cards	bytes
IKJEFLEA	cards	identical
IKJEFR00	cards	identical
IKJEFT08	bytes	identical
IKJEFT80	cards	bytes
IKJEFT82	cards	identical
IKJEGCPY	bytes	identical
IKJEGEQU	cards	bytes
IKJEGLST	cards	identical
IKTXINIT	bytes	identical
