module	before	after
IDCTSAU0	bytes	identical
IDCTSAV0	bytes	identical
IDCTSCH0	bytes	identical
IDCTSCM0	cards	identical
IDCTSCN0	bytes	identical
IDCTSCO0	cards	identical
IDCTSCP0	cards	identical
IDCTSCV0	cards	identical
IDCTSEC0	cards	identical
IDCTSEV0	bytes	identical
IDCTSIO5	cards	identical
IDCTSLM0	cards	identical
IDCTSLV0	cards	identical
IDCTSMC0	bytes	identical
IDCTSMG0	bytes	identical
IDCTSRL0	bytes	identical
IDCTSRR0	cards	identical
IDCTSRV0	bytes	identical
IDCTSSA6	cards	identical
IDCTSSA7	bytes	identical
IDCTSSD0	cards	identical
IDCTSSR0	cards	identical
IDCTSSS0	bytes	identical
IDCTSSV0	cards	identical
IDCTSTR0	bytes	identical
IDCTSTU0	cards	identical
IDCTSVS0	cards	identical
IEAVNIP0	bytes	identical
IEAVPCB	bytes	identical
IEAVTGLB	bytes	identical
IFFPCAAR	cards	bytes
IFFPFAVA	cards	bytes
IFFPIAPG	cards	bytes
IFFPJAPV	cards	bytes
IFFPKADG	bytes	identical
IFNX4N	cards	bytes
