module	before	after
AMDPRGET	bytes	identical
AMDPRLOD	bytes	identical
AMDPRQCB	bytes	identical
AMDPRSCN	bytes	identical
AMDPRSN2	bytes	identical
AMDPRSN3	bytes	identical
AMDSYS01	bytes	identical
AMDSYS03	bytes	identical
BLSCAAMS	bytes	identical
BLSCABLD	bytes	identical
BLSCAMER	bytes	identical
BLSCANAL	bytes	identical
BLSCANLE	bytes	identical
BLSCANLI	bytes	identical
BLSCCLSE	bytes	identical
BLSCFAMS	bytes	identical
BLSDDEQP	bytes	identical
BLSDENQ0	bytes	identical
BLSELPCT	bytes	identical
BLSRACC	bytes	identical
BLSRADD1	bytes	identical
BLSRASM7	bytes	identical
BLSRDUDE	bytes	identical
BLSRDUIC	bytes	identical
BLSRDUIN	bytes	identical
BLSRESCK	bytes	identical
BLSRESRU	bytes	identical
BLSRIOSK	bytes	identical
BLSRMSGB	bytes	identical
BLSRRACR	bytes	identical
BLSRSAPC	bytes	identical
BLSRVSLD	bytes	identical
BLSSASCB	bytes	identical
BLSSASMV	bytes	identical
BLSSASVT	bytes	identical
BLSSASXB	bytes	identical
BLSSCDE	bytes	identical
BLSSCSD	bytes	identical
BLSSCVT	bytes	identical
BLSSIOC	bytes	identical
BLSSIOX	bytes	identical
BLSSLCCA	bytes	identical
BLSSLCCV	bytes	identical
BLSSLLPA	bytes	identical
BLSSLPDE	bytes	identical
BLSSPCCA	bytes	identical
BLSSPCCV	bytes	identical
BLSSPGTE	bytes	identical
BLSSPSA	bytes	identical
BLSSPVT	bytes	identical
BLSSSGTE	bytes	identical
BLSSTCB	bytes	identical
BLSSUCB	bytes	identical
BLSSUCM	bytes	identical
BLSSXTLS	bytes	identical
BLST03	bytes	identical
BLST04A	bytes	identical
BLST04BS	bytes	identical
BLST04CV	bytes	identical
BLST05	bytes	identical
BLST08	bytes	identical
BLSTB4	bytes	identical
BLSTB5	bytes	identical
BLSTC	bytes	identical
BLSTM4	bytes	identical
BLSTM5	bytes	identical
BLSTR	bytes	identical
BLSTU4	bytes	identical
BLSTU5	bytes	identical
BLSU	bytes	identical
BLSUMON	bytes	identical
BLSUMONA	bytes	identical
BLSUMONI	bytes	identical
BLSUPRTA	bytes	identical
BLSUPUTC	bytes	identical
BLSUPUTD	bytes	identical
BLSUPUTO	bytes	identical
BLSUTRMO	bytes	identical
BLSUTRMV	bytes	identical
BLSVASCB	bytes	identical
BLSVASVT	bytes	identical
BLSVASXB	bytes	identical
BLSVCDE	bytes	identical
BLSVCVT	bytes	identical
BLSVIOC	bytes	identical
BLSVLCCA	bytes	identical
BLSVLCCV	bytes	identical
BLSVLPDE	bytes	identical
BLSVPCCA	bytes	identical
BLSVPCCV	bytes	identical
BLSVPSA	bytes	identical
BLSVPVT	bytes	identical
BLSVQCBA	bytes	identical
BLSVQCBB	bytes	identical
BLSVQEL	bytes	identical
BLSVRB	bytes	identical
BLSVTCB	bytes	identical
BLSVUCB	bytes	identical
HMASMALC	bytes	identical
HMASMASI	bytes	identical
HMASMBDL	bytes	identical
HMASMCPI	bytes	identical
HMASMDRV	bytes	identical
HMASMDSU	bytes	identical
HMASMIO	cards	identical
HMASMLKI	bytes	identical
HMASMUPI	bytes	identical
IAPCHKIO	bytes	identical
ICBVOP00	bytes	identical
ICGDSB07	bytes	identical
ICGDSB08	bytes	identical
ICGDSB10	bytes	identical
ICGDSB14	bytes	identical
ICGTRDST	bytes	identical
ICGTRINT	bytes	identical
ICGTRSUM	bytes	identical
ICKDV03	bytes	identical
ICKIT01	bytes	identical
ICKRI01	bytes	identical
ICKTP01	bytes	identical
IDA121A2	bytes	identical
IDA121A4	bytes	identical
IDAVBPR1	bytes	identical
IDCCH01	bytes	identical
IDCCP01	bytes	identical
IDCCT01	bytes	identical
IDCDB02	bytes	identical
IDCIO05	bytes	identical
IDCLC01	bytes	identical
IDCLC02	bytes	identical
IDCLM01	bytes	identical
IDCRI01	bytes	identical
IDCSA07	bytes	identical
IDCST01	bytes	identical
IDCTP01	bytes	identical
IDDWIFRR	bytes	identical
IEAVAD0D	bytes	identical
IEAVAD0E	bytes	identical
IEAVAP00	bytes	identical
IEAVEQV0	bytes	identical
IEAVEVRR	bytes	identical
IEAVGFRR	bytes	identical
IEAVNP02	bytes	identical
IEAVNP03	bytes	identical
IEAVNP13	bytes	identical
IEAVNP1A	bytes	identical
IEAVNPA1	bytes	identical
IEAVNPM3	bytes	identical
IEAVNPS5	bytes	identical
IEAVTSDI	bytes	identical
IEAVVINT	bytes	identical
IEBDV1	bytes	identical
IEBEDIT	bytes	identical
IEBISL	bytes	identical
IEBRSAM	bytes	identical
IEBVTM	bytes	identical
IECVIRST	bytes	identical
IECVRRSV	bytes	identical
IEDAYE	bytes	identical
IEDQA4	bytes	identical
IEDQNM	bytes	identical
IEDQWB	bytes	identical
IEDQWI9	bytes	identical
IEECB905	bytes	identical
IEECB907	bytes	identical
IEECB909	bytes	identical
IEECB910	bytes	identical
IEEMB860	bytes	identical
IEEMPDM	bytes	identical
IEEVCPU	bytes	identical
IEEVPTH	bytes	identical
IEEVSND4	bytes	identical
IEEXEDNA	bytes	identical
IEFAB4B0	bytes	identical
IEFAB4B2	bytes	identical
IEFAB4DE	bytes	identical
IEFAB4EE	bytes	identical
IEFBB401	bytes	identical
IEFDB400	bytes	identical
IEFDB413	bytes	identical
IEFDB418	bytes	identical
IEFDB4A1	bytes	identical
IEFDB4FE	bytes	identical
IEFIIC	bytes	identical
IEFVHA	bytes	identical
IEFVHEB	bytes	identical
IEFVHF	bytes	identical
IEFXB610	bytes	identical
IEHMVESC	bytes	identical
IEHMVEST	bytes	identical
IEHMVSSS	bytes	identical
IFDOLT41	bytes	identical
IGC0002F	bytes	identical
IGC0F05A	bytes	identical
IGC0J10D	bytes	identical
IGC0U05B	bytes	identical
IGCFL10D	bytes	identical
