module	before	after
BLSRDUDR	identical	cards
BLSRDULS	identical	cards
BLSRESAR	identical	cards
BLSRESDR	identical	cards
BLSRESGC	identical	cards
BLSRESPU	identical	cards
BLSRLSYM	identical	cards
BLSRPHAR	identical	cards
BLSRPHGE	identical	cards
BLSRRAAR	identical	cards
BLSRRAGE	identical	cards
BLSRRDAR	identical	cards
BLSRRDGE	identical	cards
BLSRRDPU	identical	cards
BLSRSAAR	identical	cards
BLSRSADE	identical	cards
BLSRSAGC	identical	cards
BLSRSALI	identical	cards
BLSRSAPU	identical	cards
BLSRSCAN	identical	cards
BLSRVSLD	identical	cards
BLSUVSAR	identical	cards
BLSUVSCR	identical	bytes
BLSUVSMR	identical	bytes
IDAVBPJ1	identical	bytes
IDAVBPO1	identical	cards
IDAVBPS1	identical	bytes
IDAVBPS2	identical	cards
IDDWIAPP	identical	bytes
IEAVAD00	identical	cards
IEAVAMSI	identical	cards
IEAVAX00	identical	cards
IEAVEQR	identical	cards
IEAVERI	identical	bytes
IEAVIOCP	identical	cards
IEAVPIOP	identical	bytes
IEAVPRSB	identical	bytes
IEAVRFR	identical	bytes
IEAVSQA	identical	cards
IEAVTLCL	identical	cards
IEAVTSDX	identical	cards
IEECB800	identical	cards
IEECB905	identical	cards
IEESB605	identical	bytes
IEFJACTL	identical	cards
IEFJCNTL	identical	cards
IEFJJCLS	identical	cards
IEFJJOBS	identical	cards
IEFJSWT	identical	cards
IFCEDSUM	identical	bytes
IFCSDASD	identical	bytes
IFCTHRSH	identical	bytes
IGFDI1	identical	bytes
IGFDL1	identical	cards
IGFDV1	identical	bytes
IGFDW0	identical	cards
IGG01920	identical	bytes
IGG019SI	identical	cards
IGG0CLC9	identical	bytes
ILRPTM	identical	cards
ILRSWPDR	identical	bytes
ILRTERMR	identical	bytes
ILRTMI00	identical	cards
ILRVSAMI	identical	cards
IRARMSRV	identical	cards
IRBMFALL	identical	bytes
IRBMFINP	identical	bytes
IRBMFIWK	identical	cards
IRBMFRGM	identical	cards
ISTRAMA2	identical	bytes
