module	before	after
AHLREADR	identical	bytes
AHLTDIR	identical	bytes
AHLTEXT	identical	bytes
AHLTFOR	identical	bytes
AHLTPID	identical	bytes
AHLTSIO	identical	bytes
AHLTSLIP	identical	bytes
AHLTSVC	identical	bytes
AHLTSYFL	identical	bytes
AHLTUSR	identical	bytes
AHLVCOFF	identical	bytes
AHLVCON	identical	bytes
AHLWTO	identical	bytes
AMDSAAMR	identical	bytes
AMDSAASM	identical	bytes
AMDSACON	identical	bytes
AMDSAPGI	identical	bytes
AMDSASVI	identical	bytes
AMDSATAP	identical	bytes
AMDSAUCB	identical	bytes
AMDSAVCK	identical	bytes
AMDSYS00	identical	bytes
AMDSYS01	identical	bytes
BLSCRECV	identical	bytes
BLSRESGQ	identical	bytes
BLSRPADS	identical	bytes
BLSRSAGN	identical	bytes
BLSRSAGQ	identical	bytes
BLSRVPVS	identical	bytes
BLSUALLO	identical	bytes
BLSUBLDD	identical	bytes
BLSUMPKN	identical	bytes
BLSUSTAI	identical	bytes
BLSUVP21	identical	bytes
BLSUVP31	identical	bytes
BLSUVP32	identical	bytes
BLSUVP99	identical	bytes
BLSUZZ2C	identical	bytes
BLSUZZ2D	identical	bytes
BLSUZZ2R	identical	bytes
IAPABNAP	identical	bytes
IAPBLDIO	identical	bytes
IAPCHKIO	identical	bytes
IAPPFXAP	identical	bytes
IDA0192M	identical	bytes
IDA019S6	identical	bytes
IDA019SN	identical	bytes
IDA019ST	identical	bytes
IDA019SU	identical	bytes
IDA121A3	identical	bytes
IDACKRA1	identical	bytes
IDCRD05	identical	bytes
IEAV1052	identical	bytes
IEAV1443	identical	bytes
IEAV2540	identical	bytes
IEAVAD00	identical	bytes
IEAVAR00	identical	bytes
IEAVAR01	identical	bytes
IEAVAR02	identical	bytes
IEAVAR03	identical	bytes
IEAVAX00	identical	bytes
IEAVCKRR	identical	bytes
IEAVDLAS	identical	bytes
IEAVEAC0	identical	bytes
IEAVEAT0	identical	bytes
IEAVECBV	identical	bytes
IEAVEEEP	identical	bytes
IEAVEEER	identical	bytes
IEAVEOR	identical	bytes
IEAVEPDR	identical	bytes
IEAVEQV0	identical	bytes
IEAVESCR	identical	bytes
