module	before	after
HMASMTPA	bytes	identical
IDA019SU	bytes	identical
IEBASCAN	bytes	identical
IEDQKA	bytes	identical
IEDQKC	bytes	identical
IEDQWP	bytes	identical
IEDQWP1	bytes	identical
IEDQWP2	bytes	identical
IEFNB903	bytes	identical
IEHDASDR	bytes	identical
IEHDREST	bytes	identical
IERRCH	bytes	identical
IFG0195N	bytes	identical
IFG0232G	bytes	identical
IGC0506C	bytes	identical
IGC0N05B	bytes	identical
IGC0R05B	bytes	identical
IGC0S05B	bytes	identical
IGG020P3	bytes	identical
IGG0290D	bytes	identical
IGG03001	bytes	identical
IGG03002	bytes	identical
IGG0325G	bytes	identical
IGG0325H	bytes	identical
IGG0325T	bytes	identical
IGG0325U	bytes	identical
IGG0325V	bytes	identical
IGG0325Z	bytes	identical
IGG032I6	bytes	identical
IGG032I7	bytes	identical
IGG032I8	bytes	identical
IGG0553D	bytes	identical
IGG0553E	bytes	identical
IGG0CLCC	bytes	identical
IGG0CLCD	bytes	identical
IGG0CLCE	bytes	identical
IHJQRS20	bytes	identical
IHJQRS24	bytes	identical
