module	before	after
IAPCNTRL	cards	identical
IEAVAD00	cards	identical
IEAVAR02	cards	identical
IEAVAR03	cards	identical
IEAVEMIN	cards	identical
IEAVEMRQ	bytes	cards
IEAVEQR	cards	identical
IEAVESC0	bytes	identical
IEAVFXLD	bytes	identical
IEAVGFA	cards	identical
IEAVGM00	cards	bytes
IEAVITAS	cards	identical
IEAVNIPM	bytes	identical
IEAVNIPX	cards	identical
IEAVNP10	bytes	cards
IEAVPFTE	cards	identical
IEAVRCF	cards	identical
IEAVRTOD	cards	identical
IEAVSQA	cards	identical
IEAVSWIN	cards	identical
IEAVSWPC	bytes	identical
IEAVSY50	bytes	identical
IEAVTACR	cards	identical
IEAVTERM	bytes	identical
IEAVTSDC	bytes	identical
IEAVTSDG	cards	identical
IEAVTSDR	cards	identical
IEAVTSDT	cards	identical
IEAVTSDX	cards	identical
IECVIOPM	cards	identical
IEE0303D	bytes	identical
IEE0703D	cards	identical
IEE0803D	cards	identical
IEE5103D	cards	identical
IEE8603D	cards	identical
IEECLEAN	cards	identical
IEEDISPD	cards	identical
IEEMB810	cards	identical
IEEMB812	cards	bytes
IEEMPVST	cards	identical
IEESTPRS	cards	identical
IEFAB436	cards	identical
IEFAB478	cards	identical
IEFAB489	bytes	identical
IEFIB621	bytes	identical
IEFSD161	cards	identical
IEFSD166	bytes	identical
IEFSD263	cards	identical
IEFTB722	bytes	identical
IEFVJA	cards	identical
IEHMVESP	bytes	identical
IEHMVESQ	bytes	identical
IFG0194C	bytes	identical
IFG0194F	cards	bytes
IFG0RR0A	bytes	identical
IGC0005I	cards	identical
IGC0K05B	cards	identical
IGC0M05B	cards	identical
IGG0193S	bytes	identical
IGG0203M	bytes	identical
IGG0290F	bytes	identical
IKJEFLE	cards	identical
IKJEFLI	cards	identical
IKJEFLK	bytes	identical
IKJEFT02	cards	bytes
IKJEFT25	cards	identical
IKTTOMRT	bytes	identical
IKTVTGET	cards	identical
IKTVTPUT	cards	identical
IKTXMTPT	cards	identical
IRBMFDWP	bytes	identical
IRBMFIWK	cards	identical
IRBMFTMA	cards	bytes
ISTAPC58	cards	identical
