module	before	after
AMASPZAP	identical	bytes
AMDPRCTL	identical	bytes
BLSCCLSE	identical	bytes
BLSRDUOP	identical	bytes
HMBLKCTL	identical	bytes
ICKIO02	identical	cards
IDCSA02	identical	bytes
IEAVLK00	identical	bytes
IEAVLK01	identical	bytes
IEBCCS02	identical	bytes
IEBCMAIN	identical	bytes
IEBDGCUP	identical	bytes
IEBEDIT	identical	cards
IEBGENR3	identical	bytes
IEBGENRT	identical	bytes
IEBISC	identical	bytes
IEBISF	identical	cards
IEBISL	identical	cards
IEBISPL	identical	cards
IEBISSI	identical	bytes
IEBISSO	identical	cards
IEBISU	identical	bytes
IEBPPCH1	identical	bytes
IEBPPUN1	identical	bytes
IEBUPDT2	identical	cards
IEBUPDTE	identical	bytes
IEBUPLOG	identical	bytes
IEDQXB	identical	bytes
IEEVSND6	identical	cards
IEFSD087	identical	cards
IEHATLAS	identical	bytes
IEHDASDS	identical	bytes
IEHDVTOC	identical	bytes
IEHLIST1	identical	bytes
IEHMVESK	identical	bytes
IEHMVESN	identical	bytes
IEHPROG1	identical	bytes
IERRCC	identical	bytes
IERRCH	identical	bytes
IFASMFDP	identical	bytes
IFG0190P	identical	bytes
IFG0550P	identical	bytes
IFOX0F	bytes	cards
IGC018	bytes	identical
IGG0196M	identical	bytes
IGG0201W	identical	cards
IGG0290A	identical	bytes
IGG0290D	identical	bytes
IGG0325A	identical	bytes
IGG0325B	identical	bytes
IGG0325E	identical	bytes
IGG0325H	identical	bytes
IGG032I3	identical	bytes
IGG032I7	identical	bytes
IGG032I8	identical	bytes
IGG0553A	identical	bytes
IGG0553C	identical	bytes
IGG0553E	identical	bytes
IKJCT436	identical	cards
IKJCT467	identical	bytes
IKJCT472	identical	bytes
IKJEBECO	identical	bytes
IKJEBEFC	identical	bytes
IKJEBESA	identical	bytes
IKJEFA00	identical	bytes
IKJEFE01	identical	bytes
IKJEFT30	identical	cards
IKJEGEND	identical	bytes
IKJEGIO	identical	bytes
IKTLOGFF	identical	bytes
