module	entries	differing	last_entry_only	ifox_flag	as370_flag	xor
AMDPRPJB	4	1	yes	0x1c	0x1c	0x00
AMDPRPMS	1	1	yes	0x1c	0x1c	0x00
IEAVELCR	24	1	yes	0x18	0x1c	0x04
IEAVMDSV	2	1	no	0x0c	0x08	0x04
IEAVNP01	5	1	yes	0x08	0x0c	0x04
IEAVNP19	3	1	yes	0x08	0x0c	0x04
IEAVTFMT	9	1	yes	0x1c	0x18	0x04
IEAVTRER	1	1	yes	0x08	0x0c	0x04
IEBDRD	3	1	yes	0x08	0x0c	0x04
IEBDWR	8	-	-	Eintragszahl	5	-
IEBIOE	4	1	no	0x08	0x0c	0x04
IECDAFMT	4	1	yes	0x1c	0x18	0x04
IECIOFMT	3	1	yes	0x1c	0x18	0x04
IEDAYH	1	1	yes	0x08	0x0c	0x04
IEDAYOO	7	1	no	0x0c	0x08	0x04
IEDAYZ	13	-	-	Eintragszahl	11	-
IEDQEC	1	1	yes	0x08	0x0c	0x04
IEDQES	1	1	yes	0x08	0x0c	0x04
IEDQEW	1	1	yes	0x08	0x0c	0x04
IEDQHK	3	1	yes	0x08	0x0c	0x04
IEDQWC1	11	1	yes	0x08	0x0c	0x04
IEDQWD	15	1	yes	0x08	0x0c	0x04
IEDQWE	16	1	no	0x09	0x0d	0x04
IEDQWE2	10	1	yes	0x08	0x0c	0x04
IEDQWF1	19	1	yes	0x08	0x0c	0x04
IEDQWH	4	1	yes	0x08	0x0c	0x04
IEDQWJ	9	1	yes	0x08	0x0c	0x04
IEE0603D	5	1	yes	0x1c	0x18	0x04
IEE1403D	5	1	yes	0x1c	0x18	0x04
IEE70110	1	1	yes	0x1c	0x18	0x04
IEEVSDIO	3	1	yes	0x0c	0x08	0x04
IEFSD087	7	1	yes	0x1c	0x1c	0x00
IEHDASDS	16	1	no	0x08	0x0c	0x04
IEHDDOIO	10	1	yes	0x08	0x0c	0x04
IEHDDUMP	14	1	no	0x08	0x0c	0x04
IEHDGETA	8	1	yes	0x08	0x0c	0x04
IEHDINIT	11	1	no	0x08	0x0c	0x04
IEHDLABL	18	1	yes	0x08	0x0c	0x04
IEHDRVID	4	1	yes	0x08	0x0c	0x04
IEHDVTOC	10	1	yes	0x08	0x0c	0x04
IEHMVSSF	4	1	yes	0x08	0x0c	0x04
IEHMVSSX	5	1	no	0x08	0x0c	0x04
IFASMFDP	18	1	yes	0x1c	0x1c	0x00
IFCERFMT	4	1	yes	0x1c	0x18	0x04
IFG0192A	2	1	yes	0x18	0x1c	0x04
IFG0195A	2	1	yes	0x18	0x1c	0x04
IFG0195G	4	1	yes	0x18	0x1c	0x04
IFG0196J	3	1	yes	0x18	0x1c	0x04
IFG0196U	4	1	yes	0x18	0x1c	0x04
IFG0200Z	3	1	yes	0x18	0x1c	0x04
IFG0201R	3	1	yes	0x18	0x1c	0x04
IFG0202A	2	1	yes	0x18	0x1c	0x04
IFG0202C	2	1	yes	0x18	0x1c	0x04
IFG0202D	1	1	yes	0x18	0x1c	0x04
IFG0202J	2	1	yes	0x18	0x1c	0x04
IFG0232D	3	1	yes	0x18	0x1c	0x04
IFG0232J	1	1	yes	0x18	0x1c	0x04
IFG0232M	2	1	yes	0x18	0x1c	0x04
IFG0232S	2	1	yes	0x18	0x1c	0x04
IFG0232Z	1	1	yes	0x18	0x1c	0x04
IFG0551F	5	1	yes	0x18	0x1c	0x04
IFG0551P	2	1	yes	0x18	0x1c	0x04
IFG0551R	2	1	yes	0x18	0x1c	0x04
IFG0552D	2	1	yes	0x18	0x1c	0x04
IFG0552N	4	1	yes	0x18	0x1c	0x04
IFG0552T	4	1	yes	0x18	0x1c	0x04
IFG0553X	2	1	yes	0x18	0x1c	0x04
IFG0554N	4	1	yes	0x18	0x1c	0x04
IFG0554Z	3	1	yes	0x18	0x1c	0x04
IFG0555B	1	1	yes	0x18	0x1c	0x04
IGC0005G	1	1	yes	0x08	0x0c	0x04
IGC0008B	7	1	yes	0x08	0x0c	0x04
IGC0408B	1	1	yes	0x08	0x0c	0x04
IGE0000H	2	1	yes	0x08	0x0c	0x04
IGE0001H	3	1	yes	0x08	0x0c	0x04
IGE0004A	2	1	yes	0x08	0x0c	0x04
IGE0004C	2	1	yes	0x08	0x0c	0x04
IGE0904B	1	1	yes	0x08	0x0c	0x04
IGG01910	1	1	yes	0x18	0x1c	0x04
IGG01911	1	1	yes	0x18	0x1c	0x04
IGG01912	1	1	yes	0x18	0x1c	0x04
IGG01913	1	1	yes	0x18	0x1c	0x04
IGG01915	2	1	yes	0x18	0x1c	0x04
IGG01916	2	1	yes	0x18	0x1c	0x04
IGG01917	1	1	yes	0x18	0x1c	0x04
IGG01918	1	1	yes	0x18	0x1c	0x04
IGG01919	1	1	yes	0x18	0x1c	0x04
IGG0191A	2	1	yes	0x18	0x1c	0x04
IGG0191B	2	1	yes	0x18	0x1c	0x04
IGG0191C	2	1	yes	0x18	0x1c	0x04
IGG0191D	5	1	yes	0x18	0x1c	0x04
IGG0191G	4	1	yes	0x18	0x1c	0x04
IGG0191H	3	1	yes	0x18	0x1c	0x04
IGG0191I	2	1	yes	0x18	0x1c	0x04
IGG0191J	1	1	yes	0x18	0x1c	0x04
IGG0191K	4	1	yes	0x18	0x1c	0x04
IGG0191L	3	1	yes	0x18	0x1c	0x04
