module	ifox_vs_dlib	as370_vs_dlib	cell	first_diff	len_ifox	len_as370	dlib_library
IDCCDDE	length	length	neither matches IBM	0x03d58	42880	25457	length
IEFXB609	length	length	neither matches IBM	0x023da	15336	15336	length
IRBMFINP	length	length	neither matches IBM	0x0324f	15281	15277	length
HMASMTMD	identical	text	IFOX00 matches IBM, as370 does not	0x03021	14704	14704	text
IDCTSLV0	length	length	neither matches IBM	0x00005	12321	11621	length
BNGTRMOT	text	length	neither matches IBM	0x00094	11982	11991	length
IFCETUL1	identical	length	IFOX00 matches IBM, as370 does not	0x00098	11656	10386	length
IFCE0145	length	length	neither matches IBM	0x00096	11635	10432	length
IKJEFF18	no-pair	no-pair	no distribution member	0x013ed	11496	11567	no-pair
IDCCDRD	identical	length	IFOX00 matches IBM, as370 does not	0x01458	10974	8778	length
IEAVSWCH	length	length	neither matches IBM	0x00022	10938	10898	length
HMASMTPA	mixed	mixed	neither matches IBM	0x0238b	10416	10416	mixed
IFNX6C	text	mixed	neither matches IBM	0x0064d	10146	10146	mixed
IKJEFLE	length	length	neither matches IBM	0x0002f	9990	10015	length
IEEMPDEV	length	length	neither matches IBM	0x01e94	9824	10336	length
IKTTOMRT	length	length	neither matches IBM	0x000a9	9608	9616	length
BLSDMSGS	mixed	length	neither matches IBM	0x00002	9524	9204	length
IFCEF165	identical	length	IFOX00 matches IBM, as370 does not	0x00052	9137	8641	length
IKJEGIO	no-pair	no-pair	no distribution member	0x00000	8900	8942	no-pair
IECVHREC	length	length	neither matches IBM	0x00043	8768	8734	length
IFCED165	identical	length	IFOX00 matches IBM, as370 does not	0x001aa	8564	8390	length
AKJLKL01	no-pair	no-pair	no distribution member	0x01cbe	8455	8455	no-pair
AMDPRFCB	length	length	neither matches IBM	0x017d8	8376	8288	length
AHLTSVC	length	length	neither matches IBM	0x016f0	8332	8332	length
IFCEB165	identical	length	IFOX00 matches IBM, as370 does not	0x0007a	8316	7911	length
IKJEFP60	length	length	neither matches IBM	0x00088	8065	8065	length
IFCELEX1	identical	length	IFOX00 matches IBM, as370 does not	0x00052	8059	7605	length
IFCEA165	identical	length	IFOX00 matches IBM, as370 does not	0x00093	7849	7604	length
IKJEBECH	no-pair	no-pair	no distribution member	0x01e29	7848	7748	no-pair
IFCS0165	length	length	neither matches IBM	0x00006	7728	6844	length
IFCEXXXA	length	length	neither matches IBM	0x0005b	7635	6795	length
IKJEFT80	no-pair	no-pair	no distribution member	0x01878	7439	6732	no-pair
IEAVAD01	length	length	neither matches IBM	0x00326	7424	7424	length
IOEDKWTR	length	length	neither matches IBM	0x00558	7416	7416	length
IKJEFR00	no-pair	no-pair	no distribution member	0x01c4b	7248	7248	no-pair
IFCEE165	identical	length	IFOX00 matches IBM, as370 does not	0x0011c	7207	7023	length
AHLTSLIP	length	length	neither matches IBM	0x0006a	7147	7147	length
IEAVTABD	length	length	neither matches IBM	0x0004f	7034	6950	length
IFCEI135	length	length	neither matches IBM	0x00e8b	6975	6491	length
IDCCDAL	text	length	neither matches IBM	0x00d30	6946	4959	length
IEECLEAN	length	length	neither matches IBM	0x0001f	6932	6956	length
AHLSETEV	length	length	neither matches IBM	0x00022	6924	6548	length
IFCE2870	length	length	neither matches IBM	0x0028d	6879	6133	length
IEFXB601	length	length	neither matches IBM	0x00d1c	6860	6860	length
BNGTLOCL	text	length	neither matches IBM	0x00095	6805	6814	length
IFCE2860	length	length	neither matches IBM	0x00297	6657	6095	length
IEEMPVST	mixed	length	neither matches IBM	0x00023	6605	6613	length
IDA0192V	length	length	neither matches IBM	0x00972	6577	6577	length
ISTRAMA2	length	length	neither matches IBM	0x00022	6492	6748	length
ICBVMG00	length	length	neither matches IBM	0x00bc9	6413	6413	length
