module	ifox_rc	start	deck_bytes	job
IGG026DU	0000	02:19:27	320	IFX0000/JOB00079
IEFJDSNA	0000	02:19:27	640	IFX0000/JOB00079
BLSUZZ2R	0000	02:19:27	400	IFX0000/JOB00079
IGG019JP	0000	02:19:27	2000	IFX0000/JOB00079
AHLMCIH	0000	02:19:27	800	IFX0000/JOB00079
IGG019TD	0000	02:19:28	1120	IFX0000/JOB00079
IGG019EJ	0000	02:19:28	800	IFX0000/JOB00079
IGG3YN	0000	02:19:28	1120	IFX0000/JOB00079
ISTZBFBI	0000	02:19:28	2400	IFX0000/JOB00079
IFG0551B	0000	02:19:29	1920	IFX0000/JOB00079
ISTINCL5	0000	02:19:29	720	IFX0000/JOB00079
IDA019SF	0000	02:19:30	3600	IFX0000/JOB00079
IGE0001H	0000	02:19:30	3920	IFX0000/JOB00079
ISDADCS0	0008	02:19:30	1840	IFX0000/JOB00079
IDCRL01	0000	02:19:30	4960	IFX0000/JOB00079
BLSSPCCA	0000	02:19:30	2160	IFX0000/JOB00079
ISTIC00A	0000	02:19:31	6080	IFX0000/JOB00079
IERRPE	0000	02:19:31	2000	IFX0000/JOB00079
IERAPJ	0000	02:19:31	960	IFX0000/JOB00079
IEFSDTTE	0000	02:19:31	3440	IFX0000/JOB00079
IFG0552N	0000	02:19:32	1360	IFX0000/JOB00079
BLSUVSOP	0000	02:19:33	1360	IFX0000/JOB00079
IGG02030	0008	02:19:33	1360	IFX0000/JOB00079
IGG2P11	0000	02:19:33	1760	IFX0000/JOB00079
IEAVNPA1	0012	02:19:34	4000	IFX0000/JOB00079
ISTAPC55	0000	02:19:27	2720	IFX0001/JOB00080
IEE4803D	0000	02:19:34	1680	IFX0001/JOB00080
IRARMEVT	0008	02:19:35	13680	IFX0001/JOB00080
IFFPHALA	0000	02:19:36	2560	IFX0001/JOB00080
IEEMB827	0000	02:19:36	720	IFX0001/JOB00080
IGG019GC	0000	02:19:36	2560	IFX0001/JOB00080
IGG019JQ	0000	02:19:36	1840	IFX0001/JOB00080
IKJCT467	0012	02:19:37	10080	IFX0001/JOB00080
IFDOLT62	0000	02:19:37	2240	IFX0001/JOB00080
IERAOL	0000	02:19:37	560	IFX0001/JOB00080
IFG0554B	0000	02:19:37	2160	IFX0001/JOB00080
IGC017	0004	02:19:38	880	IFX0001/JOB00080
IFNX5P	0000	02:19:38	3600	IFX0001/JOB00080
IKJEFATT	0000	02:19:39	8560	IFX0001/JOB00080
IFDOLT51	0000	02:19:40	800	IFX0001/JOB00080
IKTAY8	0000	02:19:40	4480	IFX0001/JOB00080
