module	as370_rc	ifox_rc	tool	tool_restamped	dlib
AHLCWRIT	0	0000	identical		length
AHLGTFI	0	0000	cards		length
AHLIWRIT	0	0000	identical		length
AHLMCER	0	0004	cards		length
AHLMCIH	0	0000	bytes	bytes	text
AHLREADR	0	0000	cards		length
AHLSBLOK	0	0000	identical		text
AHLSBUF	0	0000	identical		length
AHLSCAN	0	0000	identical		holes
AHLSETD	0	0000	identical		mixed
AHLSETEV	8	0004	cards		length
AHLSETMG	0	0000	identical		holes
AHLT103	0	0000	identical		length
AHLTCTL1	0	0000	identical		identical
AHLTCTL2	0	0000	identical		identical
AHLTDIR	0	0000	identical		length
AHLTEXT	0	0000	bytes	bytes	mixed
AHLTFOR	0	0000	identical		identical
AHLTMMSG	0	0000	identical		holes
AHLTMON	0	0000	cards		length
AHLTPID	0	0000	bytes	bytes	length
AHLTPMT	0	0000	identical		length
AHLTSCN	0	0000	identical		length
AHLTSIO	0	0000	bytes	bytes	length
AHLTSLIP	0	0000	bytes	bytes	length
AHLTSVC	0	0000	bytes	bytes	length
AHLTSYFL	0	0000	identical		mixed
AHLTSYSM	0	0000	bytes	bytes	length
AHLTTAB	0	0000	identical		holes
AHLTUSR	0	0000	identical		length
AHLTVTAM	0	0000	identical		identical
AHLTXSYS	0	0000	bytes	bytes	text
AHLVCOFF	0	0000	identical		mixed
AHLVCON	0	0000	identical		length
AHLWRMSG	0	0000	identical		holes
AHLWTASK	0	0000	identical		length
AHLWTMSG	0	0000	identical		holes
AHLWTO	0	0000	identical		length
AHLWWRIT	0	0000	identical		length
AKJLKL01	0	0000	cards		no-pair
AKJLKL02	0	0000	identical		no-pair
AKJLKMSG	0	0000	identical		no-pair
AMAPTF01	0	0000	identical		holes
AMAPTF02	0	0000	identical		holes
AMAPTFLE	8	0000	bytes	bytes	mixed
AMASPZAP	0	0000	cards		length
AMDPRAPP	0	0000	cards		length
AMDPRCOM	8	0000	cards		length
AMDPRCTL	0	0000	identical		length
AMDPRCVT	0	0000	identical		length
AMDPRDPS	0	0000	identical		length
AMDPREAD	0	0000	identical		length
AMDPRECT	0	0000	identical		identical
AMDPREID	0	0000	identical		identical
AMDPREXT	0	0000	cards		length
AMDPRFAR	0	0000	identical		identical
AMDPRFCB	0	0000	cards		length
AMDPRFDS	0	0000	identical		length
AMDPRFLT	0	0000	identical		length
AMDPRFMG	0	0000	identical		text
AMDPRFMT	0	0000	identical		no-pair
AMDPRFRM	0	0000	identical		length
AMDPRFSC	0	0000	identical		holes
AMDPRFUB	0	0000	identical		length
AMDPRFXT	0	0000	identical		holes
AMDPRGCD	0	0000	identical		length
AMDPRGET	0	0000	bytes	bytes	length
AMDPRLOD	0	0000	bytes	bytes	length
AMDPRLPA	0	0000	identical		identical|unpaired
AMDPRMST	0	0008	cards		length
AMDPRNUC	0	0000	identical		holes
AMDPROOT	0	0000	identical		holes
AMDPRPCR	0	0000	identical		holes
AMDPRPJB	8	0000	bytes	bytes	mixed
AMDPRPMG	0	0000	identical		holes
AMDPRPMS	8	0000	bytes	bytes	mixed
AMDPRQCB	0	0000	bytes	bytes	length
AMDPRRDC	8	0000	bytes	bytes	length
AMDPRREC	0	0000	cards		length
AMDPRSCN	0	0000	bytes	bytes	length
AMDPRSEG	0	0000	identical		length
AMDPRSMG	0	0000	identical		holes
AMDPRSN2	8	0000	bytes	bytes	length
AMDPRSN3	8	0008	bytes	bytes	length
AMDPRSUM	0	0000	identical		length
AMDPRUIM	0	0000	cards		length
AMDSAAID	0	0000	identical		holes
AMDSAAMR	0	0000	identical		holes
AMDSAARD	0	0000	identical		holes
AMDSAASM	0	0000	identical		holes
AMDSAAUD	0	0000	bytes	bytes	length
AMDSABUF	0	0000	identical		holes
AMDSACON	0	0000	identical		length
AMDSACSA	0	0000	identical		holes
AMDSADER	0	0000	identical		holes
AMDSAFRM	0	0000	identical		holes
AMDSAGTF	0	0000	identical		holes
AMDSAGTM	0	0000	identical		holes
AMDSAIOI	0	0000	identical		length
AMDSALDR	0	0000	identical		length
AMDSAMDM	0	0000	identical		holes
AMDSAMSG	0	0000	identical		holes
AMDSAPGE	0	0000	bytes	bytes	mixed
AMDSAPGI	0	0000	bytes	bytes	mixed
AMDSAPRO	0	0000	bytes	bytes	text
AMDSARSM	0	0000	identical		identical
AMDSASIN	0	0000	identical		holes
AMDSASIO	0	0000	identical		length
AMDSASVI	0	0000	bytes	bytes	mixed
AMDSATAP	0	0000	bytes	bytes	length
AMDSATER	0	0000	bytes	bytes	length
AMDSATXT	0	0000	identical		holes
AMDSAUCB	0	0000	identical		length
AMDSAUPD	0	0000	identical		holes
AMDSAVCK	0	0000	identical		holes
AMDSAWAT	0	0000	bytes	bytes	mixed
AMDSYS00	0	0000	identical		length
AMDSYS01	0	0000	bytes	bytes	length
AMDSYS02	0	0000	identical		mixed
AMDSYS03	0	0000	bytes	bytes	length
AMDSYS04	0	0000	identical		length
AMDSYS05	0	0000	identical		length
AMDSYS06	0	0000	identical		identical
AMDUSRF9	0	0000	identical		no-pair
AMDUSRFD	0	0000	identical		length
AMDUSRFE	0	0000	identical		no-pair
BLSCAAMS	0	0000	bytes	bytes	text
BLSCABLD	0	0000	bytes	bytes	text
BLSCADST	0	0000	identical		identical
BLSCADYN	0	0000	identical		text
BLSCAINT	0	0000	identical		text
BLSCALOC	0	0000	identical		text
BLSCAMER	0	0000	bytes	bytes	text
BLSCAMIN	0	0000	identical		identical
BLSCAMOD	0	0000	bytes	bytes	length
BLSCAMPR	0	0000	identical		identical
BLSCANAL	0	0000	bytes	bytes	text
BLSCANLE	0	0000	bytes	bytes	text
BLSCANLI	0	0000	bytes	bytes	text
BLSCCLSE	8	0000	bytes	bytes	text
BLSCENDD	0	0000	identical		text
BLSCERSE	0	0000	identical		mixed
BLSCFAMS	0	0000	bytes	bytes	text
BLSCFDYN	0	0000	identical		text
BLSCFREE	0	0000	identical		identical
BLSCGETT	0	0000	identical		text
BLSCGMF	0	0000	identical		identical
BLSCHOK	0	0000	identical		identical
BLSCOPEN	0	0000	identical		mixed
BLSCPOIN	0	0000	identical		text
BLSCPUTT	0	0000	identical		length
BLSCRECV	0	0000	identical		identical
BLSCRFM	0	0000	identical		identical
BLSCRQST	0	0000	identical		identical
BLSCRTCB	0	0000	identical		identical
