module	verdict	tag	offset	size_delta	owner	statement
IEDAYL	mixed	replace	0x001a	+8	IEDHJN	         DC    X'F01B' .                DATE OF 
IEDAYL	mixed	insert	0x0077	+32	<open code>	         TM    TRMSTATE,TRMPREF         IS THERE
IEDAYL	mixed	replace	0x007d	+8	<open code>	         BZ    OXOCNI                   TERM 0X 
IEDAYL	mixed	replace	0x0085	-8	<open code>	         BNO   CONCAN                   NO, IGNO
IEDAYL	mixed	replace	0x00d7	-8	<open code>	         BE    CONCAN                   YES - NO
IEDAYL	mixed	insert	0x012e	+8	<open code>	         SR    RBUSZ,RHDR               GET DATA
IEDAYL	mixed	insert	0x0135	+2	<open code>	         SR    RMSGSZ,RHDR              GET DATA
IEDAYL	mixed	insert	0x0220	+10	<open code>	         LR    RBUF,RBUF1               GET ADDR
IEDAYL	mixed	delete	0x0222	-2	<open code>	         LR    RBUSZ,RBUSZ1             GET SIZE
IEDAYL	mixed	replace	0x03cc	+20	<open code>	         B     CHKMH                    ATTEMPT 
IEDAYL	mixed	insert	0x0482	+24	IEDDCT	         OI        DCTBYTE1-IEDDCT(RCH),DCT3270 
IEDAYL	mixed	insert	0x04f6	+4	<open code>	         OI    QCBFLAG,QCBTSSES         MAKE SUR
IEDAYL	mixed	delete	0x056e	-24	<open code>	         TM    QCBTSOF1,QCBDELAY        IS QCB I
IEDAYL	mixed	delete	0x068e	-2	<open code>	MGCRMASK DS    0F                       FORCE FU
IEDAYL	mixed	delete	0x06f8	-20	<open code>	         DC    C'X'                     MARKS EN
IEDDFOUT	all in open code	insert	0x00a8	+28	<open code>	         LA    RLCB,0(,RLCB)                    
IEDDFOUT	all in open code	replace	0x00f2	+50	<open code>	         B     @RC00441                         
IEDDFOUT	all in open code	replace	0x01ca	+3	<open code>	         L     @09,BDQCB(,@09)                  
IEDDFOUT	all in open code	replace	0x01cc	-5	<open code>	         L     @09,BDQCB(,@09)                  
IEDDFOUT	all in open code	insert	0x03b4	+28	<open code>	         NI    LCBCHN(IEDQLPTR),B'01111111'     
IEDDFOUT	all in open code	replace	0x0413	-38	<open code>	         BNZ   @RF00622                         
IEDDFOUT	all in open code	replace	0x043d	-64	<open code>	         BAL   @14,BLDERBUF                     
IEDDFOUT	all in open code	replace	0x0497	+62	<open code>	         B     @RC00596                         
IEDDFOUT	all in open code	replace	0x06bc	-4	<open code>	         DS    0D
IEDDFOUT	all in open code	insert	0x06d6	+14	<open code>	@CB02152 DC    X'4B8000'
IEDIAB	mixed	insert	0x0010	+3	IEDHJN	         B     AFTERHJN .                 BR ARO
IEDIAB	mixed	replace	0x0011	+5	IEDHJN	         DC    X'5430' .                DATE OF 
IEDIAB	mixed	insert	0x01aa	+4	<open code>	         LH    RNEXT,SAVTPLSZ(,@09)             
IEDIAB	mixed	insert	0x03f4	+20	<open code>	         MVI   LCBRSPRI(@09),X'20'              
IEDIAB	mixed	insert	0x060a	+1	<open code>	@CH02246 DC    H'28'
IEDIAB	mixed	replace	0x060b	-1	<open code>	         DS    0F
IEDIAB	mixed	insert	0x0634	+4	<open code>	@CF02198 DC    XL4'FFFFFFF8'
IEDIAB	mixed	delete	0x0649	-28	<open code>	SATSIZE  DC    A(0)
IEDLUS	mixed	replace	0x001a	+8	IEDHJN	         DC    X'5DA5' .                DATE OF 
IEDLUS	mixed	insert	0x03f8	+20	<open code>	         MVC   CURQCB(3,RPRF),SAVTCLUP+1(@09)   
IEDLUS	mixed	replace	0x04e3	-8	<open code>	         B     @RC00760                         
IEDLUS	mixed	insert	0x04f0	+8	<open code>	@RC00760 L     @09,PREVIOUS                     
IEDLUS	mixed	replace	0x061a	+20	<open code>	         L     @09,BUFPTR                       
IEDLUS	mixed	insert	0x07e4	+20	<open code>	         L     @09,REQLINK-1(,@09)              
IEDLUS	mixed	replace	0x08e4	-8	<open code>	         BNE   @RF00939                         
IEDLUS	mixed	replace	0x08f1	+8	<open code>	@RF00939 BAL   @14,ERBRTNX                      
IEDLUS	mixed	insert	0x0be4	+20	<open code>	         BAL   @14,MHBUF                        
IEDLUS	mixed	replace	0x0fe3	+20	<open code>	         STH   @09,TNTSLU                       
IEDLUS	mixed	insert	0x10ff	+2	<open code>	@RF01300 MVC   XINSMODE(8),@CC03115             
IEDLUS	mixed	delete	0x1100	-2	<open code>	@RF01300 MVC   XINSMODE(8),@CC03115             
IEDLUS	mixed	insert	0x13e4	+20	<open code>	         SH    RPARMF,AVTKEYLE(,RAVT)           
IEDLUS	mixed	insert	0x14e0	+4	<open code>	@CF01909 DC    XL4'4C'
IEDLUS	mixed	delete	0x160e	-68	<open code>	         ORG   LUSLCB+90
IEDNGD	all in open code	insert	0x0400	+28	<open code>	         TM    LCBEOMSG(RLCB),B'01000000'       
IEDNGD	all in open code	replace	0x0405	+8	<open code>	         BNZ   @RF00742                         
IEDNGD	all in open code	replace	0x040d	+54	<open code>	         B     @RC00732                         
IEDNGD	all in open code	replace	0x04ad	-198	<open code>	         SL    RBDU,@CF00070                    
IEDNGD	all in open code	replace	0x0595	+198	<open code>	         BNZ   @RF00812                         
IEDNGD	all in open code	insert	0x07c2	+20	<open code>	         MVC   TTHOAF(2,@10),SAVTTCPU(@09)      
IEDNGD	all in open code	replace	0x0aaa	+3	<open code>	         L     @14,SAVTDNIR(,@14)               
IEDNGD	all in open code	replace	0x0aac	-5	<open code>	         L     @14,SAVTDNIR(,@14)               
IEDNGD	all in open code	insert	0x0b18	+5	<open code>	@SX02407 XC    BUFTOCLR(0,@14),BUFTOCLR(@14)
IEDNGD	all in open code	insert	0x0b19	+7	<open code>	@SA00018 DS    1F
IEDNGD	all in open code	insert	0x0b1a	+17	<open code>	@SA00018 DS    1F
IEDNGD	all in open code	replace	0x0b1b	-29	<open code>	@SA00018 DS    1F
IEDNGD	all in open code	delete	0x0b58	-43	<open code>	@CF00044 DC    F'8'
IEDNKA	all in open code	replace	0x002d	+8	<open code>	         BNE   @RF00573                         
IEDNKA	all in open code	delete	0x00d4	-4	<open code>	         NI    LCBRTRRO(RLCB),B'11111011'       
IEDNKA	all in open code	insert	0x0132	+4	<open code>	         NI    TRMNLOUT(RTRM),B'11111011'       
IEDNKA	all in open code	insert	0x0228	+4	<open code>	         LR    RLCB,@10                         
IEDNKA	all in open code	replace	0x0265	+16	<open code>	         BO    @RF00697                         
IEDNKA	all in open code	insert	0x026e	+6	<open code>	         OI    SCBSLCTN(@10),B'10100000'        
IEDNKA	all in open code	replace	0x03dc	+28	<open code>	         BNO   @GL00005                         
IEDNKA	all in open code	insert	0x05a9	+12	<open code>	         BNO   @RF00877                         
IEDNKA	all in open code	replace	0x05b1	-12	<open code>	         B     @RC00877                         
IEDNKA	all in open code	insert	0x062c	+4	<open code>	         MVI   BDUMODIF(@10),X'00'              
IEDNKA	all in open code	insert	0x06a0	+4	<open code>	         MVI   BDUCMND(@10),X'07'               
IEDNKA	all in open code	replace	0x07d6	+20	<open code>	         B     @RC00990                         
IEDNKA	all in open code	delete	0x09ab	-8	<open code>	         BNZ   @RF01075                         
IEDNKA	all in open code	insert	0x09b6	+8	<open code>	         BAL   @14,IPBSRDCN                     
IEDNKA	all in open code	insert	0x0a56	+6	<open code>	         XC    IEDPF1(8,@10),IEDPF1(@10)        
IEDNKA	all in open code	replace	0x0b94	+3	<open code>	         L     @10,SAVTCNIR(,@10)               
IEDNKA	all in open code	replace	0x0b96	-5	<open code>	         L     @10,SAVTCNIR(,@10)               
IEDNKA	all in open code	insert	0x0bc4	+5	<open code>	@SX02496 XC    BUFTOCLR(0,@07),BUFTOCLR(@07)
IEDNKA	all in open code	insert	0x0bc5	+9	<open code>	@SA00010 DS    1F
IEDNKA	all in open code	delete	0x0bc6	-66	<open code>	@SA00010 DS    1F
IEDNKA	all in open code	insert	0x0c0e	+1	<open code>	@CF00044 DC    F'8'
IEDNKA	all in open code	replace	0x0c0f	+2	<open code>	@CF00044 DC    F'8'
IEDNKA	all in open code	replace	0x0c12	-24	<open code>	@CF02135 DC    F'14'
IEDNKA	all in open code	delete	0x0c2d	-2	<open code>	@CB02131 DC    X'0B8000'
IEDNKA	all in open code	replace	0x0c30	+4	<open code>	@CB02362 DC    X'27F1'
IEDNKA	all in open code	insert	0x0c35	+11	<open code>	@NM00217 DC    AL2(0)
IEDNKA	all in open code	replace	0x0c36	+17	<open code>	@NM00218 DC    X'05'
IEDNLT	all in open code	insert	0x0024	+6	<open code>	         ALR   RWORK,@14                        
IEDNLT	all in open code	insert	0x0047	+22	<open code>	         ICM   RHEADER,15,NCPLTRAC(RNCPI)       
IEDNLT	all in open code	delete	0x004a	-6	<open code>	         LA    RRLTD,13                         
IEDNLT	all in open code	replace	0x0058	+2	<open code>	         SL    RLEN,@CF00236                    
IEDNLT	all in open code	delete	0x0068	-4	<open code>	         TM    HEDTBL1(RHEADER),B'10000000'     
IEDNLT	all in open code	delete	0x0078	-6	<open code>	@RF00135 LTR   RLEN,RLEN                        
IEDNLT	all in open code	replace	0x0085	+8	<open code>	         BNO   @RF00140                         
IEDNLT	all in open code	replace	0x008b	+14	<open code>	         MVC   HEDID(4,RHEADER),@CC01027        
IEDNLT	all in open code	insert	0x00ad	+12	<open code>	         BAL   @14,FULLTBL                      
IEDNLT	all in open code	insert	0x00ae	+14	<open code>	         BAL   @14,FULLTBL                      
IEDNLT	all in open code	delete	0x00c0	-8	<open code>	@RF00155 L     RTBPOS,HEDTBPOS(,RHEADER)        
IEDNLT	all in open code	insert	0x00cc	+6	<open code>	         LH    RWORK,HEDREMLN(,RHEADER)         
IEDNLT	all in open code	replace	0x00cd	+2	<open code>	         BCTR  RWORK,0                          
IEDNLT	all in open code	replace	0x00d1	-8	<open code>	         EX RWORK,MVCDATA
IEDNLT	all in open code	delete	0x00de	-14	<open code>	         B     @RC00161                         
IEDNLT	all in open code	replace	0x00ef	-8	<open code>	@RC00161 BAL   @14,FULLTBL                      
IEDNLT	all in open code	replace	0x00f9	-6	<open code>	         BH    @DL00158                         
IEDNLT	all in open code	replace	0x011e	-8	<open code>	         LTR   @14,@14                          
IEDNLT	all in open code	insert	0x0158	+10	<open code>	         AH    @14,HEDSEQCT(,RHEADER)           
IEDNLT	all in open code	insert	0x015a	+4	<open code>	         ST    @14,TABSEQCT(,RTABHALF)          
IEDNLT	all in open code	insert	0x01f8	+3	<open code>	@RF00219 SLR   RRTN,RRTN                        
IEDNLT	all in open code	delete	0x01f9	-9	<open code>	@ER00001 L     @14,12(,@13)                     
IEDNLT	all in open code	replace	0x0206	+4	<open code>	         AH    @00,HEDSEQCT(,RHEADER)           
IEDNLT	all in open code	insert	0x020a	+4	<open code>	         AH    @00,HEDSEQCT(,RHEADER)           
IEDNLT	all in open code	insert	0x020e	+12	<open code>	         STH   @00,HEDSEQCT(,RHEADER)           
IEDNLT	all in open code	insert	0x0210	+4	<open code>	         ST    @00,TABSEQCT(,RTABHALF)          
IEDNLT	all in open code	delete	0x0294	-12	<open code>	MVCDATA  MVC   0(0,RTBPOS),0(RDATA)     MOVE DAT
IEDNLT	all in open code	replace	0x02a7	+6	<open code>	@CF00236 DC    F'12'
IEDNLT	all in open code	replace	0x02b7	+16	<open code>	AQTJID   DC    AL3(TJID)
IEDNTR	all in open code	delete	0x0064	-18	<open code>	         LR    @07,RPIU                         
IEDNTR	all in open code	replace	0x00e7	+46	<open code>	         EX    RLEN,CLRDATA             CLEAR VA
IEDNTR	all in open code	insert	0x0248	+4	<open code>	@CF00059 DC    F'1'
IEDQAG	all in open code	delete	0x002c	-76	<open code>	         CLI   LCBFLAG1,LCBPLCB         PLCB    
IEDQAG	all in open code	insert	0x0096	+112	<open code>	         AR    RTRM,RPARM               SET TRM 
IEDQAJ	mixed	delete	0x0000	-4	IEDHJN	         B     IDPASS .                 BR AROUN
IEDQAJ	mixed	replace	0x000a	+5	IEDHJN	         DC    X'18F2' .                DATE OF 
IEDQAJ	mixed	insert	0x000c	+3	IEDHJN	         DC    X'18F2' .                DATE OF 
IEDQAJ	mixed	insert	0x015c	+2	<open code>	         LR    RCHAR8,RPREFIX           PICKUP B
IEDQAJ	mixed	replace	0x016f	+12	<open code>	         B     CHECK                    CHECK FO
IEDQAJ	mixed	insert	0x01d6	+4	<open code>	OIX      OI    SCBDESTL,AVTEZERO        SAVE SCB
IEDQBH	equal length -- macroattr's population					
IEDQBL	equal length -- macroattr's population					
IEDQBM	all in open code	replace	0x013f	+4	<open code>	         BO    SETBIT3                  YES, BRA
IEDQBM	all in open code	insert	0x0166	+16	<open code>	         BALR  R14,R15                  GO TO IE
IEDQBT	mixed	insert	0x0000	+4	<open code>	         DC    AL1(DSPMCPL8)            SUBTASK 
IEDQBT	mixed	delete	0x0006	-1	IEDHJN	         DC    X'0400' .                DATE OF 
IEDQBT	mixed	insert	0x0008	+1	IEDHJN	         DC    X'0400' .                DATE OF 
IEDQBT	mixed	insert	0x02d7	+2	<open code>	         BNE   GOTMH                    BR NO, H
IEDQBT	mixed	insert	0x02d8	+14	<open code>	         BNE   GOTMH                    BR NO, H
IEDQBT	mixed	replace	0x03ef	+20	<open code>	         BNZ   RECALL1                  BRANCH Y
IEDQBT	mixed	insert	0x07f0	+20	<open code>	         L     R5,PRFTIC-IEDQPRF(R5)    NEXT UNI
IEDQBT	mixed	delete	0x0a1a	-44	<open code>	         BZ    XCONT                    NO, UNCO
IEDQCA	all in open code	insert	0x03c0	+65	<open code>	TWENTY   DC    H'20'                    USED IN 
IEDQCA	all in open code	insert	0x03c4	+10	<open code>	SAVEDOPC DS    18F'0'                   REGSAVE 
IEDQCA	all in open code	insert	0x03c6	+4	<open code>	SAVEDOPC DS    18F'0'                   REGSAVE 
IEDQCA	all in open code	insert	0x03c8	+1	<open code>	SAVEDOPC DS    18F'0'                   REGSAVE 
IEDQCA	all in open code	insert	0x03c9	+2	<open code>	SAVEDOPC DS    18F'0'                   REGSAVE 
IEDQCA	all in open code	replace	0x03ca	-54	<open code>	SAVEDOPC DS    18F'0'                   REGSAVE 
IEDQCA	all in open code	insert	0x0800	+20	<open code>	         STH   RWORK,OPCAVBUF           ... COUN
IEDQCA	all in open code	insert	0x09e9	+1	<open code>	         TM    OPCSPEC,ALTDEST     PROCESSING AL
IEDQCA	all in open code	delete	0x09ea	-9	<open code>	         TM    OPCSPEC,ALTDEST     PROCESSING AL
IEDQCA	all in open code	replace	0x09f7	-4	<open code>	         BNO   GETDEST             NO, SEND MESS
IEDQCA	all in open code	delete	0x0a28	-4	<open code>	         NI    OPCSPEC,ALL-ALTDEST CLEAR ALTDEST
IEDQCA	all in open code	insert	0x0c10	+20	<open code>	         CLC   ZERO(AL1,REGTABLT),TRMTYPE COMPAR
IEDQCA	all in open code	insert	0x1010	+20	<open code>	         L     RWAITCHN,OCLINK     POINT TO NEXT
IEDQCA	all in open code	insert	0x1064	+62	<open code>	LINERG   DC    F'2'                     VALUE OF
IEDQCA	all in open code	replace	0x10a8	-62	<open code>	PROGSAVE DS    18A                      SAVE ARE
IEDQCA	all in open code	insert	0x1410	+108	<open code>	OPCPWSTC DC    AL3(OPCPWVTO)       NEXT STCB    
IEDQCA	all in open code	delete	0x1616	-186	<open code>	BLDLLIST DC    AL2(1),AL2(58)           PREFIX F
IEDQEW	all in open code	insert	0x0400	+28	<open code>	         LH    RTEMP,PEWASOWA           NUMBER O
IEDQEW	all in open code	insert	0x0800	+20	<open code>	         SR    RTEMP,RSTCB              SUBTRACT
IEDQEW	all in open code	insert	0x0c00	+20	<open code>	         L     RCOUNT,PEWAPEUN          RESTORE 
IEDQEW	all in open code	replace	0x0c58	-2	<open code>	         L     RPARM,PEWARCB            ADDR OF 
IEDQEW	all in open code	delete	0x0c98	-6	<open code>	         XC    FIVE(3,RPARM),FIVE(RPARM)  CLEAR 
IEDQEW	all in open code	replace	0x0ca1	-2	<open code>	         B     ENDC2                            
IEDQEW	all in open code	insert	0x0ca8	+6	<open code>	          MVC   FIVE(3,RPARM),LCBERBCH   ADD BUF
IEDQEW	all in open code	replace	0x0caf	-2	<open code>	         BC    8,ENDC3                  BR,IF RC
IEDQEW	all in open code	insert	0x0cbc	+4	<open code>	         B     DSPDISP                  NO POST 
IEDQEW	all in open code	insert	0x0f2c	+18	<open code>	         MVC   PEWASAVE+THIRTY4(1),LCBERBST-IEDQ
IEDQEW	all in open code	insert	0x0ff0	+20	<open code>	         NC    PRFTQBCK(3),PRFTQBCK     END OF Q
IEDQEW	all in open code	delete	0x1064	-10	<open code>	         B     EMPTYRTN                RETURN BU
IEDQEW	all in open code	insert	0x1290	+18	<open code>	         MVC   SCBOSEQ,PEWASAVE+TWENTY2 RESTORE 
IEDQEW	all in open code	delete	0x1398	-88	<open code>	         TM    PEWAFLG,CFLG             CLOSE PE
IEDQFE10	all in open code	delete	0x0114	-8	<open code>	         TM    AVTOPECA,X'40'      HAS OPERATOR 
IEDQFE10	all in open code	insert	0x01b8	+32	<open code>	         BR    R14                 RETURN
IEDQFE10	all in open code	insert	0x01b9	+56	<open code>	SAVE     DS    18F
IEDQFE10	all in open code	insert	0x01ba	+19	<open code>	SAVE     DS    18F
IEDQFE10	all in open code	insert	0x01bb	+3	<open code>	SAVE     DS    18F
IEDQFE10	all in open code	insert	0x01bc	+10	<open code>	SAVE     DS    18F
IEDQFE10	all in open code	insert	0x01bd	+15	<open code>	SAVE     DS    18F
IEDQFE10	all in open code	replace	0x01be	-135	<open code>	SAVE     DS    18F
IEDQHI	all in macro expansions	delete	0x02c0	-6	IOHALT	         LR    0,1                  PUT UCB ADDR
IEDQNJ	all in open code	insert	0x0149	+16	<open code>	         BNE   QNJ40                    NO, BRAN
IEDQNO	all in open code	insert	0x00fa	+4	<open code>	         L     R5,4(0,R5)               GET NEXT
IEDQNT	equal length -- macroattr's population					
IEDQOT01	all in open code	insert	0x0400	+20	<open code>	         LA    RBRANCH,ZERO(,RAIB)      GET LENG
IEDQOT01	all in open code	insert	0x0678	+12	<open code>	         ICM   RASID,ADDR,RMPLASCB+ONE  ASCB ADD
IEDQOT01	all in open code	insert	0x06f0	+6	<open code>	         XC    ZERO(RCBSIZE,RONE),ZERO(RONE) CLE
IEDQOT01	all in open code	insert	0x072f	+5	<open code>	         BO    LOOPPEWA                 YES, SKI
IEDQOT01	all in open code	insert	0x0730	+3	<open code>	         BO    LOOPPEWA                 YES, SKI
IEDQOT01	all in open code	insert	0x0798	+2	<open code>	         BR    RBRANCH                  RETURN T
IEDQOT01	all in open code	delete	0x07bc	-20	<open code>	PGFLG2   DC    XL1'80'                  LAST ENT
IEDQW25	all in open code	insert	0x0400	+20	<open code>	         ST    @11,REQQCB(,ROLTCB)              
IEDQW25	all in open code	insert	0x040e	+16	<open code>	         L     RTRM,BASRTRM(,ROLTCB)            
IEDQW25	all in open code	delete	0x061c	-4	<open code>	@CF02737 DC    BL4'00000000000000000000000000010
IEDQW25	all in open code	insert	0x0631	+4	<open code>	         DS    0D
IEDQW25	all in open code	insert	0x0633	+6	<open code>	         DS    0D
IEDQW25	all in open code	delete	0x0655	-20	<open code>	         DS    CL1
IEDQWB2	not anchored (score 84% margin +64%)					
IEDQWE	mixed	delete	0x00d2	-4	BLDL	         LA    1,0(1)                     CLEAR 
IEDQWE	mixed	replace	0x01b9	-4	BLDL	         LA    0,BLDLLIST                       
IEDQWE	mixed	insert	0x0408	+40	<open code>	         NI    TOTFLG05,X'FF'-TOTREPLY TURN OFF 
IEDQWE	mixed	insert	0x0808	+40	<open code>	         AR    R5,R4                   COMPUTE A
IEDQWE	mixed	insert	0x0c08	+52	<open code>	NAMEMOVE MVC   UNIT(ZERO),ZERO(R1) MOVE NAME    
IEDQWE	mixed	delete	0x0d18	-132	<open code>	BLDLNAM  DC    XL3'0'             MAIN STORAGE N
IEDQWE2	mixed	insert	0x0400	+20	<open code>	         AR    R1,R11                  TNT ADDR 
IEDQWE2	mixed	insert	0x0800	+20	<open code>	         BE    ON5                     OK BR    
IEDQWE2	mixed	insert	0x0a9e	+16	<open code>	         MVC   NCPTTCIN(D2),LCBTTCIN   SAVE NCP 
IEDQWE2	mixed	replace	0x0b27	+8	<open code>	         BO    SRTRNLIN                YES BRANC
IEDQWE2	mixed	insert	0x0be8	+32	WAIT	         LA    1,TOTOTECB                       
IEDQWE2	mixed	delete	0x0f25	-72	<open code>	LUFLAGS  DC    X'00'                  LU FLAGS  
IEDQWIA	all in macro expansions	replace	0x02b5	-4	BLDL	         LA    0,BLDLLIST                       
IEDQWIA	all in macro expansions	replace	0x0403	+56	NOTE	         LA    1,CDS42                          
IEDQWIA	all in macro expansions	replace	0x052f	-4	BLDL	         LA    0,BLDLLIST                       
