module	verdict	bytes_wanting_trial	bytes_wanting_ctl	bytes_neither	ref	options
AHLMCER	unclassified/no-clusters/no-clusters	0	0	4	dlib	D
AHLMCIH	wants-ctl	0	13	0	dlib	A
AHLREADR	wants-trial	15	0	0	tgt	AD
AHLSBLOK	wants-trial	15	0	0	dlib	AD
AHLSBUF	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
AHLSETD	wants-trial	15	0	0	tgt	AD
AHLSETEV	unclassified/no-clusters/no-clusters	0	0	32	tgt	AD
AHLTDIR	unclassified/no-clusters/no-clusters	0	0	17	dlib	AD
AHLTEXT	wants-trial	17	0	0	tgt	AD
AHLTFOR	wants-ctl	0	56	0	tgt	AD
AHLTPID	unclassified/no-clusters/no-clusters	0	0	28	tgt	AD
AHLTSIO	unclassified/no-clusters/no-clusters	0	0	17	tgt	AD
AHLTSLIP	unclassified/no-clusters/no-clusters	0	0	17	tgt	AD
AHLTSVC	unclassified/no-clusters/no-clusters	0	0	17	tgt	AD
AHLTSYFL	wants-trial	17	0	0	tgt	AD
AHLTSYSM	unclassified/no-clusters/no-clusters	0	0	69	tgt	AD
AHLTUSR	unclassified/no-clusters/no-clusters	0	0	19	tgt	AD
AHLTXSYS	wants-ctl	0	43	0	tgt	AD
AHLWTASK	unclassified/no-clusters/no-clusters	0	0	15	tgt	AD
ICB2ATTN	unclassified/no-clusters/no-clusters	0	0	17	dlib	AD
ICB2SIOB	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
ICBIORSI	unclassified/no-clusters/no-clusters	0	0	17	dlib	AD
IDA019S2	unclassified/no-clusters/no-clusters	0	0	30	dlib	AD
IDA019SB	wants-ctl	0	15	0	dlib	AD
IDA121A2	wants-ctl	0	15	0	dlib	AD
IDA121A3	wants-ctl	0	30	0	dlib	AD
IDA121A4	wants-ctl	0	14	0	dlib	AD
IDAVBPC1	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IDAVBPO1	wants-ctl	0	15	0	dlib	AD
IDAVBPP1	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IDAVBPR1	wants-ctl	0	15	0	dlib	AD
IDAVBPS1	wants-ctl	0	15	0	dlib	AD
IDAVBPS2	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IDDWIAPP	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IDDWICLS	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IEAV1052	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IEAV1443	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IEAV2540	unclassified/no-clusters/no-clusters	0	0	15	dlib	AD
IEAVAD00	unclassified/no-clusters/no-clusters	0	0	32	dlib	AD
IEAVAMSI	wants-ctl	0	15	0	dlib	AD
IEAVAR02	unclassified/no-clusters/no-clusters	0	0	28	dlib	AD
IEAVAR03	wants-ctl	0	14	0	dlib	AD
