owner           TEXT cl  TEXT mods  hole cl  hole mods
  <open code>       12931        558     3453        477
  IEAPMNIP            218         21        8          2
  MODID               195         48        0          0
  SETFRR              157         28        0          0
  XCTLTABL            145         43       14         13
  IECPDINI             99          4        7          3
  XCTL                 95         31        0          0
  HMASMMGP             70         30        0          0
  IECRES               58          8        0          0
  WTOR                 57          4        4          4
  FREEMAIN             52         31        0          0
  READ                 47          4        0          0
  GETMAIN              46         21        0          0
  WTO                  42         11      139         40
  HMASMVLP             38          7        0          0
  SETLOCK              37         10        0          0
  CLOSE                36          5        0          0
  IEDQMSG              36          4        0          0
  HMASMIOP             32          1        0          0
  IKJEBESV             32          7        0          0
  SCHEDULE             30         11        0          0
  IEDHJN               30         29        3          3
  OPEN                 26          6        0          0
  MODESET              24         11        0          0

TOTAL clusters: text 14969   holes 3764
distinct modules with TEXT differences in a macro expansion: 334
