operation	modules	in_mvsbld	in_kreiss_newasm	on_ibm_tapes	modules_mvsbld	modules_newasm
TABLE	48	0	48	no		XTB12773 XTB12774 XTB1A11 XTB1AN XTB1AOA XTB1AOD XTB1AON XTB1BOA XTB1BON XTB1DUMP XTB1FM10 XTB1FM12 XTB1FM15 XTB1G11 XTB1GF10 XTB1GF12 XTB1GF15 XTB1GFC XTB1GN XTB1GS10 XTB1GS12 XTB1GS15 XTB1GSC XTB1GU10 XTB1GU12 XTB1GU15 XTB1GUC XTB1H11 XTB1HN XTB1KN1 XTB1OAA XTB1OAB XTB1ODA XTB1ONA XTB1ONB XTB1P11 XTB1PCAN XTB1PCHN XTB1PN XTB1QN XTB1QNC XTB1RN XTB1SN XTB1T11 XTB1TN XTB1TU10 XTB1XN XTB1YN
DSGEN	31	31	0	no	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE33XX IFCE3401 IFCE5424 IFCEARG1 IFCEARG2 IFCEARG3 IFCEARG4 IFCEARG5 IFCEARG6 IFCEARG7 IFCECUT0 IFCEFBA4 IFCEFBA5 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCET040 IFCETRN6 IFCETRN7 IFCEWOD1 IFCS0115 IFCS1017 IFCS1018 IFCS5424 IFCSI115	
PROLOG	11	11	0	no	IFCE0115 IFCE0125 IFCE1017 IFCE1018 IFCE3401 IFCE5424 IFCET040 IFCETRN6 IFCETRN7 IFCS0115 IFCSI115	
LINE	11	11	0	no	IFCE33XX IFCECUT0 IFCEFBA4 IFCEFBA5 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCETRN7 IFCEWOD1	
ROUTINE	10	10	0	no	IFCE33XX IFCECUT0 IFCEFBA4 IFCEFBA5 IFCENF11 IFCENFH3 IFCENFM3 IFCENFP1 IFCENFP2 IFCEWOD1	
IQAERB	9	0	9	no		IQAADRAS IQAADRSA IQAADRVD IQACONV0 IQADDBC0 IQAERR00 IQAEXT00 IQAICC00 IQAMSG00
IOSTRAP	8	8	0	no	IECVDDT1 IECVXDAT IECVXDRT IECVXGRT IECVXTAT IECVXTPT IECVXURT IECVXVRT	
IOSSIO	7	7	0	no	IECVXDAS IECVXDRS IECVXSKS IECVXT2S IECVXT3S IECVXURS IECVXVRS	
IOSSCP	6	6	0	no	IECVXDAS IECVXDRS IECVXSKS IECVXT2S IECVXT3S IECVXURS	
IOSCPA	6	6	0	no	IECVXDAT IECVXDRS IECVXDRT IECVXSKS IECVXT2S IECVXVRT	
JOB	5	0	5	no		COBSAMP GSPSAMP PLISAMP SAMP2250 SAMP2260
EXEC	5	0	5	no		COBSAMP GSPSAMP PLISAMP SAMP2250 SAMP2260
SUMMARY	4	4	0	no	IFCS1017 IFCS1018 IFCS33XX IFCS5424	
REPRO	3	3	0	no	IBCDASDI IBCDMPRS ICAPRTBL	
IOSCKVOL	3	3	0	no	IECVXDAS IECVXSKS IECVXT3S	
DFHTC	3	3	0	no	BNGCLOCL BNGCMENU BNGCRMOT	
DFHSC	3	3	0	no	BNGCLOCL BNGCMENU BNGCRMOT	
DFHPC	3	3	0	no	BNGCLOCL BNGCMENU BNGCRMOT	
SUM	2	2	0	no	IFCS0115 IFCSI115	
SPECIAL	2	2	0	no	IFCS0115 IFCSI115	
IOSUNSOL	2	2	0	no	IECVXDAU IECVXVRU	
IOSSENSE	2	2	0	no	IECVXMGN IECVXSKN	
IOSEOS	2	2	0	no	IECVXPRE IECVXSKE	
DFHCOVER	2	2	0	no	BNGCLOCL BNGCRMOT	
UCBDADVC	1	1	0	no	IECVDDT1	
THIS	1	0	1	no		GSPSAMP
THE	1	0	1	no		GSPSAMP
ON	1	0	1	no		PLISAMP
NUM1	1	0	1	no		GSPSAMP
NAME	1	0	1	no		GRAFSPC1
LARGE	1	0	1	no		GSPSAMP
INVISIBL	1	0	1	no		GSPSAMP
GRAPHIC	1	0	1	no		GRAFSPC1
ENTRIES	1	1	0	no	IFCETRN7	
DUPLICAT	1	1	0	no	IBCDMPRS	
DCL	1	0	1	no		PLISAMP
CIRCLE	1	0	1	no		GSPSAMP
CENTER	1	0	1	no		GSPSAMP
BNMR	1	1	0	no	IGC0009D	
BEGIN	1	0	1	no		GSPSAMP
